 frequency       AmagdB          Aphdeg         
 1.00000000e+04  4.82254556e+01  1.78751082e+02 
 1.02305973e+04  4.82253594e+01  1.78722292e+02 
 1.04665121e+04  4.82252586e+01  1.78692838e+02 
 1.07078670e+04  4.82251532e+01  1.78662706e+02 
 1.09547876e+04  4.82250429e+01  1.78631880e+02 
 1.12074020e+04  4.82249274e+01  1.78600344e+02 
 1.14658417e+04  4.82248065e+01  1.78568082e+02 
 1.17302409e+04  4.82246800e+01  1.78535076e+02 
 1.20007371e+04  4.82245476e+01  1.78501311e+02 
 1.22774708e+04  4.82244090e+01  1.78466768e+02 
 1.25605860e+04  4.82242640e+01  1.78431429e+02 
 1.28502297e+04  4.82241121e+01  1.78395277e+02 
 1.31465525e+04  4.82239533e+01  1.78358293e+02 
 1.34497085e+04  4.82237870e+01  1.78320457e+02 
 1.37598551e+04  4.82236129e+01  1.78281750e+02 
 1.40771537e+04  4.82234308e+01  1.78242152e+02 
 1.44017690e+04  4.82232402e+01  1.78201643e+02 
 1.47338699e+04  4.82230406e+01  1.78160202e+02 
 1.50736290e+04  4.82228318e+01  1.78117807e+02 
 1.54212228e+04  4.82226133e+01  1.78074436e+02 
 1.57768320e+04  4.82223845e+01  1.78030068e+02 
 1.61406415e+04  4.82221451e+01  1.77984678e+02 
 1.65128404e+04  4.82218946e+01  1.77938245e+02 
 1.68936220e+04  4.82216324e+01  1.77890744e+02 
 1.72831844e+04  4.82213579e+01  1.77842151e+02 
 1.76817299e+04  4.82210707e+01  1.77792440e+02 
 1.80894658e+04  4.82207701e+01  1.77741587e+02 
 1.85066040e+04  4.82204555e+01  1.77689564e+02 
 1.89333613e+04  4.82201263e+01  1.77636346e+02 
 1.93699595e+04  4.82197817e+01  1.77581904e+02 
 1.98166255e+04  4.82194211e+01  1.77526212e+02 
 2.02735916e+04  4.82190436e+01  1.77469241e+02 
 2.07410951e+04  4.82186486e+01  1.77410961e+02 
 2.12193792e+04  4.82182353e+01  1.77351342e+02 
 2.17086923e+04  4.82178026e+01  1.77290355e+02 
 2.22092889e+04  4.82173499e+01  1.77227967e+02 
 2.27214291e+04  4.82168760e+01  1.77164148e+02 
 2.32453791e+04  4.82163802e+01  1.77098865e+02 
 2.37814113e+04  4.82158612e+01  1.77032084e+02 
 2.43298042e+04  4.82153181e+01  1.76963771e+02 
 2.48908429e+04  4.82147497e+01  1.76893892e+02 
 2.54648190e+04  4.82141549e+01  1.76822411e+02 
 2.60520309e+04  4.82135325e+01  1.76749292e+02 
 2.66527837e+04  4.82128811e+01  1.76674498e+02 
 2.72673897e+04  4.82121994e+01  1.76597991e+02 
 2.78961683e+04  4.82114860e+01  1.76519732e+02 
 2.85394464e+04  4.82107395e+01  1.76439682e+02 
 2.91975583e+04  4.82099583e+01  1.76357801e+02 
 2.98708461e+04  4.82091408e+01  1.76274046e+02 
 3.05596598e+04  4.82082853e+01  1.76188377e+02 
 3.12643573e+04  4.82073901e+01  1.76100750e+02 
 3.19853049e+04  4.82064533e+01  1.76011122e+02 
 3.27228774e+04  4.82054731e+01  1.75919447e+02 
 3.34774581e+04  4.82044473e+01  1.75825679e+02 
 3.42494392e+04  4.82033740e+01  1.75729772e+02 
 3.50392221e+04  4.82022508e+01  1.75631679e+02 
 3.58472171e+04  4.82010756e+01  1.75531350e+02 
 3.66738442e+04  4.81998459e+01  1.75428736e+02 
 3.75195331e+04  4.81985592e+01  1.75323786e+02 
 3.83847234e+04  4.81972129e+01  1.75216449e+02 
 3.92698648e+04  4.81958042e+01  1.75106671e+02 
 4.01754173e+04  4.81943303e+01  1.74994399e+02 
 4.11018515e+04  4.81927881e+01  1.74879578e+02 
 4.20496491e+04  4.81911747e+01  1.74762152e+02 
 4.30193027e+04  4.81894865e+01  1.74642063e+02 
 4.40113162e+04  4.81877204e+01  1.74519255e+02 
 4.50262052e+04  4.81858726e+01  1.74393666e+02 
 4.60644974e+04  4.81839394e+01  1.74265238e+02 
 4.71267322e+04  4.81819170e+01  1.74133907e+02 
 4.82134619e+04  4.81798013e+01  1.73999613e+02 
 4.93252513e+04  4.81775879e+01  1.73862290e+02 
 5.04626783e+04  4.81752725e+01  1.73721873e+02 
 5.16263340e+04  4.81728504e+01  1.73578297e+02 
 5.28168234e+04  4.81703168e+01  1.73431494e+02 
 5.40347650e+04  4.81676665e+01  1.73281396e+02 
 5.52807921e+04  4.81648944e+01  1.73127931e+02 
 5.65555523e+04  4.81619948e+01  1.72971031e+02 
 5.78597080e+04  4.81589620e+01  1.72810622e+02 
 5.91939372e+04  4.81557900e+01  1.72646631e+02 
 6.05589334e+04  4.81524725e+01  1.72478984e+02 
 6.19554061e+04  4.81490029e+01  1.72307605e+02 
 6.33840810e+04  4.81453744e+01  1.72132417e+02 
 6.48457008e+04  4.81415800e+01  1.71953343e+02 
 6.63410251e+04  4.81376120e+01  1.71770302e+02 
 6.78708313e+04  4.81334628e+01  1.71583216e+02 
 6.94359143e+04  4.81291243e+01  1.71392003e+02 
 7.10370877e+04  4.81245880e+01  1.71196580e+02 
 7.26751838e+04  4.81198452e+01  1.70996864e+02 
 7.43510539e+04  4.81148867e+01  1.70792770e+02 
 7.60655691e+04  4.81097029e+01  1.70584214e+02 
 7.78196206e+04  4.81042839e+01  1.70371109e+02 
 7.96141200e+04  4.80986193e+01  1.70153368e+02 
 8.14500001e+04  4.80926984e+01  1.69930903e+02 
 8.33282151e+04  4.80865098e+01  1.69703625e+02 
 8.52497412e+04  4.80800420e+01  1.69471444e+02 
 8.72155772e+04  4.80732828e+01  1.69234271e+02 
 8.92267449e+04  4.80662195e+01  1.68992014e+02 
 9.12842895e+04  4.80588390e+01  1.68744583e+02 
 9.33892805e+04  4.80511276e+01  1.68491886e+02 
 9.55428121e+04  4.80430710e+01  1.68233830e+02 
 9.77460036e+04  4.80346546e+01  1.67970323e+02 
 1.00000000e+05  4.80258630e+01  1.67701274e+02 
 1.02305973e+05  4.80166803e+01  1.67426590e+02 
 1.04665121e+05  4.80070899e+01  1.67146178e+02 
 1.07078670e+05  4.79970748e+01  1.66859946e+02 
 1.09547876e+05  4.79866171e+01  1.66567804e+02 
 1.12074020e+05  4.79756985e+01  1.66269659e+02 
 1.14658417e+05  4.79642998e+01  1.65965422e+02 
 1.17302409e+05  4.79524014e+01  1.65655003e+02 
 1.20007371e+05  4.79399826e+01  1.65338313e+02 
 1.22774708e+05  4.79270225e+01  1.65015266e+02 
 1.25605860e+05  4.79134990e+01  1.64685776e+02 
 1.28502297e+05  4.78993896e+01  1.64349758e+02 
 1.31465525e+05  4.78846709e+01  1.64007131e+02 
 1.34497085e+05  4.78693188e+01  1.63657814e+02 
 1.37598551e+05  4.78533084e+01  1.63301730e+02 
 1.40771537e+05  4.78366142e+01  1.62938804e+02 
 1.44017690e+05  4.78192095e+01  1.62568963e+02 
 1.47338699e+05  4.78010673e+01  1.62192139e+02 
 1.50736290e+05  4.77821596e+01  1.61808267e+02 
 1.54212228e+05  4.77624576e+01  1.61417284e+02 
 1.57768320e+05  4.77419317e+01  1.61019133e+02 
 1.61406415e+05  4.77205517e+01  1.60613762e+02 
 1.65128404e+05  4.76982865e+01  1.60201121e+02 
 1.68936220e+05  4.76751042e+01  1.59781168e+02 
 1.72831844e+05  4.76509722e+01  1.59353864e+02 
 1.76817299e+05  4.76258572e+01  1.58919179e+02 
 1.80894658e+05  4.75997252e+01  1.58477086e+02 
 1.85066040e+05  4.75725415e+01  1.58027565e+02 
 1.89333613e+05  4.75442707e+01  1.57570606e+02 
 1.93699595e+05  4.75148769e+01  1.57106202e+02 
 1.98166255e+05  4.74843234e+01  1.56634356e+02 
 2.02735916e+05  4.74525731e+01  1.56155080e+02 
 2.07410951e+05  4.74195883e+01  1.55668393e+02 
 2.12193792e+05  4.73853311e+01  1.55174322e+02 
 2.17086923e+05  4.73497628e+01  1.54672905e+02 
 2.22092889e+05  4.73128445e+01  1.54164189e+02 
 2.27214291e+05  4.72745372e+01  1.53648229e+02 
 2.32453791e+05  4.72348015e+01  1.53125092e+02 
 2.37814113e+05  4.71935978e+01  1.52594856e+02 
 2.43298042e+05  4.71508866e+01  1.52057608e+02 
