 frequency       AmagdB          Aphdeg         
 1.00000000e+04  4.82248373e+01  1.78524648e+02 
 1.02305973e+04  4.82247037e+01  1.78490642e+02 
 1.04665121e+04  4.82245639e+01  1.78455853e+02 
 1.07078670e+04  4.82244176e+01  1.78420263e+02 
 1.09547876e+04  4.82242645e+01  1.78383854e+02 
 1.12074020e+04  4.82241042e+01  1.78346606e+02 
 1.14658417e+04  4.82239364e+01  1.78308501e+02 
 1.17302409e+04  4.82237609e+01  1.78269519e+02 
 1.20007371e+04  4.82235771e+01  1.78229640e+02 
 1.22774708e+04  4.82233848e+01  1.78188842e+02 
 1.25605860e+04  4.82231835e+01  1.78147106e+02 
 1.28502297e+04  4.82229729e+01  1.78104409e+02 
 1.31465525e+04  4.82227524e+01  1.78060730e+02 
 1.34497085e+04  4.82225216e+01  1.78016046e+02 
 1.37598551e+04  4.82222801e+01  1.77970334e+02 
 1.40771537e+04  4.82220274e+01  1.77923571e+02 
 1.44017690e+04  4.82217628e+01  1.77875732e+02 
 1.47338699e+04  4.82214860e+01  1.77826793e+02 
 1.50736290e+04  4.82211962e+01  1.77776729e+02 
 1.54212228e+04  4.82208930e+01  1.77725514e+02 
 1.57768320e+04  4.82205756e+01  1.77673121e+02 
 1.61406415e+04  4.82202435e+01  1.77619524e+02 
 1.65128404e+04  4.82198959e+01  1.77564696e+02 
 1.68936220e+04  4.82195321e+01  1.77508608e+02 
 1.72831844e+04  4.82191513e+01  1.77451232e+02 
 1.76817299e+04  4.82187528e+01  1.77392537e+02 
 1.80894658e+04  4.82183358e+01  1.77332495e+02 
 1.85066040e+04  4.82178994e+01  1.77271074e+02 
 1.89333613e+04  4.82174426e+01  1.77208244e+02 
 1.93699595e+04  4.82169646e+01  1.77143971e+02 
 1.98166255e+04  4.82164644e+01  1.77078224e+02 
 2.02735916e+04  4.82159409e+01  1.77010968e+02 
 2.07410951e+04  4.82153930e+01  1.76942170e+02 
 2.12193792e+04  4.82148196e+01  1.76871795e+02 
 2.17086923e+04  4.82142196e+01  1.76799806e+02 
 2.22092889e+04  4.82135917e+01  1.76726168e+02 
 2.27214291e+04  4.82129345e+01  1.76650843e+02 
 2.32453791e+04  4.82122469e+01  1.76573793e+02 
 2.37814113e+04  4.82115272e+01  1.76494978e+02 
 2.43298042e+04  4.82107741e+01  1.76414360e+02 
 2.48908429e+04  4.82099860e+01  1.76331898e+02 
 2.54648190e+04  4.82091614e+01  1.76247549e+02 
 2.60520309e+04  4.82082984e+01  1.76161273e+02 
 2.66527837e+04  4.82073953e+01  1.76073024e+02 
 2.72673897e+04  4.82064503e+01  1.75982760e+02 
 2.78961683e+04  4.82054614e+01  1.75890435e+02 
 2.85394464e+04  4.82044267e+01  1.75796003e+02 
 2.91975583e+04  4.82033439e+01  1.75699416e+02 
 2.98708461e+04  4.82022109e+01  1.75600628e+02 
 3.05596598e+04  4.82010254e+01  1.75499588e+02 
 3.12643573e+04  4.81997849e+01  1.75396247e+02 
 3.19853049e+04  4.81984869e+01  1.75290555e+02 
 3.27228774e+04  4.81971288e+01  1.75182457e+02 
 3.34774581e+04  4.81957078e+01  1.75071903e+02 
 3.42494392e+04  4.81942210e+01  1.74958836e+02 
 3.50392221e+04  4.81926653e+01  1.74843203e+02 
 3.58472171e+04  4.81910377e+01  1.74724947e+02 
 3.66738442e+04  4.81893348e+01  1.74604010e+02 
 3.75195331e+04  4.81875532e+01  1.74480333e+02 
 3.83847234e+04  4.81856893e+01  1.74353858e+02 
 3.92698648e+04  4.81837393e+01  1.74224523e+02 
 4.01754173e+04  4.81816992e+01  1.74092266e+02 
 4.11018515e+04  4.81795650e+01  1.73957024e+02 
 4.20496491e+04  4.81773323e+01  1.73818732e+02 
 4.30193027e+04  4.81749967e+01  1.73677326e+02 
 4.40113162e+04  4.81725535e+01  1.73532739e+02 
 4.50262052e+04  4.81699978e+01  1.73384902e+02 
 4.60644974e+04  4.81673245e+01  1.73233747e+02 
 4.71267322e+04  4.81645282e+01  1.73079203e+02 
 4.82134619e+04  4.81616034e+01  1.72921199e+02 
 4.93252513e+04  4.81585443e+01  1.72759663e+02 
 5.04626783e+04  4.81553447e+01  1.72594521e+02 
 5.16263340e+04  4.81519984e+01  1.72425697e+02 
 5.28168234e+04  4.81484988e+01  1.72253116e+02 
 5.40347650e+04  4.81448389e+01  1.72076701e+02 
 5.52807921e+04  4.81410116e+01  1.71896372e+02 
 5.65555523e+04  4.81370094e+01  1.71712051e+02 
 5.78597080e+04  4.81328244e+01  1.71523657e+02 
 5.91939372e+04  4.81284484e+01  1.71331107e+02 
 6.05589334e+04  4.81238731e+01  1.71134320e+02 
 6.19554061e+04  4.81190894e+01  1.70933211e+02 
 6.33840810e+04  4.81140882e+01  1.70727696e+02 
 6.48457008e+04  4.81088599e+01  1.70517688e+02 
 6.63410251e+04  4.81033944e+01  1.70303101e+02 
 6.78708313e+04  4.80976813e+01  1.70083847e+02 
 6.94359143e+04  4.80917097e+01  1.69859839e+02 
 7.10370877e+04  4.80854683e+01  1.69630985e+02 
 7.26751838e+04  4.80789453e+01  1.69397197e+02 
 7.43510539e+04  4.80721285e+01  1.69158384e+02 
 7.60655691e+04  4.80650052e+01  1.68914455e+02 
 7.78196206e+04  4.80575620e+01  1.68665318e+02 
 7.96141200e+04  4.80497852e+01  1.68410881e+02 
 8.14500001e+04  4.80416605e+01  1.68151051e+02 
 8.33282151e+04  4.80331730e+01  1.67885736e+02 
 8.52497412e+04  4.80243073e+01  1.67614843e+02 
 8.72155772e+04  4.80150474e+01  1.67338279e+02 
 8.92267449e+04  4.80053765e+01  1.67055952e+02 
 9.12842895e+04  4.79952776e+01  1.66767770e+02 
 9.33892805e+04  4.79847325e+01  1.66473640e+02 
