 frequency       AmagdB          Aphdeg         
 1.00000000e+04  4.66817150e+01  1.78758808e+02 
 1.02305973e+04  4.66816203e+01  1.78730195e+02 
 1.04665121e+04  4.66815212e+01  1.78700924e+02 
 1.07078670e+04  4.66814174e+01  1.78670978e+02 
 1.09547876e+04  4.66813088e+01  1.78640342e+02 
 1.12074020e+04  4.66811952e+01  1.78609001e+02 
 1.14658417e+04  4.66810762e+01  1.78576938e+02 
 1.17302409e+04  4.66809517e+01  1.78544136e+02 
 1.20007371e+04  4.66808214e+01  1.78510579e+02 
 1.22774708e+04  4.66806851e+01  1.78476250e+02 
 1.25605860e+04  4.66805423e+01  1.78441130e+02 
 1.28502297e+04  4.66803929e+01  1.78405201e+02 
 1.31465525e+04  4.66802366e+01  1.78368445e+02 
 1.34497085e+04  4.66800730e+01  1.78330842e+02 
 1.37598551e+04  4.66799017e+01  1.78292374e+02 
 1.40771537e+04  4.66797225e+01  1.78253021e+02 
 1.44017690e+04  4.66795349e+01  1.78212762e+02 
 1.47338699e+04  4.66793385e+01  1.78171576e+02 
 1.50736290e+04  4.66791330e+01  1.78129443e+02 
 1.54212228e+04  4.66789180e+01  1.78086340e+02 
 1.57768320e+04  4.66786929e+01  1.78042245e+02 
 1.61406415e+04  4.66784573e+01  1.77997136e+02 
 1.65128404e+04  4.66782107e+01  1.77950989e+02 
 1.68936220e+04  4.66779527e+01  1.77903781e+02 
 1.72831844e+04  4.66776826e+01  1.77855487e+02 
 1.76817299e+04  4.66774000e+01  1.77806082e+02 
 1.80894658e+04  4.66771042e+01  1.77755542e+02 
 1.85066040e+04  4.66767946e+01  1.77703840e+02 
 1.89333613e+04  4.66764706e+01  1.77650950e+02 
 1.93699595e+04  4.66761315e+01  1.77596844e+02 
 1.98166255e+04  4.66757766e+01  1.77541494e+02 
 2.02735916e+04  4.66754052e+01  1.77484873e+02 
 2.07410951e+04  4.66750165e+01  1.77426952e+02 
 2.12193792e+04  4.66746097e+01  1.77367700e+02 
 2.17086923e+04  4.66741840e+01  1.77307088e+02 
 2.22092889e+04  4.66737384e+01  1.77245084e+02 
 2.27214291e+04  4.66732721e+01  1.77181657e+02 
 2.32453791e+04  4.66727841e+01  1.77116775e+02 
 2.37814113e+04  4.66722734e+01  1.77050404e+02 
 2.43298042e+04  4.66717390e+01  1.76982511e+02 
 2.48908429e+04  4.66711797e+01  1.76913060e+02 
 2.54648190e+04  4.66705943e+01  1.76842018e+02 
 2.60520309e+04  4.66699818e+01  1.76769348e+02 
 2.66527837e+04  4.66693407e+01  1.76695012e+02 
 2.72673897e+04  4.66686699e+01  1.76618974e+02 
 2.78961683e+04  4.66679679e+01  1.76541194e+02 
 2.85394464e+04  4.66672332e+01  1.76461634e+02 
