 frequency       AmagdB          Aphdeg         
 1.00000000e+04  2.73214426e+01  1.79867517e+02 
 1.02305973e+04  2.73214416e+01  1.79864462e+02 
 1.04665121e+04  2.73214405e+01  1.79861337e+02 
 1.07078670e+04  2.73214393e+01  1.79858139e+02 
 1.09547876e+04  2.73214381e+01  1.79854868e+02 
 1.12074020e+04  2.73214368e+01  1.79851522e+02 
 1.14658417e+04  2.73214354e+01  1.79848098e+02 
 1.17302409e+04  2.73214340e+01  1.79844595e+02 
 1.20007371e+04  2.73214326e+01  1.79841011e+02 
 1.22774708e+04  2.73214310e+01  1.79837345e+02 
 1.25605860e+04  2.73214294e+01  1.79833594e+02 
 1.28502297e+04  2.73214277e+01  1.79829757e+02 
 1.31465525e+04  2.73214260e+01  1.79825831e+02 
 1.34497085e+04  2.73214241e+01  1.79821815e+02 
 1.37598551e+04  2.73214222e+01  1.79817706e+02 
 1.40771537e+04  2.73214202e+01  1.79813503e+02 
 1.44017690e+04  2.73214180e+01  1.79809202e+02 
 1.47338699e+04  2.73214158e+01  1.79804802e+02 
 1.50736290e+04  2.73214135e+01  1.79800301e+02 
 1.54212228e+04  2.73214111e+01  1.79795696e+02 
 1.57768320e+04  2.73214085e+01  1.79790985e+02 
 1.61406415e+04  2.73214059e+01  1.79786165e+02 
 1.65128404e+04  2.73214031e+01  1.79781234e+02 
 1.68936220e+04  2.73214002e+01  1.79776190e+02 
 1.72831844e+04  2.73213971e+01  1.79771029e+02 
 1.76817299e+04  2.73213939e+01  1.79765749e+02 
 1.80894658e+04  2.73213906e+01  1.79760347e+02 
 1.85066040e+04  2.73213871e+01  1.79754821e+02 
 1.89333613e+04  2.73213834e+01  1.79749167e+02 
 1.93699595e+04  2.73213796e+01  1.79743383e+02 
 1.98166255e+04  2.73213756e+01  1.79737466e+02 
 2.02735916e+04  2.73213714e+01  1.79731412e+02 
 2.07410951e+04  2.73213670e+01  1.79725218e+02 
 2.12193792e+04  2.73213624e+01  1.79718882e+02 
 2.17086923e+04  2.73213576e+01  1.79712400e+02 
 2.22092889e+04  2.73213526e+01  1.79705768e+02 
 2.27214291e+04  2.73213473e+01  1.79698983e+02 
 2.32453791e+04  2.73213418e+01  1.79692042e+02 
 2.37814113e+04  2.73213360e+01  1.79684940e+02 
 2.43298042e+04  2.73213300e+01  1.79677675e+02 
 2.48908429e+04  2.73213236e+01  1.79670243e+02 
 2.54648190e+04  2.73213170e+01  1.79662639e+02 
 2.60520309e+04  2.73213101e+01  1.79654860e+02 
 2.66527837e+04  2.73213028e+01  1.79646901e+02 
 2.72673897e+04  2.73212952e+01  1.79638759e+02 
 2.78961683e+04  2.73212873e+01  1.79630429e+02 
 2.85394464e+04  2.73212790e+01  1.79621907e+02 
 2.91975583e+04  2.73212703e+01  1.79613188e+02 
 2.98708461e+04  2.73212612e+01  1.79604269e+02 
 3.05596598e+04  2.73212516e+01  1.79595144e+02 
 3.12643573e+04  2.73212417e+01  1.79585808e+02 
 3.19853049e+04  2.73212312e+01  1.79576257e+02 
 3.27228774e+04  2.73212203e+01  1.79566486e+02 
 3.34774581e+04  2.73212088e+01  1.79556490e+02 
 3.42494392e+04  2.73211969e+01  1.79546263e+02 
 3.50392221e+04  2.73211843e+01  1.79535801e+02 
 3.58472171e+04  2.73211712e+01  1.79525097e+02 
 3.66738442e+04  2.73211575e+01  1.79514146e+02 
 3.75195331e+04  2.73211431e+01  1.79502943e+02 
 3.83847234e+04  2.73211281e+01  1.79491482e+02 
 3.92698648e+04  2.73211123e+01  1.79479756e+02 
 4.01754173e+04  2.73210959e+01  1.79467760e+02 
 4.11018515e+04  2.73210786e+01  1.79455487e+02 
 4.20496491e+04  2.73210606e+01  1.79442932e+02 
 4.30193027e+04  2.73210417e+01  1.79430087e+02 
 4.40113162e+04  2.73210219e+01  1.79416945e+02 
 4.50262052e+04  2.73210012e+01  1.79403501e+02 
 4.60644974e+04  2.73209795e+01  1.79389747e+02 
 4.71267322e+04  2.73209569e+01  1.79375676e+02 
 4.82134619e+04  2.73209331e+01  1.79361280e+02 
 4.93252513e+04  2.73209083e+01  1.79346553e+02 
 5.04626783e+04  2.73208823e+01  1.79331486e+02 
 5.16263340e+04  2.73208551e+01  1.79316072e+02 
 5.28168234e+04  2.73208266e+01  1.79300302e+02 
 5.40347650e+04  2.73207968e+01  1.79284169e+02 
 5.52807921e+04  2.73207656e+01  1.79267664e+02 
 5.65555523e+04  2.73207330e+01  1.79250778e+02 
 5.78597080e+04  2.73206988e+01  1.79233503e+02 
 5.91939372e+04  2.73206630e+01  1.79215830e+02 
 6.05589334e+04  2.73206256e+01  1.79197750e+02 
 6.19554061e+04  2.73205864e+01  1.79179252e+02 
 6.33840810e+04  2.73205454e+01  1.79160329e+02 
 6.48457008e+04  2.73205025e+01  1.79140969e+02 
 6.63410251e+04  2.73204576e+01  1.79121163e+02 
 6.78708313e+04  2.73204105e+01  1.79100901e+02 
 6.94359143e+04  2.73203613e+01  1.79080171e+02 
 7.10370877e+04  2.73203098e+01  1.79058964e+02 
 7.26751838e+04  2.73202559e+01  1.79037268e+02 
 7.43510539e+04  2.73201995e+01  1.79015072e+02 
 7.60655691e+04  2.73201404e+01  1.78992364e+02 
 7.78196206e+04  2.73200786e+01  1.78969133e+02 
 7.96141200e+04  2.73200139e+01  1.78945367e+02 
 8.14500001e+04  2.73199462e+01  1.78921053e+02 
 8.33282151e+04  2.73198754e+01  1.78896178e+02 
 8.52497412e+04  2.73198012e+01  1.78870731e+02 
 8.72155772e+04  2.73197236e+01  1.78844697e+02 
 8.92267449e+04  2.73196423e+01  1.78818063e+02 
 9.12842895e+04  2.73195573e+01  1.78790816e+02 
 9.33892805e+04  2.73194683e+01  1.78762941e+02 
 9.55428121e+04  2.73193751e+01  1.78734424e+02 
 9.77460036e+04  2.73192776e+01  1.78705250e+02 
 1.00000000e+05  2.73191756e+01  1.78675403e+02 
 1.02305973e+05  2.73190688e+01  1.78644870e+02 
 1.04665121e+05  2.73189570e+01  1.78613632e+02 
 1.07078670e+05  2.73188400e+01  1.78581676e+02 
 1.09547876e+05  2.73187176e+01  1.78548983e+02 
 1.12074020e+05  2.73185894e+01  1.78515538e+02 
 1.14658417e+05  2.73184553e+01  1.78481322e+02 
 1.17302409e+05  2.73183149e+01  1.78446318e+02 
 1.20007371e+05  2.73181680e+01  1.78410508e+02 
 1.22774708e+05  2.73180142e+01  1.78373874e+02 
 1.25605860e+05  2.73178533e+01  1.78336397e+02 
 1.28502297e+05  2.73176849e+01  1.78298056e+02 
 1.31465525e+05  2.73175086e+01  1.78258833e+02 
 1.34497085e+05  2.73173241e+01  1.78218708e+02 
 1.37598551e+05  2.73171309e+01  1.78177658e+02 
 1.40771537e+05  2.73169288e+01  1.78135664e+02 
 1.44017690e+05  2.73167173e+01  1.78092704e+02 
 1.47338699e+05  2.73164959e+01  1.78048755e+02 
 1.50736290e+05  2.73162642e+01  1.78003795e+02 
 1.54212228e+05  2.73160217e+01  1.77957801e+02 
 1.57768320e+05  2.73157679e+01  1.77910749e+02 
 1.61406415e+05  2.73155023e+01  1.77862615e+02 
 1.65128404e+05  2.73152243e+01  1.77813373e+02 
 1.68936220e+05  2.73149334e+01  1.77763000e+02 
 1.72831844e+05  2.73146289e+01  1.77711469e+02 
 1.76817299e+05  2.73143102e+01  1.77658753e+02 
 1.80894658e+05  2.73139767e+01  1.77604825e+02 
 1.85066040e+05  2.73136276e+01  1.77549658e+02 
 1.89333613e+05  2.73132623e+01  1.77493224e+02 
 1.93699595e+05  2.73128800e+01  1.77435493e+02 
 1.98166255e+05  2.73124799e+01  1.77376436e+02 
 2.02735916e+05  2.73120612e+01  1.77316023e+02 
 2.07410951e+05  2.73116230e+01  1.77254223e+02 
 2.12193792e+05  2.73111643e+01  1.77191005e+02 
 2.17086923e+05  2.73106844e+01  1.77126335e+02 
 2.22092889e+05  2.73101821e+01  1.77060182e+02 
 2.27214291e+05  2.73096564e+01  1.76992511e+02 
 2.32453791e+05  2.73091063e+01  1.76923288e+02 
 2.37814113e+05  2.73085305e+01  1.76852478e+02 
 2.43298042e+05  2.73079280e+01  1.76780045e+02 
 2.48908429e+05  2.73072975e+01  1.76705952e+02 
 2.54648190e+05  2.73066377e+01  1.76630162e+02 
 2.60520309e+05  2.73059472e+01  1.76552636e+02 
 2.66527837e+05  2.73052246e+01  1.76473335e+02 
 2.72673897e+05  2.73044684e+01  1.76392219e+02 
 2.78961683e+05  2.73036771e+01  1.76309248e+02 
 2.85394464e+05  2.73028490e+01  1.76224378e+02 
 2.91975583e+05  2.73019825e+01  1.76137569e+02 
 2.98708461e+05  2.73010757e+01  1.76048775e+02 
 3.05596598e+05  2.73001269e+01  1.75957954e+02 
 3.12643573e+05  2.72991339e+01  1.75865059e+02 
 3.19853049e+05  2.72980949e+01  1.75770043e+02 
 3.27228774e+05  2.72970077e+01  1.75672861e+02 
 3.34774581e+05  2.72958701e+01  1.75573462e+02 
 3.42494392e+05  2.72946797e+01  1.75471799e+02 
 3.50392221e+05  2.72934342e+01  1.75367820e+02 
 3.58472171e+05  2.72921309e+01  1.75261474e+02 
 3.66738442e+05  2.72907672e+01  1.75152709e+02 
 3.75195331e+05  2.72893404e+01  1.75041472e+02 
 3.83847234e+05  2.72878475e+01  1.74927708e+02 
 3.92698648e+05  2.72862855e+01  1.74811361e+02 
 4.01754173e+05  2.72846512e+01  1.74692374e+02 
 4.11018515e+05  2.72829414e+01  1.74570690e+02 
 4.20496491e+05  2.72811525e+01  1.74446250e+02 
 4.30193027e+05  2.72792810e+01  1.74318994e+02 
 4.40113162e+05  2.72773230e+01  1.74188860e+02 
 4.50262052e+05  2.72752746e+01  1.74055786e+02 
 4.60644974e+05  2.72731317e+01  1.73919709e+02 
 4.71267322e+05  2.72708899e+01  1.73780564e+02 
 4.82134619e+05  2.72685448e+01  1.73638285e+02 
 4.93252513e+05  2.72660917e+01  1.73492804e+02 
 5.04626783e+05  2.72635256e+01  1.73344054e+02 
 5.16263340e+05  2.72608414e+01  1.73191966e+02 
 5.28168234e+05  2.72580337e+01  1.73036468e+02 
 5.40347650e+05  2.72550971e+01  1.72877489e+02 
 5.52807921e+05  2.72520255e+01  1.72714955e+02 
 5.65555523e+05  2.72488130e+01  1.72548793e+02 
 5.78597080e+05  2.72454532e+01  1.72378927e+02 
 5.91939372e+05  2.72419394e+01  1.72205280e+02 
 6.05589334e+05  2.72382647e+01  1.72027775e+02 
 6.19554061e+05  2.72344220e+01  1.71846333e+02 
 6.33840810e+05  2.72304036e+01  1.71660874e+02 
 6.48457008e+05  2.72262017e+01  1.71471316e+02 
 6.63410251e+05  2.72218081e+01  1.71277577e+02 
 6.78708313e+05  2.72172143e+01  1.71079575e+02 
 6.94359143e+05  2.72124115e+01  1.70877224e+02 
 7.10370877e+05  2.72073902e+01  1.70670439e+02 
 7.26751838e+05  2.72021409e+01  1.70459135e+02 
