 frequency       AmagdB          Aphdeg         
 1.00000000e+04  4.66815443e+01  1.78707507e+02 
 1.02305973e+04  4.66814416e+01  1.78677713e+02 
 1.04665121e+04  4.66813342e+01  1.78647232e+02 
 1.07078670e+04  4.66812217e+01  1.78616050e+02 
 1.09547876e+04  4.66811040e+01  1.78584149e+02 
 1.12074020e+04  4.66809809e+01  1.78551514e+02 
 1.14658417e+04  4.66808519e+01  1.78518127e+02 
 1.17302409e+04  4.66807170e+01  1.78483971e+02 
 1.20007371e+04  4.66805758e+01  1.78449028e+02 
 1.22774708e+04  4.66804280e+01  1.78413281e+02 
 1.25605860e+04  4.66802733e+01  1.78376711e+02 
 1.28502297e+04  4.66801114e+01  1.78339299e+02 
 1.31465525e+04  4.66799419e+01  1.78301026e+02 
 1.34497085e+04  4.66797645e+01  1.78261872e+02 
 1.37598551e+04  4.66795789e+01  1.78221816e+02 
 1.40771537e+04  4.66793847e+01  1.78180839e+02 
 1.44017690e+04  4.66791813e+01  1.78138918e+02 
 1.47338699e+04  4.66789685e+01  1.78096033e+02 
 1.50736290e+04  4.66787458e+01  1.78052162e+02 
 1.54212228e+04  4.66785127e+01  1.78007281e+02 
 1.57768320e+04  4.66782688e+01  1.77961367e+02 
 1.61406415e+04  4.66780134e+01  1.77914398e+02 
 1.65128404e+04  4.66777462e+01  1.77866348e+02 
 1.68936220e+04  4.66774666e+01  1.77817193e+02 
 1.72831844e+04  4.66771739e+01  1.77766908e+02 
 1.76817299e+04  4.66768676e+01  1.77715468e+02 
 1.80894658e+04  4.66765470e+01  1.77662844e+02 
 1.85066040e+04  4.66762114e+01  1.77609012e+02 
 1.89333613e+04  4.66758603e+01  1.77553942e+02 
 1.93699595e+04  4.66754928e+01  1.77497607e+02 
 1.98166255e+04  4.66751082e+01  1.77439978e+02 
 2.02735916e+04  4.66747057e+01  1.77381025e+02 
 2.07410951e+04  4.66742844e+01  1.77320719e+02 
 2.12193792e+04  4.66738436e+01  1.77259028e+02 
 2.17086923e+04  4.66733822e+01  1.77195921e+02 
 2.22092889e+04  4.66728993e+01  1.77131366e+02 
