 frequency       inoise_spectrum onoise_spectrum
 1.00000000e+01  7.83579850e-06  1.41165032e-03 
 1.05776756e+01  7.61883325e-06  1.37256291e-03 
 1.11887221e+01  7.40787588e-06  1.33455782e-03 
 1.18350673e+01  7.20276002e-06  1.29760508e-03 
 1.25187503e+01  7.00332394e-06  1.26167557e-03 
 1.32419279e+01  6.80941036e-06  1.22674093e-03 
 1.40068818e+01  6.62086639e-06  1.19277363e-03 
 1.48160252e+01  6.43754333e-06  1.15974687e-03 
 1.56719108e+01  6.25929663e-06  1.12763460e-03 
 1.65772389e+01  6.08598574e-06  1.09641152e-03 
 1.75348655e+01  5.91747398e-06  1.06605298e-03 
 1.85478119e+01  5.75362848e-06  1.03653505e-03 
 1.96192737e+01  5.59432003e-06  1.00783446e-03 
 2.07526313e+01  5.43942302e-06  9.79928552e-04 
 2.19514602e+01  5.28881529e-06  9.52795333e-04 
 2.32195425e+01  5.14237808e-06  9.26413400e-04 
 2.45608788e+01  4.99999593e-06  9.00761945e-04 
 2.59797009e+01  4.86155655e-06  8.75820736e-04 
 2.74804848e+01  4.72695077e-06  8.51570100e-04 
 2.90679654e+01  4.59607246e-06  8.27990910e-04 
 3.07471508e+01  4.46881840e-06  8.05064566e-04 
 3.25233387e+01  4.34508826e-06  7.82772983e-04 
 3.44021326e+01  4.22478446e-06  7.61098577e-04 
 3.63894599e+01  4.10781213e-06  7.40024248e-04 
 3.84915902e+01  3.99407905e-06  7.19533370e-04 
 4.07151555e+01  3.88349551e-06  6.99609777e-04 
 4.30671707e+01  3.77597433e-06  6.80237748e-04 
 4.55550561e+01  3.67143071e-06  6.61401996e-04 
 4.81866605e+01  3.56978222e-06  6.43087659e-04 
 5.09702863e+01  3.47094870e-06  6.25280281e-04 
 5.39147154e+01  3.37485221e-06  6.07965807e-04 
 5.70292370e+01  3.28141699e-06  5.91130570e-04 
 6.03236769e+01  3.19056934e-06  5.74761278e-04 
 6.38084285e+01  3.10223763e-06  5.58845007e-04 
 6.74944857e+01  3.01635221e-06  5.43369186e-04 
 7.13934775e+01  2.93284535e-06  5.28321593e-04 
 7.55177045e+01  2.85165120e-06  5.13690338e-04 
 7.98801781e+01  2.77270573e-06  4.99463862e-04 
 8.44946611e+01  2.69594670e-06  4.85630920e-04 
 8.93757115e+01  2.62131357e-06  4.72180574e-04 
 9.45387283e+01  2.54874749e-06  4.59102190e-04 
 1.00000000e+02  2.47819124e-06  4.46385419e-04 
 1.05776756e+02  2.40958918e-06  4.34020198e-04 
 1.11887221e+02  2.34288721e-06  4.21996737e-04 
 1.18350673e+02  2.27803274e-06  4.10305511e-04 
 1.25187503e+02  2.21497463e-06  3.98937255e-04 
 1.32419279e+02  2.15366314e-06  3.87882954e-04 
 1.40068818e+02  2.09404994e-06  3.77133836e-04 
 1.48160252e+02  2.03608801e-06  3.66681363e-04 
 1.56719108e+02  1.97973165e-06  3.56517229e-04 
 1.65772389e+02  1.92493642e-06  3.46633348e-04 
 1.75348655e+02  1.87165911e-06  3.37021849e-04 
 1.85478119e+02  1.81985770e-06  3.27675069e-04 
 1.96192737e+02  1.76949135e-06  3.18585546e-04 
 2.07526313e+02  1.72052035e-06  3.09746013e-04 
 2.19514602e+02  1.67290606e-06  3.01149394e-04 
 2.32195425e+02  1.62661096e-06  2.92788793e-04 
 2.45608788e+02  1.58159853e-06  2.84657489e-04 
 2.59797009e+02  1.53783328e-06  2.76748934e-04 
 2.74804848e+02  1.49528069e-06  2.69056741e-04 
 2.90679654e+02  1.45390722e-06  2.61574684e-04 
 3.07471508e+02  1.41368023e-06  2.54296686e-04 
 3.25233387e+02  1.37456800e-06  2.47216817e-04 
 3.44021326e+02  1.33653970e-06  2.40329288e-04 
 3.63894599e+02  1.29956533e-06  2.33628444e-04 
 3.84915902e+02  1.26361574e-06  2.27108757e-04 
 4.07151555e+02  1.22866258e-06  2.20764826e-04 
 4.30671707e+02  1.19467828e-06  2.14591362e-04 
 4.55550561e+02  1.16163606e-06  2.08583190e-04 
 4.81866605e+02  1.12950985e-06  2.02735242e-04 
 5.09702863e+02  1.09827432e-06  1.97042547e-04 
 5.39147154e+02  1.06790483e-06  1.91500230e-04 
 5.70292370e+02  1.03837745e-06  1.86103505e-04 
 6.03236769e+02  1.00966888e-06  1.80847669e-04 
 6.38084285e+02  9.81756496e-07  1.75728096e-04 
 6.74944857e+02  9.54618274e-07  1.70740234e-04 
 7.13934775e+02  9.28232820e-07  1.65879598e-04 
 7.55177045e+02  9.02579326e-07  1.61141765e-04 
 7.98801781e+02  8.77637563e-07  1.56522371e-04 
 8.44946611e+02  8.53387863e-07  1.52017103e-04 
 8.93757115e+02  8.29811103e-07  1.47621702e-04 
 9.45387283e+02  8.06888692e-07  1.43331953e-04 
 1.00000000e+03  7.84602553e-07  1.39143686e-04 
 1.05776756e+03  7.62935113e-07  1.35052773e-04 
 1.11887221e+03  7.41869284e-07  1.31055129e-04 
 1.18350673e+03  7.21388455e-07  1.27146714e-04 
 1.25187503e+03  7.01476476e-07  1.23323531e-04 
 1.32419279e+03  6.82117643e-07  1.19581635e-04 
 1.40068818e+03  6.63296692e-07  1.15917137e-04 
 1.48160252e+03  6.44998780e-07  1.12326213e-04 
 1.56719108e+03  6.27209477e-07  1.08805118e-04 
 1.65772389e+03  6.09914755e-07  1.05350199e-04 
 1.75348655e+03  5.93100976e-07  1.01957914e-04 
 1.85478119e+03  5.76754880e-07  9.86248540e-05 
 1.96192737e+03  5.60863576e-07  9.53477682e-05 
 2.07526313e+03  5.45414532e-07  9.21235954e-05 
 2.19514602e+03  5.30395565e-07  8.89494966e-05 
 2.32195425e+03  5.15794831e-07  8.58228920e-05 
 2.45608788e+03  5.01600814e-07  8.27415003e-05 
 2.59797009e+03  4.87802321e-07  7.97033809e-05 
 2.74804848e+03  4.74388470e-07  7.67069750e-05 
 2.90679654e+03  4.61348680e-07  7.37511471e-05 
 3.07471508e+03  4.48672669e-07  7.08352222e-05 
 3.25233387e+03  4.36350437e-07  6.79590183e-05 
 3.44021326e+03  4.24372268e-07  6.51228702e-05 
 3.63894599e+03  4.12728712e-07  6.23276432e-05 
 3.84915902e+03  4.01410586e-07  5.95747336e-05 
 4.07151555e+03  3.90408963e-07  5.68660538e-05 
 4.30671707e+03  3.79715164e-07  5.42040008e-05 
 4.55550561e+03  3.69320754e-07  5.15914068e-05 
 4.81866605e+03  3.59217532e-07  4.90314732e-05 
