 frequency       AmagdB          Aphdeg         
 1.00000000e+01  4.52224408e+01  1.79896268e+02 
 1.04618344e+01  4.52224395e+01  1.79891478e+02 
 1.09449980e+01  4.52224380e+01  1.79886466e+02 
 1.14504757e+01  4.52224364e+01  1.79881222e+02 
 1.19792981e+01  4.52224346e+01  1.79875737e+02 
 1.25325434e+01  4.52224327e+01  1.79869998e+02 
 1.31113394e+01  4.52224306e+01  1.79863994e+02 
 1.37168662e+01  4.52224283e+01  1.79857713e+02 
 1.43503583e+01  4.52224258e+01  1.79851142e+02 
 1.50131073e+01  4.52224230e+01  1.79844267e+02 
 1.57064643e+01  4.52224199e+01  1.79837075e+02 
 1.64318429e+01  4.52224166e+01  1.79829550e+02 
 1.71907220e+01  4.52224130e+01  1.79821678e+02 
 1.79846488e+01  4.52224090e+01  1.79813443e+02 
 1.88152418e+01  4.52224047e+01  1.79804827e+02 
 1.96841945e+01  4.52223999e+01  1.79795813e+02 
 2.05932784e+01  4.52223947e+01  1.79786383e+02 
 2.15443469e+01  4.52223890e+01  1.79776518e+02 
 2.25393390e+01  4.52223828e+01  1.79766197e+02 
 2.35802834e+01  4.52223759e+01  1.79755399e+02 
 2.46693021e+01  4.52223684e+01  1.79744103e+02 
 2.58086154e+01  4.52223603e+01  1.79732285e+02 
 2.70005462e+01  4.52223513e+01  1.79719921e+02 
 2.82475244e+01  4.52223415e+01  1.79706986e+02 
 2.95520924e+01  4.52223308e+01  1.79693454e+02 
 3.09169098e+01  4.52223190e+01  1.79679297e+02 
 3.23447591e+01  4.52223061e+01  1.79664486e+02 
 3.38385515e+01  4.52222921e+01  1.79648991e+02 
 3.54013324e+01  4.52222767e+01  1.79632781e+02 
 3.70362879e+01  4.52222598e+01  1.79615822e+02 
 3.87467512e+01  4.52222414e+01  1.79598080e+02 
 4.05362096e+01  4.52222212e+01  1.79579519e+02 
 4.24083114e+01  4.52221991e+01  1.79560100e+02 
 4.43668733e+01  4.52221749e+01  1.79539785e+02 
 4.64158883e+01  4.52221484e+01  1.79518532e+02 
 4.85595339e+01  4.52221194e+01  1.79496297e+02 
 5.08021805e+01  4.52220877e+01  1.79473035e+02 
 5.31484001e+01  4.52220530e+01  1.79448700e+02 
 5.56029763e+01  4.52220150e+01  1.79423241e+02 
 5.81709133e+01  4.52219734e+01  1.79396606e+02 
 6.08574464e+01  4.52219279e+01  1.79368741e+02 
 6.36680529e+01  4.52218781e+01  1.79339590e+02 
 6.66084629e+01  4.52218236e+01  1.79309093e+02 
 6.96846712e+01  4.52217639e+01  1.79277188e+02 
 7.29029493e+01  4.52216986e+01  1.79243810e+02 
 7.62698586e+01  4.52216271e+01  1.79208890e+02 
 7.97922634e+01  4.52215489e+01  1.79172359e+02 
 8.34773449e+01  4.52214633e+01  1.79134142e+02 
 8.73326162e+01  4.52213695e+01  1.79094160e+02 
 9.13659373e+01  4.52212670e+01  1.79052332e+02 
 9.55855309e+01  4.52211547e+01  1.79008574e+02 
 1.00000000e+02  4.52210319e+01  1.78962797e+02 
 1.04618344e+02  4.52208974e+01  1.78914906e+02 
 1.09449980e+02  4.52207502e+01  1.78864806e+02 
 1.14504757e+02  4.52205891e+01  1.78812393e+02 
 1.19792981e+02  4.52204128e+01  1.78757562e+02 
 1.25325434e+02  4.52202199e+01  1.78700202e+02 
 1.31113394e+02  4.52200087e+01  1.78640194e+02 
 1.37168662e+02  4.52197776e+01  1.78577419e+02 
 1.43503583e+02  4.52195247e+01  1.78511748e+02 
 1.50131073e+02  4.52192479e+01  1.78443049e+02 
 1.57064643e+02  4.52189449e+01  1.78371181e+02 
 1.64318429e+02  4.52186134e+01  1.78296000e+02 
 1.71907220e+02  4.52182505e+01  1.78217353e+02 
 1.79846488e+02  4.52178534e+01  1.78135081e+02 
 1.88152418e+02  4.52174188e+01  1.78049018e+02 
 1.96841945e+02  4.52169432e+01  1.77958990e+02 
