 v-sweep         Vout           
 0.00000000e+00  1.69879276e-01 
 1.00000000e-02  1.69965346e-01 
 2.00000000e-02  1.70098502e-01 
 3.00000000e-02  1.70280567e-01 
 4.00000000e-02  1.70528829e-01 
 5.00000000e-02  1.70866030e-01 
 6.00000000e-02  1.71387669e-01 
 7.00000000e-02  1.72018694e-01 
 8.00000000e-02  1.72854955e-01 
 9.00000000e-02  1.73949897e-01 
 1.00000000e-01  1.75362788e-01 
 1.10000000e-01  1.77155266e-01 
 1.20000000e-01  1.79386584e-01 
 1.30000000e-01  1.82108379e-01 
 1.40000000e-01  1.85360203e-01 
 1.50000000e-01  1.89166870e-01 
 1.60000000e-01  1.93538063e-01 
 1.70000000e-01  1.98469855e-01 
 1.80000000e-01  2.03947364e-01 
 1.90000000e-01  2.09947666e-01 
 2.00000000e-01  2.16442410e-01 
 2.10000000e-01  2.23399856e-01 
 2.20000000e-01  2.30786339e-01 
 2.30000000e-01  2.38567264e-01 
 2.40000000e-01  2.46707744e-01 
 2.50000000e-01  2.55016603e-01 
 2.60000000e-01  2.63794536e-01 
 2.70000000e-01  2.72821971e-01 
 2.80000000e-01  2.82070119e-01 
 2.90000000e-01  2.91503697e-01 
 3.00000000e-01  3.01087413e-01 
 3.10000000e-01  3.10787399e-01 
 3.20000000e-01  3.20573446e-01 
 3.30000000e-01  3.30448071e-01 
 3.40000000e-01  3.40330877e-01 
 3.50000000e-01  3.50246207e-01 
 3.60000000e-01  3.60184739e-01 
 3.70000000e-01  3.70139963e-01 
 3.80000000e-01  3.80107267e-01 
 3.90000000e-01  3.90079414e-01 
 4.00000000e-01  4.00062887e-01 
 4.10000000e-01  4.10050561e-01 
 4.20000000e-01  4.20041249e-01 
 4.30000000e-01  4.30034083e-01 
 4.40000000e-01  4.40028464e-01 
 4.50000000e-01  4.50023966e-01 
 4.60000000e-01  4.60020248e-01 
 4.70000000e-01  4.70017008e-01 
 4.80000000e-01  4.80014011e-01 
 4.90000000e-01  4.90011122e-01 
 5.00000000e-01  5.00008279e-01 
 5.10000000e-01  5.10005455e-01 
 5.20000000e-01  5.20002641e-01 
 5.30000000e-01  5.29999831e-01 
 5.40000000e-01  5.39997022e-01 
 5.50000000e-01  5.49994210e-01 
 5.60000000e-01  5.59991393e-01 
 5.70000000e-01  5.69988567e-01 
 5.80000000e-01  5.79985729e-01 
 5.90000000e-01  5.89982872e-01 
 6.00000000e-01  5.99979991e-01 
 6.10000000e-01  6.09977076e-01 
 6.20000000e-01  6.19974119e-01 
 6.30000000e-01  6.29971104e-01 
 6.40000000e-01  6.39968013e-01 
 6.50000000e-01  6.49964820e-01 
 6.60000000e-01  6.59961488e-01 
 6.70000000e-01  6.69957960e-01 
 6.80000000e-01  6.79954150e-01 
 6.90000000e-01  6.89949917e-01 
 7.00000000e-01  6.99945032e-01 
 7.10000000e-01  7.09939106e-01 
 7.20000000e-01  7.19931492e-01 
 7.30000000e-01  7.29921125e-01 
 7.40000000e-01  7.39906351e-01 
 7.50000000e-01  7.49884795e-01 
 7.60000000e-01  7.59853321e-01 
 7.70000000e-01  7.69808044e-01 
 7.80000000e-01  7.79744370e-01 
 7.90000000e-01  7.89657145e-01 
 8.00000000e-01  7.99541104e-01 
 8.10000000e-01  8.09391677e-01 
 8.20000000e-01  8.19205961e-01 
 8.30000000e-01  8.28983378e-01 
 8.40000000e-01  8.38725655e-01 
 8.50000000e-01  8.48436110e-01 
 8.60000000e-01  8.58118673e-01 
 8.70000000e-01  8.67776993e-01 
 8.80000000e-01  8.77413822e-01 
 8.90000000e-01  8.87030521e-01 
 9.00000000e-01  8.96626451e-01 
 9.10000000e-01  9.06197829e-01 
 9.20000000e-01  9.15735514e-01 
 9.30000000e-01  9.25221445e-01 
 9.40000000e-01  9.34625439e-01 
 9.50000000e-01  9.43907392e-01 
 9.60000000e-01  9.53025403e-01 
 9.70000000e-01  9.61937445e-01 
 9.80000000e-01  9.70593065e-01 
 9.90000000e-01  9.78927141e-01 
 1.00000000e+00  9.86860039e-01 
 1.01000000e+00  9.94301842e-01 
 1.02000000e+00  1.00115966e+00 
 1.03000000e+00  1.00734813e+00 
 1.04000000e+00  1.01280235e+00 
 1.05000000e+00  1.01749071e+00 
 1.06000000e+00  1.02142285e+00 
 1.07000000e+00  1.02464879e+00 
 1.08000000e+00  1.02724894e+00 
 1.09000000e+00  1.02931918e+00 
 1.10000000e+00  1.03095662e+00 
 1.11000000e+00  1.03224975e+00 
 1.12000000e+00  1.03327362e+00 
 1.13000000e+00  1.03408887e+00 
 1.14000000e+00  1.03474300e+00 
 1.15000000e+00  1.03527254e+00 
 1.16000000e+00  1.03570528e+00 
 1.17000000e+00  1.03606233e+00 
 1.18000000e+00  1.03635971e+00 
 1.19000000e+00  1.03660965e+00 
 1.20000000e+00  1.03682155e+00 
