 v-sweep         Vout           
 0.00000000e+00  1.67507876e-01 
 1.00000000e-02  1.67599675e-01 
 2.00000000e-02  1.67741682e-01 
 3.00000000e-02  1.67935794e-01 
 4.00000000e-02  1.68200361e-01 
 5.00000000e-02  1.68559450e-01 
 6.00000000e-02  1.69114039e-01 
 7.00000000e-02  1.69784022e-01 
 8.00000000e-02  1.70670134e-01 
 9.00000000e-02  1.71827443e-01 
 1.00000000e-01  1.73316308e-01 
 1.10000000e-01  1.75198608e-01 
 1.20000000e-01  1.77532763e-01 
 1.30000000e-01  1.80368514e-01 
 1.40000000e-01  1.83742696e-01 
 1.50000000e-01  1.87677011e-01 
 1.60000000e-01  1.92178045e-01 
 1.70000000e-01  1.97239121e-01 
 1.80000000e-01  2.02843092e-01 
 1.90000000e-01  2.08965286e-01 
 2.00000000e-01  2.15576064e-01 
 2.10000000e-01  2.22642772e-01 
 2.20000000e-01  2.30131127e-01 
 2.30000000e-01  2.38006129e-01 
 2.40000000e-01  2.46232633e-01 
 2.50000000e-01  2.54623418e-01 
 2.60000000e-01  2.63470647e-01 
 2.70000000e-01  2.72558906e-01 
 2.80000000e-01  2.81859100e-01 
 2.90000000e-01  2.91335950e-01 
 3.00000000e-01  3.00954607e-01 
 3.10000000e-01  3.10682254e-01 
 3.20000000e-01  3.20525357e-01 
 3.30000000e-01  3.30380665e-01 
 3.40000000e-01  3.40278573e-01 
 3.50000000e-01  3.50206459e-01 
 3.60000000e-01  3.60155347e-01 
 3.70000000e-01  3.70118923e-01 
 3.80000000e-01  3.80088244e-01 
 3.90000000e-01  3.90070686e-01 
 4.00000000e-01  4.00057588e-01 
 4.10000000e-01  4.10047707e-01 
 4.20000000e-01  4.20040108e-01 
 4.30000000e-01  4.30034145e-01 
 4.40000000e-01  4.40029330e-01 
 4.50000000e-01  4.50025253e-01 
 4.60000000e-01  4.60021584e-01 
 4.70000000e-01  4.70018117e-01 
 4.80000000e-01  4.80014754e-01 
 4.90000000e-01  4.90011454e-01 
 5.00000000e-01  5.00008199e-01 
 5.10000000e-01  5.10004981e-01 
 5.20000000e-01  5.20001795e-01 
 5.30000000e-01  5.29998642e-01 
 5.40000000e-01  5.39995519e-01 
 5.50000000e-01  5.49992425e-01 
 5.60000000e-01  5.59989359e-01 
 5.70000000e-01  5.69986320e-01 
 5.80000000e-01  5.79983307e-01 
 5.90000000e-01  5.89980316e-01 
 6.00000000e-01  5.99977344e-01 
 6.10000000e-01  6.09974389e-01 
 6.20000000e-01  6.19971448e-01 
 6.30000000e-01  6.29968518e-01 
 6.40000000e-01  6.39965594e-01 
 6.50000000e-01  6.49962674e-01 
 6.60000000e-01  6.59959751e-01 
 6.70000000e-01  6.69956822e-01 
 6.80000000e-01  6.79953879e-01 
 6.90000000e-01  6.89950917e-01 
 7.00000000e-01  6.99947927e-01 
 7.10000000e-01  7.09944901e-01 
 7.20000000e-01  7.19941826e-01 
 7.30000000e-01  7.29938689e-01 
 7.40000000e-01  7.39935472e-01 
 7.50000000e-01  7.49932150e-01 
 7.60000000e-01  7.59928689e-01 
 7.70000000e-01  7.69925041e-01 
 7.80000000e-01  7.79921136e-01 
 7.90000000e-01  7.89916860e-01 
 8.00000000e-01  7.99912037e-01 
 8.10000000e-01  8.09906372e-01 
 8.20000000e-01  8.19899376e-01 
 8.30000000e-01  8.29890221e-01 
 8.40000000e-01  8.39877551e-01 
 8.50000000e-01  8.49859241e-01 
 8.60000000e-01  8.59832207e-01 
 8.70000000e-01  8.69792311e-01 
 8.80000000e-01  8.79734321e-01 
 8.90000000e-01  8.89651835e-01 
 9.00000000e-01  8.99537255e-01 
 9.10000000e-01  9.09382020e-01 
 9.20000000e-01  9.19177211e-01 
 9.30000000e-01  9.28914364e-01 
 9.40000000e-01  9.38586013e-01 
 9.50000000e-01  9.48185505e-01 
 9.60000000e-01  9.57706117e-01 
 9.70000000e-01  9.67139932e-01 
 9.80000000e-01  9.76477114e-01 
 9.90000000e-01  9.85705942e-01 
 1.00000000e+00  9.94813587e-01 
 1.01000000e+00  1.00378732e+00 
 1.02000000e+00  1.01261552e+00 
 1.03000000e+00  1.02128779e+00 
 1.04000000e+00  1.02979361e+00 
 1.05000000e+00  1.03811926e+00 
 1.06000000e+00  1.04624446e+00 
 1.07000000e+00  1.05414285e+00 
 1.08000000e+00  1.06178814e+00 
 1.09000000e+00  1.06915592e+00 
 1.10000000e+00  1.07621615e+00 
 1.11000000e+00  1.08292620e+00 
 1.12000000e+00  1.08922989e+00 
 1.13000000e+00  1.09506080e+00 
 1.14000000e+00  1.10034971e+00 
 1.15000000e+00  1.10503631e+00 
 1.16000000e+00  1.10908345e+00 
 1.17000000e+00  1.11248870e+00 
 1.18000000e+00  1.11528743e+00 
 1.19000000e+00  1.11754530e+00 
 1.20000000e+00  1.11934424e+00 
