 v-sweep         Vout           
-2.00000000e-05  4.58584338e-01 
-1.99400000e-05  4.58759403e-01 
-1.98800000e-05  4.58934277e-01 
-1.98200000e-05  4.59109568e-01 
-1.97600000e-05  4.59285278e-01 
-1.97000000e-05  4.59461404e-01 
-1.96400000e-05  4.59637947e-01 
-1.95800000e-05  4.59814890e-01 
-1.95200000e-05  4.59992260e-01 
-1.94600000e-05  4.60170031e-01 
-1.94000000e-05  4.60348218e-01 
-1.93400000e-05  4.60526825e-01 
-1.92800000e-05  4.60705828e-01 
-1.92200000e-05  4.60885244e-01 
-1.91600000e-05  4.61065062e-01 
-1.91000000e-05  4.61245286e-01 
-1.90400000e-05  4.61425918e-01 
-1.89800000e-05  4.61606937e-01 
-1.89200000e-05  4.61788371e-01 
-1.88600000e-05  4.61970197e-01 
-1.88000000e-05  4.62152417e-01 
-1.87400000e-05  4.62335037e-01 
-1.86800000e-05  4.62518056e-01 
-1.86200000e-05  4.62701463e-01 
-1.85600000e-05  4.62885259e-01 
-1.85000000e-05  4.63069441e-01 
-1.84400000e-05  4.63254017e-01 
-1.83800000e-05  4.63438977e-01 
-1.83200000e-05  4.63624319e-01 
-1.82600000e-05  4.63810048e-01 
-1.82000000e-05  4.63996153e-01 
-1.81400000e-05  4.64182634e-01 
-1.80800000e-05  4.64369503e-01 
-1.80200000e-05  4.64556731e-01 
-1.79600000e-05  4.64744332e-01 
-1.79000000e-05  4.64932314e-01 
-1.78400000e-05  4.65120663e-01 
-1.77800000e-05  4.65309366e-01 
-1.77200000e-05  4.65498446e-01 
-1.76600000e-05  4.65687877e-01 
-1.76000000e-05  4.65877674e-01 
-1.75400000e-05  4.66067820e-01 
-1.74800000e-05  4.66258337e-01 
-1.74200000e-05  4.66449196e-01 
-1.73600000e-05  4.66640408e-01 
-1.73000000e-05  4.66831958e-01 
-1.72400000e-05  4.67023870e-01 
-1.71800000e-05  4.67216124e-01 
-1.71200000e-05  4.67408714e-01 
-1.70600000e-05  4.67601644e-01 
-1.70000000e-05  4.67794909e-01 
-1.69400000e-05  4.67988506e-01 
-1.68800000e-05  4.68182434e-01 
-1.68200000e-05  4.68376693e-01 
-1.67600000e-05  4.68571280e-01 
-1.67000000e-05  4.68766181e-01 
-1.66400000e-05  4.68961411e-01 
-1.65800000e-05  4.69156959e-01 
-1.65200000e-05  4.69352825e-01 
-1.64600000e-05  4.69549002e-01 
-1.64000000e-05  4.69745492e-01 
-1.63400000e-05  4.69942283e-01 
-1.62800000e-05  4.70139387e-01 
-1.62200000e-05  4.70336789e-01 
-1.61600000e-05  4.70534499e-01 
-1.61000000e-05  4.70732499e-01 
-1.60400000e-05  4.70930788e-01 
