 frequency       inoise_spectrum onoise_spectrum
 1.00000000e+00  7.89822151e-06  2.68332858e-02 
 1.05776756e+00  7.67954744e-06  2.60903526e-02 
 1.11887221e+00  7.46692913e-06  2.53679922e-02 
 1.18350673e+00  7.26019890e-06  2.46656351e-02 
 1.25187503e+00  7.05919375e-06  2.39827272e-02 
 1.32419279e+00  6.86375515e-06  2.33187299e-02 
 1.40068818e+00  6.67372901e-06  2.26731197e-02 
 1.48160252e+00  6.48896548e-06  2.20453872e-02 
 1.56719108e+00  6.30931885e-06  2.14350374e-02 
 1.65772389e+00  6.13464747e-06  2.08415889e-02 
 1.75348655e+00  5.96481360e-06  2.02645735e-02 
 1.85478119e+00  5.79968331e-06  1.97035361e-02 
 1.96192737e+00  5.63912640e-06  1.91580341e-02 
 2.07526313e+00  5.48301625e-06  1.86276373e-02 
 2.19514602e+00  5.33122976e-06  1.81119272e-02 
 2.32195425e+00  5.18364724e-06  1.76104970e-02 
 2.45608788e+00  5.04015231e-06  1.71229509e-02 
 2.59797009e+00  4.90063182e-06  1.66489044e-02 
 2.74804848e+00  4.76497576e-06  1.61879834e-02 
 2.90679654e+00  4.63307713e-06  1.57398240e-02 
 3.07471508e+00  4.50483195e-06  1.53040728e-02 
 3.25233387e+00  4.38013908e-06  1.48803856e-02 
 3.44021326e+00  4.25890018e-06  1.44684280e-02 
 3.63894599e+00  4.14101967e-06  1.40678749e-02 
 3.84915902e+00  4.02640458e-06  1.36784099e-02 
 4.07151555e+00  3.91496453e-06  1.32997255e-02 
 4.30671707e+00  3.80661164e-06  1.29315225e-02 
 4.55550561e+00  3.70126048e-06  1.25735101e-02 
 4.81866605e+00  3.59882797e-06  1.22254054e-02 
 5.09702863e+00  3.49923333e-06  1.18869332e-02 
 5.39147154e+00  3.40239804e-06  1.15578260e-02 
 5.70292370e+00  3.30824571e-06  1.12378234e-02 
 6.03236769e+00  3.21670213e-06  1.09266724e-02 
 6.38084285e+00  3.12769509e-06  1.06241266e-02 
 6.74944857e+00  3.04115441e-06  1.03299466e-02 
 7.13934775e+00  2.95701184e-06  1.00438992e-02 
 7.55177045e+00  2.87520104e-06  9.76575789e-03 
 7.98801781e+00  2.79565750e-06  9.49530196e-03 
 8.44946611e+00  2.71831849e-06  9.23231682e-03 
 8.93757115e+00  2.64312301e-06  8.97659363e-03 
 9.45387283e+00  2.57001179e-06  8.72792914e-03 
 1.00000000e+01  2.49892716e-06  8.48612552e-03 
 1.05776756e+01  2.42981307e-06  8.25099021e-03 
 1.11887221e+01  2.36261501e-06  8.02233573e-03 
