 v-sweep         Vout           
 0.00000000e+00  1.14525822e-03 
 1.00000000e-02  1.04365209e-02 
 2.00000000e-02  2.02947208e-02 
 3.00000000e-02  3.02622167e-02 
 4.00000000e-02  4.02738505e-02 
 5.00000000e-02  5.03159860e-02 
 6.00000000e-02  6.03795381e-02 
 7.00000000e-02  7.04587957e-02 
 8.00000000e-02  8.05497624e-02 
 9.00000000e-02  9.06494428e-02 
 1.00000000e-01  1.00755524e-01 
 1.10000000e-01  1.10866206e-01 
 1.20000000e-01  1.20980086e-01 
 1.30000000e-01  1.31096070e-01 
 1.40000000e-01  1.41213307e-01 
 1.50000000e-01  1.51331128e-01 
 1.60000000e-01  1.61449008e-01 
 1.70000000e-01  1.71566525e-01 
 1.80000000e-01  1.81683336e-01 
 1.90000000e-01  1.91799159e-01 
 2.00000000e-01  2.01913757e-01 
 2.10000000e-01  2.12027676e-01 
 2.20000000e-01  2.22139484e-01 
 2.30000000e-01  2.32249337e-01 
 2.40000000e-01  2.42357291e-01 
 2.50000000e-01  2.52463185e-01 
 2.60000000e-01  2.62566855e-01 
 2.70000000e-01  2.72668099e-01 
 2.80000000e-01  2.82766664e-01 
 2.90000000e-01  2.92862247e-01 
 3.00000000e-01  3.02954514e-01 
 3.10000000e-01  3.13043137e-01 
 3.20000000e-01  3.23127838e-01 
 3.30000000e-01  3.33208426e-01 
 3.40000000e-01  3.43284835e-01 
 3.50000000e-01  3.53357159e-01 
 3.60000000e-01  3.63425687e-01 
 3.70000000e-01  3.73490914e-01 
 3.80000000e-01  3.83553500e-01 
 3.90000000e-01  3.93614183e-01 
 4.00000000e-01  4.03673669e-01 
 4.10000000e-01  4.13732543e-01 
 4.20000000e-01  4.23791243e-01 
 4.30000000e-01  4.33850073e-01 
 4.40000000e-01  4.43909225e-01 
 4.50000000e-01  4.53968820e-01 
 4.60000000e-01  4.64028920e-01 
 4.70000000e-01  4.74089548e-01 
 4.80000000e-01  4.84150698e-01 
 4.90000000e-01  4.94212338e-01 
 5.00000000e-01  5.04274414e-01 
 5.10000000e-01  5.14336848e-01 
 5.20000000e-01  5.24399546e-01 
 5.30000000e-01  5.34462387e-01 
 5.40000000e-01  5.44525227e-01 
 5.50000000e-01  5.54587894e-01 
 5.60000000e-01  5.64650189e-01 
 5.70000000e-01  5.74711882e-01 
 5.80000000e-01  5.84772718e-01 
 5.90000000e-01  5.94832425e-01 
 6.00000000e-01  6.04890742e-01 
 6.10000000e-01  6.14947500e-01 
 6.20000000e-01  6.25002785e-01 
 6.30000000e-01  6.35057350e-01 
 6.40000000e-01  6.45113572e-01 
 6.50000000e-01  6.55177619e-01 
 6.60000000e-01  6.65263759e-01 
 6.70000000e-01  6.75400227e-01 
 6.80000000e-01  6.85629604e-01 
 6.90000000e-01  6.95997022e-01 
 7.00000000e-01  7.06546084e-01 
 7.10000000e-01  7.17338551e-01 
 7.20000000e-01  7.28478295e-01 
 7.30000000e-01  7.40137048e-01 
 7.40000000e-01  7.52602310e-01 
 7.50000000e-01  7.67283780e-01 
 7.60000000e-01  7.84243568e-01 
 7.70000000e-01  8.07619439e-01 
 7.80000000e-01  8.54588701e-01 
 7.90000000e-01  1.16299317e+00 
 8.00000000e-01  1.17255851e+00 
 8.10000000e-01  1.17447195e+00 
 8.20000000e-01  1.17536596e+00 
 8.30000000e-01  1.17585825e+00 
 8.40000000e-01  1.17624660e+00 
 8.50000000e-01  1.17641306e+00 
 8.60000000e-01  1.17656329e+00 
 8.70000000e-01  1.17666712e+00 
 8.80000000e-01  1.17674765e+00 
 8.90000000e-01  1.17680979e+00 
 9.00000000e-01  1.17685894e+00 
 9.10000000e-01  1.17689839e+00 
 9.20000000e-01  1.17693051e+00 
 9.30000000e-01  1.17695700e+00 
 9.40000000e-01  1.17697909e+00 
 9.50000000e-01  1.17699770e+00 
 9.60000000e-01  1.17701350e+00 
 9.70000000e-01  1.17702702e+00 
 9.80000000e-01  1.17703868e+00 
 9.90000000e-01  1.17704878e+00 
 1.00000000e+00  1.17705757e+00 
 1.01000000e+00  1.17706526e+00 
 1.02000000e+00  1.17707201e+00 
 1.03000000e+00  1.17707795e+00 
 1.04000000e+00  1.17708318e+00 
 1.05000000e+00  1.17708778e+00 
 1.06000000e+00  1.17709184e+00 
 1.07000000e+00  1.17709541e+00 
 1.08000000e+00  1.17709854e+00 
 1.09000000e+00  1.17710127e+00 
 1.10000000e+00  1.17710364e+00 
 1.11000000e+00  1.17710567e+00 
 1.12000000e+00  1.17710738e+00 
 1.13000000e+00  1.17710881e+00 
 1.14000000e+00  1.17710996e+00 
 1.15000000e+00  1.17711084e+00 
 1.16000000e+00  1.17711148e+00 
 1.17000000e+00  1.17711187e+00 
 1.18000000e+00  1.17711202e+00 
 1.19000000e+00  1.17711194e+00 
 1.20000000e+00  1.17711162e+00 
