 frequency       inoise_spectrum onoise_spectrum
 1.00000000e+00  1.37812903e-05  4.61105558e-02 
 1.05776756e+00  1.33997067e-05  4.48337996e-02 
 1.11887221e+00  1.30286894e-05  4.35923960e-02 
 1.18350673e+00  1.26679461e-05  4.23853659e-02 
 1.25187503e+00  1.23171920e-05  4.12117574e-02 
 1.32419279e+00  1.19761508e-05  4.00706450e-02 
 1.40068818e+00  1.16445535e-05  3.89611285e-02 
 1.48160252e+00  1.13221385e-05  3.78823331e-02 
 1.56719108e+00  1.10086516e-05  3.68334076e-02 
 1.65772389e+00  1.07038457e-05  3.58135250e-02 
 1.75348655e+00  1.04074803e-05  3.48218806e-02 
 1.85478119e+00  1.01193219e-05  3.38576923e-02 
 1.96192737e+00  9.83914305e-06  3.29201995e-02 
 2.07526313e+00  9.56672293e-06  3.20086627e-02 
 2.19514602e+00  9.30184670e-06  3.11223628e-02 
 2.32195425e+00  9.04430550e-06  3.02606006e-02 
 2.45608788e+00  8.79389623e-06  2.94226961e-02 
 2.59797009e+00  8.55042143e-06  2.86079883e-02 
 2.74804848e+00  8.31368912e-06  2.78158342e-02 
 2.90679654e+00  8.08351261e-06  2.70456088e-02 
 3.07471508e+00  7.85971039e-06  2.62967041e-02 
 3.25233387e+00  7.64210600e-06  2.55685292e-02 
 3.44021326e+00  7.43052783e-06  2.48605092e-02 
 3.63894599e+00  7.22480904e-06  2.41720851e-02 
 3.84915902e+00  7.02478741e-06  2.35027134e-02 
 4.07151555e+00  6.83030522e-06  2.28518655e-02 
 4.30671707e+00  6.64120910e-06  2.22190273e-02 
 4.55550561e+00  6.45734994e-06  2.16036990e-02 
 4.81866605e+00  6.27858276e-06  2.10053943e-02 
 5.09702863e+00  6.10476659e-06  2.04236403e-02 
 5.39147154e+00  5.93576436e-06  1.98579772e-02 
 5.70292370e+00  5.77144282e-06  1.93079576e-02 
 6.03236769e+00  5.61167237e-06  1.87731465e-02 
 6.38084285e+00  5.45632705e-06  1.82531207e-02 
 6.74944857e+00  5.30528433e-06  1.77474684e-02 
 7.13934775e+00  5.15842513e-06  1.72557891e-02 
 7.55177045e+00  5.01563363e-06  1.67776933e-02 
 7.98801781e+00  4.87679724e-06  1.63128019e-02 
 8.44946611e+00  4.74180647e-06  1.58607460e-02 
 8.93757115e+00  4.61055487e-06  1.54211666e-02 
 9.45387283e+00  4.48293896e-06  1.49937145e-02 
 1.00000000e+01  4.35885809e-06  1.45780497e-02 
 1.05776756e+01  4.23821442e-06  1.41738413e-02 
 1.11887221e+01  4.12091281e-06  1.37807670e-02 
 1.18350673e+01  4.00686077e-06  1.33985133e-02 
 1.25187503e+01  3.89596837e-06  1.30267746e-02 
 1.32419279e+01  3.78814815e-06  1.26652534e-02 
 1.40068818e+01  3.68331509e-06  1.23136598e-02 
 1.48160252e+01  3.58138653e-06  1.19717114e-02 
 1.56719108e+01  3.48228209e-06  1.16391329e-02 
 1.65772389e+01  3.38592363e-06  1.13156559e-02 
 1.75348655e+01  3.29223515e-06  1.10010188e-02 
 1.85478119e+01  3.20114277e-06  1.06949662e-02 
 1.96192737e+01  3.11257468e-06  1.03972488e-02 
 2.07526313e+01  3.02646102e-06  1.01076236e-02 
 2.19514602e+01  2.94273389e-06  9.82585298e-03 
 2.32195425e+01  2.86132727e-06  9.55170472e-03 
 2.45608788e+01  2.78217696e-06  9.28495190e-03 
 2.59797009e+01  2.70522055e-06  9.02537254e-03 
 2.74804848e+01  2.63039735e-06  8.77274933e-03 
 2.90679654e+01  2.55764836e-06  8.52686946e-03 
 3.07471508e+01  2.48691622e-06  8.28752435e-03 
 3.25233387e+01  2.41814515e-06  8.05450940e-03 
 3.44021326e+01  2.35128091e-06  7.82762380e-03 
 3.63894599e+01  2.28627078e-06  7.60667026e-03 
 3.84915902e+01  2.22306351e-06  7.39145479e-03 
 4.07151555e+01  2.16160923e-06  7.18178650e-03 
 4.30671707e+01  2.10185950e-06  6.97747736e-03 
 4.55550561e+01  2.04376720e-06  6.77834199e-03 
 4.81866605e+01  1.98728651e-06  6.58419750e-03 
 5.09702863e+01  1.93237291e-06  6.39486326e-03 
 5.39147154e+01  1.87898307e-06  6.21016076e-03 
 5.70292370e+01  1.82707492e-06  6.02991349e-03 
 6.03236769e+01  1.77660750e-06  5.85394681e-03 
 6.38084285e+01  1.72754103e-06  5.68208786e-03 
 6.74944857e+01  1.67983682e-06  5.51416558e-03 
 7.13934775e+01  1.63345723e-06  5.35001067e-03 
 7.55177045e+01  1.58836571e-06  5.18945575e-03 
 7.98801781e+01  1.54452668e-06  5.03233545e-03 
 8.44946611e+01  1.50190559e-06  4.87848673e-03 
 8.93757115e+01  1.46046882e-06  4.72774918e-03 
 9.45387283e+01  1.42018369e-06  4.57996551e-03 
 1.00000000e+02  1.38101844e-06  4.43498212e-03 
 1.05776756e+02  1.34294218e-06  4.29264987e-03 
 1.11887221e+02  1.30592488e-06  4.15282495e-03 
 1.18350673e+02  1.26993735e-06  4.01536991e-03 
 1.25187503e+02  1.23495121e-06  3.88015488e-03 
 1.32419279e+02  1.20093888e-06  3.74705894e-03 
 1.40068818e+02  1.16787352e-06  3.61597164e-03 
 1.48160252e+02  1.13572906e-06  3.48679458e-03 
 1.56719108e+02  1.10448015e-06  3.35944320e-03 
 1.65772389e+02  1.07410215e-06  3.23384849e-03 
 1.75348655e+02  1.04457110e-06  3.10995871e-03 
 1.85478119e+02  1.01586370e-06  2.98774102e-03 
 1.96192737e+02  9.87957320e-07  2.86718287e-03 
 2.07526313e+02  9.60829945e-07  2.74829313e-03 
 2.19514602e+02  9.34460181e-07  2.63110272e-03 
 2.32195425e+02  9.08827227e-07  2.51566481e-03 
 2.45608788e+02  8.83910867e-07  2.40205432e-03 
 2.59797009e+02  8.59691444e-07  2.29036681e-03 
 2.74804848e+02  8.36149856e-07  2.18071655e-03 
 2.90679654e+02  8.13267531e-07  2.07323397e-03 
 3.07471508e+02  7.91026417e-07  1.96806231e-03 
 3.25233387e+02  7.69408968e-07  1.86535377e-03 
 3.44021326e+02  7.48398129e-07  1.76526517e-03 
 3.63894599e+02  7.27977321e-07  1.66795336e-03 
 3.84915902e+02  7.08130431e-07  1.57357055e-03 
 4.07151555e+02  6.88841797e-07  1.48225977e-03 
 4.30671707e+02  6.70096197e-07  1.39415075e-03 
 4.55550561e+02  6.51878835e-07  1.30935622e-03 
 4.81866605e+02  6.34175331e-07  1.22796900e-03 
 5.09702863e+02  6.16971709e-07  1.15005982e-03 
 5.39147154e+02  6.00254386e-07  1.07567590e-03 
 5.70292370e+02  5.84010160e-07  1.00484048e-03 
 6.03236769e+02  5.68226202e-07  9.37552978e-04 
 6.38084285e+02  5.52890044e-07  8.73789930e-04 
 6.74944857e+02  5.37989567e-07  8.13506449e-04 
 7.13934775e+02  5.23512997e-07  7.56638142e-04 
 7.55177045e+02  5.09448890e-07  7.03103339e-04 
 7.98801781e+02  4.95786125e-07  6.52805519e-04 
 8.44946611e+02  4.82513895e-07  6.05635809e-04 
 8.93757115e+02  4.69621700e-07  5.61475459e-04 
 9.45387283e+02  4.57099334e-07  5.20198231e-04 
 1.00000000e+03  4.44936881e-07  4.81672627e-04 
 1.05776756e+03  4.33124705e-07  4.45763917e-04 
 1.11887221e+03  4.21653443e-07  4.12335952e-04 
 1.18350673e+03  4.10513997e-07  3.81252740e-04 
 1.25187503e+03  3.99697525e-07  3.52379788e-04 
 1.32419279e+03  3.89195436e-07  3.25585225e-04 
 1.40068818e+03  3.78999383e-07  3.00740703e-04 
 1.48160252e+03  3.69101253e-07  2.77722113e-04 
 1.56719108e+03  3.59493164e-07  2.56410129e-04 
 1.65772389e+03  3.50167456e-07  2.36690590e-04 
 1.75348655e+03  3.41116683e-07  2.18454761e-04 
 1.85478119e+03  3.32333613e-07  2.01599476e-04 
 1.96192737e+03  3.23811214e-07  1.86027190e-04 
 2.07526313e+03  3.15542654e-07  1.71645955e-04 
 2.19514602e+03  3.07521290e-07  1.58369333e-04 
 2.32195425e+03  2.99740666e-07  1.46116259e-04 
 2.45608788e+03  2.92194507e-07  1.34810877e-04 
 2.59797009e+03  2.84876712e-07  1.24382331e-04 
 2.74804848e+03  2.77781348e-07  1.14764557e-04 
 2.90679654e+03  2.70902647e-07  1.05896044e-04 
 3.07471508e+03  2.64234997e-07  9.77196025e-05 
 3.25233387e+03  2.57772942e-07  9.01821230e-05 
 3.44021326e+03  2.51511172e-07  8.32343373e-05 
 3.63894599e+03  2.45444522e-07  7.68305850e-05 
 3.84915902e+03  2.39567963e-07  7.09285848e-05 
 4.07151555e+03  2.33876601e-07  6.54892144e-05 
 4.30671707e+03  2.28365671e-07  6.04762986e-05 
 4.55550561e+03  2.23030529e-07  5.58564078e-05 
 4.81866605e+03  2.17866656e-07  5.15986662e-05 
 5.09702863e+03  2.12869642e-07  4.76745701e-05 
 5.39147154e+03  2.08035192e-07  4.40578171e-05 
 5.70292370e+03  2.03359116e-07  4.07241452e-05 
 6.03236769e+03  1.98837326e-07  3.76511823e-05 
 6.38084285e+03  1.94465833e-07  3.48183048e-05 
 6.74944857e+03  1.90240741e-07  3.22065065e-05 
 7.13934775e+03  1.86158247e-07  2.97982758e-05 
 7.55177045e+03  1.82214631e-07  2.75774812e-05 
 7.98801781e+03  1.78406260e-07  2.55292660e-05 
 8.44946611e+03  1.74729578e-07  2.36399493e-05 
 8.93757115e+03  1.71181107e-07  2.18969350e-05 
 9.45387283e+03  1.67757441e-07  2.02886272e-05 
 1.00000000e+04  1.64455244e-07  1.88043522e-05 
 1.05776756e+04  1.61271249e-07  1.74342860e-05 
 1.11887221e+04  1.58202251e-07  1.61693874e-05 
 1.18350673e+04  1.55245108e-07  1.50013364e-05 
 1.25187503e+04  1.52396739e-07  1.39224771e-05 
 1.32419279e+04  1.49654118e-07  1.29257650e-05 
 1.40068818e+04  1.47014275e-07  1.20047187e-05 
 1.48160252e+04  1.44474295e-07  1.11533749e-05 
 1.56719108e+04  1.42031314e-07  1.03662473e-05 
 1.65772389e+04  1.39682516e-07  9.63828834e-06 
 1.75348655e+04  1.37425137e-07  8.96485452e-06 
 1.85478119e+04  1.35256461e-07  8.34167377e-06 
 1.96192737e+04  1.33173817e-07  7.76481591e-06 
 2.07526313e+04  1.31174582e-07  7.23066520e-06 
 2.19514602e+04  1.29256178e-07  6.73589514e-06 
 2.32195425e+04  1.27416074e-07  6.27744524e-06 
 2.45608788e+04  1.25651781e-07  5.85249969e-06 
 2.59797009e+04  1.23960857e-07  5.45846768e-06 
 2.74804848e+04  1.22340906e-07  5.09296526e-06 
 2.90679654e+04  1.20789575e-07  4.75379876e-06 
 3.07471508e+04  1.19304558e-07  4.43894938e-06 
 3.25233387e+04  1.17883593e-07  4.14655917e-06 
 3.44021326e+04  1.16524466e-07  3.87491799e-06 
