 v-sweep         Vout           
-4.95000000e-03  3.68565490e-01 
-4.94985000e-03  3.68959827e-01 
-4.94970000e-03  3.69355141e-01 
-4.94955000e-03  3.69751308e-01 
-4.94940000e-03  3.70148211e-01 
-4.94925000e-03  3.70546824e-01 
-4.94910000e-03  3.70945073e-01 
-4.94895000e-03  3.71344226e-01 
-4.94880000e-03  3.71744479e-01 
-4.94865000e-03  3.72144811e-01 
-4.94850000e-03  3.72546098e-01 
-4.94835000e-03  3.72947965e-01 
-4.94820000e-03  3.73351193e-01 
-4.94805000e-03  3.73755175e-01 
-4.94790000e-03  3.74159331e-01 
-4.94775000e-03  3.74564048e-01 
-4.94760000e-03  3.74969471e-01 
-4.94745000e-03  3.75376482e-01 
-4.94730000e-03  3.75782676e-01 
-4.94715000e-03  3.76191077e-01 
-4.94700000e-03  3.76599111e-01 
-4.94685000e-03  3.77008403e-01 
-4.94670000e-03  3.77418059e-01 
-4.94655000e-03  3.77828005e-01 
-4.94640000e-03  3.78239279e-01 
-4.94625000e-03  3.78650788e-01 
-4.94610000e-03  3.79063277e-01 
-4.94595000e-03  3.79475666e-01 
-4.94580000e-03  3.79889037e-01 
-4.94565000e-03  3.80304011e-01 
-4.94550000e-03  3.80718424e-01 
-4.94535000e-03  3.81133124e-01 
-4.94520000e-03  3.81549034e-01 
-4.94505000e-03  3.81965910e-01 
-4.94490000e-03  3.82383588e-01 
-4.94475000e-03  3.82801260e-01 
-4.94460000e-03  3.83220383e-01 
-4.94445000e-03  3.83638628e-01 
-4.94430000e-03  3.84058255e-01 
-4.94415000e-03  3.84478485e-01 
-4.94400000e-03  3.84899427e-01 
-4.94385000e-03  3.85320161e-01 
-4.94370000e-03  3.85742511e-01 
-4.94355000e-03  3.86165440e-01 
-4.94340000e-03  3.86588327e-01 
-4.94325000e-03  3.87012054e-01 
-4.94310000e-03  3.87436185e-01 
-4.94295000e-03  3.87861051e-01 
-4.94280000e-03  3.88286321e-01 
-4.94265000e-03  3.88712179e-01 
-4.94250000e-03  3.89138619e-01 
-4.94235000e-03  3.89565514e-01 
-4.94220000e-03  3.89992963e-01 
-4.94205000e-03  3.90420942e-01 
-4.94190000e-03  3.90849489e-01 
-4.94175000e-03  3.91278483e-01 
-4.94160000e-03  3.91708004e-01 
-4.94145000e-03  3.92138132e-01 
-4.94130000e-03  3.92568657e-01 
-4.94115000e-03  3.92999687e-01 
-4.94100000e-03  3.93431202e-01 
-4.94085000e-03  3.93863358e-01 
-4.94070000e-03  3.94295845e-01 
-4.94055000e-03  3.94728857e-01 
-4.94040000e-03  3.95162431e-01 
-4.94025000e-03  3.95596364e-01 
-4.94010000e-03  3.96030823e-01 
-4.93995000e-03  3.96465775e-01 
-4.93980000e-03  3.96901768e-01 
-4.93965000e-03  3.97337864e-01 
-4.93950000e-03  3.97774018e-01 
-4.93935000e-03  3.98211030e-01 
-4.93920000e-03  3.98648644e-01 
-4.93905000e-03  3.99085695e-01 
-4.93890000e-03  3.99523594e-01 
-4.93875000e-03  3.99962432e-01 
-4.93860000e-03  4.00402462e-01 
-4.93845000e-03  4.00841316e-01 
-4.93830000e-03  4.01281688e-01 
-4.93815000e-03  4.01721806e-01 
-4.93800000e-03  4.02162192e-01 
-4.93785000e-03  4.02603594e-01 
-4.93770000e-03  4.03045240e-01 
-4.93755000e-03  4.03487801e-01 
-4.93740000e-03  4.03929970e-01 
-4.93725000e-03  4.04373141e-01 
-4.93710000e-03  4.04816229e-01 
-4.93695000e-03  4.05260575e-01 
-4.93680000e-03  4.05704283e-01 
-4.93665000e-03  4.06148612e-01 
-4.93650000e-03  4.06594103e-01 
-4.93635000e-03  4.07039628e-01 
-4.93620000e-03  4.07485337e-01 
-4.93605000e-03  4.07931409e-01 
-4.93590000e-03  4.08378391e-01 
-4.93575000e-03  4.08825506e-01 
-4.93560000e-03  4.09272753e-01 
-4.93545000e-03  4.09720909e-01 
-4.93530000e-03  4.10168025e-01 
-4.93515000e-03  4.10616981e-01 
-4.93500000e-03  4.11065921e-01 
-4.93485000e-03  4.11515497e-01 
-4.93470000e-03  4.11965260e-01 
-4.93455000e-03  4.12415062e-01 
-4.93440000e-03  4.12865269e-01 
-4.93425000e-03  4.13315796e-01 
-4.93410000e-03  4.13766846e-01 
-4.93395000e-03  4.14218046e-01 
-4.93380000e-03  4.14670216e-01 
-4.93365000e-03  4.15121864e-01 
