FREQ        VDB(OUT)    VP(OUT)     VDB(2)      VP(2)      

 1.0000E+01  6.2604E+01 -7.2282E-01 -5.2398E+00 -1.7609E+02
 1.0578E+01  6.2603E+01 -7.6457E-01 -5.2365E+00 -1.7586E+02
 1.1189E+01  6.2603E+01 -8.0873E-01 -5.2328E+00 -1.7562E+02
 1.1835E+01  6.2603E+01 -8.5544E-01 -5.2287E+00 -1.7537E+02
 1.2519E+01  6.2603E+01 -9.0485E-01 -5.2241E+00 -1.7511E+02
 1.3242E+01  6.2603E+01 -9.5711E-01 -5.2190E+00 -1.7483E+02
 1.4007E+01  6.2603E+01 -1.0124E+00 -5.2132E+00 -1.7453E+02
 1.4816E+01  6.2603E+01 -1.0709E+00 -5.2068E+00 -1.7422E+02
 1.5672E+01  6.2603E+01 -1.1327E+00 -5.1997E+00 -1.7389E+02
 1.6577E+01  6.2602E+01 -1.1981E+00 -5.1917E+00 -1.7354E+02
 1.7535E+01  6.2602E+01 -1.2673E+00 -5.1827E+00 -1.7317E+02
 1.8548E+01  6.2602E+01 -1.3405E+00 -5.1728E+00 -1.7279E+02
 1.9619E+01  6.2602E+01 -1.4179E+00 -5.1616E+00 -1.7238E+02
 2.0753E+01  6.2601E+01 -1.4998E+00 -5.1492E+00 -1.7195E+02
 2.1951E+01  6.2601E+01 -1.5864E+00 -5.1354E+00 -1.7149E+02
 2.3220E+01  6.2601E+01 -1.6780E+00 -5.1199E+00 -1.7101E+02
 2.4561E+01  6.2600E+01 -1.7748E+00 -5.1027E+00 -1.7051E+02
 2.5980E+01  6.2600E+01 -1.8773E+00 -5.0836E+00 -1.6998E+02
 2.7480E+01  6.2599E+01 -1.9856E+00 -5.0622E+00 -1.6942E+02
 2.9068E+01  6.2598E+01 -2.1003E+00 -5.0385E+00 -1.6883E+02
 3.0747E+01  6.2598E+01 -2.2215E+00 -5.0121E+00 -1.6822E+02
 3.2523E+01  6.2597E+01 -2.3497E+00 -4.9827E+00 -1.6757E+02
 3.4402E+01  6.2596E+01 -2.4852E+00 -4.9501E+00 -1.6689E+02
 3.6389E+01  6.2595E+01 -2.6286E+00 -4.9140E+00 -1.6618E+02
 3.8492E+01  6.2594E+01 -2.7802E+00 -4.8739E+00 -1.6544E+02
 4.0715E+01  6.2593E+01 -2.9405E+00 -4.8295E+00 -1.6467E+02
 4.3067E+01  6.2591E+01 -3.1101E+00 -4.7804E+00 -1.6385E+02
 4.5555E+01  6.2590E+01 -3.2894E+00 -4.7261E+00 -1.6301E+02
 4.8187E+01  6.2588E+01 -3.4789E+00 -4.6662E+00 -1.6213E+02
 5.0970E+01  6.2586E+01 -3.6794E+00 -4.6002E+00 -1.6122E+02
 5.3915E+01  6.2584E+01 -3.8913E+00 -4.5277E+00 -1.6027E+02
 5.7029E+01  6.2582E+01 -4.1153E+00 -4.4479E+00 -1.5929E+02
 6.0324E+01  6.2579E+01 -4.3521E+00 -4.3605E+00 -1.5828E+02
 6.3808E+01  6.2576E+01 -4.6025E+00 -4.2649E+00 -1.5724E+02
 6.7494E+01  6.2573E+01 -4.8671E+00 -4.1605E+00 -1.5617E+02
 7.1393E+01  6.2569E+01 -5.1468E+00 -4.0468E+00 -1.5507E+02
 7.5518E+01  6.2565E+01 -5.4424E+00 -3.9232E+00 -1.5395E+02
 7.9880E+01  6.2560E+01 -5.7548E+00 -3.7892E+00 -1.5282E+02
 8.4495E+01  6.2555E+01 -6.0848E+00 -3.6444E+00 -1.5166E+02
 8.9376E+01  6.2549E+01 -6.4334E+00 -3.4883E+00 -1.5049E+02
 9.4539E+01  6.2543E+01 -6.8017E+00 -3.3204E+00 -1.4932E+02
 1.0000E+02  6.2536E+01 -7.1906E+00 -3.1406E+00 -1.4815E+02
 1.0578E+02  6.2528E+01 -7.6012E+00 -2.9485E+00 -1.4697E+02
 1.1189E+02  6.2519E+01 -8.0348E+00 -2.7440E+00 -1.4581E+02
 1.1835E+02  6.2508E+01 -8.4923E+00 -2.5269E+00 -1.4466E+02
 1.2519E+02  6.2497E+01 -8.9751E+00 -2.2974E+00 -1.4354E+02
 1.3242E+02  6.2485E+01 -9.4844E+00 -2.0555E+00 -1.4244E+02
 1.4007E+02  6.2471E+01 -1.0022E+01 -1.8014E+00 -1.4138E+02
 1.4816E+02  6.2455E+01 -1.0588E+01 -1.5354E+00 -1.4035E+02
 1.5672E+02  6.2438E+01 -1.1184E+01 -1.2580E+00 -1.3938E+02
 1.6577E+02  6.2418E+01 -1.1813E+01 -9.6965E-01 -1.3845E+02
 1.7535E+02  6.2397E+01 -1.2474E+01 -6.7093E-01 -1.3759E+02
 1.8548E+02  6.2373E+01 -1.3170E+01 -3.6253E-01 -1.3678E+02
 1.9619E+02  6.2346E+01 -1.3903E+01 -4.5188E-02 -1.3605E+02
 2.0753E+02  6.2316E+01 -1.4672E+01  2.8029E-01 -1.3539E+02
 2.1951E+02  6.2283E+01 -1.5480E+01  6.1304E-01 -1.3480E+02
 2.3220E+02  6.2247E+01 -1.6328E+01  9.5215E-01 -1.3430E+02
 2.4561E+02  6.2206E+01 -1.7217E+01  1.2967E+00 -1.3387E+02
 2.5980E+02  6.2161E+01 -1.8148E+01  1.6456E+00 -1.3354E+02
 2.7480E+02  6.2111E+01 -1.9122E+01  1.9980E+00 -1.3329E+02
 2.9068E+02  6.2056E+01 -2.0140E+01  2.3528E+00 -1.3312E+02
 3.0747E+02  6.1996E+01 -2.1202E+01  2.7089E+00 -1.3305E+02
 3.2523E+02  6.1929E+01 -2.2310E+01  3.0653E+00 -1.3307E+02
 3.4402E+02  6.1855E+01 -2.3462E+01  3.4210E+00 -1.3318E+02
 3.6389E+02  6.1774E+01 -2.4660E+01  3.7749E+00 -1.3338E+02
 3.8492E+02  6.1685E+01 -2.5903E+01  4.1260E+00 -1.3366E+02
 4.0715E+02  6.1587E+01 -2.7189E+01  4.4733E+00 -1.3404E+02
 4.3067E+02  6.1481E+01 -2.8518E+01  4.8157E+00 -1.3449E+02
 4.5555E+02  6.1365E+01 -2.9888E+01  5.1523E+00 -1.3503E+02
 4.8187E+02  6.1239E+01 -3.1298E+01  5.4822E+00 -1.3565E+02
 5.0970E+02  6.1101E+01 -3.2744E+01  5.8045E+00 -1.3634E+02
 5.3915E+02  6.0953E+01 -3.4225E+01  6.1182E+00 -1.3711E+02
 5.7029E+02  6.0793E+01 -3.5736E+01  6.4228E+00 -1.3794E+02
 6.0324E+02  6.0620E+01 -3.7275E+01  6.7173E+00 -1.3883E+02
 6.3808E+02  6.0435E+01 -3.8837E+01  7.0013E+00 -1.3977E+02
 6.7494E+02  6.0236E+01 -4.0417E+01  7.2741E+00 -1.4077E+02
 7.1393E+02  6.0025E+01 -4.2012E+01  7.5352E+00 -1.4181E+02
 7.5518E+02  5.9799E+01 -4.3616E+01  7.7844E+00 -1.4289E+02
 7.9880E+02  5.9561E+01 -4.5225E+01  8.0213E+00 -1.4400E+02
 8.4495E+02  5.9308E+01 -4.6833E+01  8.2457E+00 -1.4514E+02
 8.9376E+02  5.9042E+01 -4.8435E+01  8.4576E+00 -1.4629E+02
 9.4539E+02  5.8762E+01 -5.0027E+01  8.6571E+00 -1.4746E+02
 1.0000E+03  5.8469E+01 -5.1603E+01  8.8441E+00 -1.4863E+02
 1.0578E+03  5.8163E+01 -5.3159E+01  9.0190E+00 -1.4981E+02
 1.1189E+03  5.7844E+01 -5.4691E+01  9.1820E+00 -1.5098E+02
 1.1835E+03  5.7514E+01 -5.6194E+01  9.3335E+00 -1.5215E+02
 1.2519E+03  5.7171E+01 -5.7666E+01  9.4738E+00 -1.5329E+02
 1.3242E+03  5.6817E+01 -5.9103E+01  9.6035E+00 -1.5443E+02
 1.4007E+03  5.6453E+01 -6.0502E+01  9.7230E+00 -1.5554E+02
 1.4816E+03  5.6079E+01 -6.1862E+01  9.8329E+00 -1.5662E+02
 1.5672E+03  5.5695E+01 -6.3180E+01  9.9336E+00 -1.5768E+02
 1.6577E+03  5.5302E+01 -6.4455E+01  1.0026E+01 -1.5871E+02
 1.7535E+03  5.4901E+01 -6.5686E+01  1.0110E+01 -1.5971E+02
 1.8548E+03  5.4492E+01 -6.6872E+01  1.0187E+01 -1.6068E+02
 1.9619E+03  5.4076E+01 -6.8013E+01  1.0257E+01 -1.6161E+02
 2.0753E+03  5.3654E+01 -6.9109E+01  1.0320E+01 -1.6252E+02
 2.1951E+03  5.3225E+01 -7.0160E+01  1.0378E+01 -1.6338E+02
 2.3220E+03  5.2791E+01 -7.1166E+01  1.0430E+01 -1.6421E+02
 2.4561E+03  5.2351E+01 -7.2129E+01  1.0477E+01 -1.6501E+02
 2.5980E+03  5.1907E+01 -7.3050E+01  1.0519E+01 -1.6578E+02
 2.7480E+03  5.1459E+01 -7.3928E+01  1.0558E+01 -1.6651E+02
 2.9068E+03  5.1007E+01 -7.4766E+01  1.0592E+01 -1.6720E+02
 3.0747E+03  5.0551E+01 -7.5564E+01  1.0624E+01 -1.6787E+02
 3.2523E+03  5.0092E+01 -7.6325E+01  1.0652E+01 -1.6851E+02
 3.4402E+03  4.9630E+01 -7.7048E+01  1.0677E+01 -1.6911E+02
 3.6389E+03  4.9166E+01 -7.7736E+01  1.0700E+01 -1.6969E+02
 3.8492E+03  4.8699E+01 -7.8390E+01  1.0720E+01 -1.7024E+02
 4.0715E+03  4.8230E+01 -7.9011E+01  1.0739E+01 -1.7076E+02
 4.3067E+03  4.7759E+01 -7.9601E+01  1.0755E+01 -1.7125E+02
 4.5555E+03  4.7286E+01 -8.0160E+01  1.0770E+01 -1.7173E+02
 4.8187E+03  4.6812E+01 -8.0691E+01  1.0783E+01 -1.7217E+02
 5.0970E+03  4.6336E+01 -8.1195E+01  1.0795E+01 -1.7260E+02
 5.3915E+03  4.5859E+01 -8.1673E+01  1.0806E+01 -1.7300E+02
 5.7029E+03  4.5381E+01 -8.2126E+01  1.0815E+01 -1.7338E+02
 6.0324E+03  4.4902E+01 -8.2556E+01  1.0824E+01 -1.7375E+02
 6.3808E+03  4.4422E+01 -8.2963E+01  1.0831E+01 -1.7409E+02
 6.7494E+03  4.3942E+01 -8.3348E+01  1.0838E+01 -1.7442E+02
 7.1393E+03  4.3460E+01 -8.3714E+01  1.0844E+01 -1.7473E+02
 7.5518E+03  4.2978E+01 -8.4060E+01  1.0850E+01 -1.7502E+02
 7.9880E+03  4.2495E+01 -8.4388E+01  1.0855E+01 -1.7530E+02
 8.4495E+03  4.2012E+01 -8.4699E+01  1.0859E+01 -1.7556E+02
 8.9376E+03  4.1528E+01 -8.4993E+01  1.0863E+01 -1.7581E+02
 9.4539E+03  4.1044E+01 -8.5272E+01  1.0866E+01 -1.7605E+02
 1.0000E+04  4.0559E+01 -8.5537E+01  1.0870E+01 -1.7628E+02
 1.0578E+04  4.0074E+01 -8.5787E+01  1.0872E+01 -1.7649E+02
 1.1189E+04  3.9589E+01 -8.6025E+01  1.0875E+01 -1.7669E+02
 1.1835E+04  3.9104E+01 -8.6250E+01  1.0877E+01 -1.7688E+02
 1.2519E+04  3.8618E+01 -8.6464E+01  1.0879E+01 -1.7707E+02
 1.3242E+04  3.8132E+01 -8.6666E+01  1.0881E+01 -1.7724E+02
 1.4007E+04  3.7646E+01 -8.6858E+01  1.0883E+01 -1.7741E+02
 1.4816E+04  3.7159E+01 -8.7040E+01  1.0884E+01 -1.7756E+02
 1.5672E+04  3.6673E+01 -8.7213E+01  1.0885E+01 -1.7771E+02
 1.6577E+04  3.6186E+01 -8.7377E+01  1.0886E+01 -1.7786E+02
 1.7535E+04  3.5700E+01 -8.7533E+01  1.0888E+01 -1.7799E+02
 1.8548E+04  3.5213E+01 -8.7681E+01  1.0888E+01 -1.7812E+02
 1.9619E+04  3.4726E+01 -8.7822E+01  1.0889E+01 -1.7825E+02
 2.0753E+04  3.4239E+01 -8.7956E+01  1.0890E+01 -1.7836E+02
 2.1951E+04  3.3752E+01 -8.8084E+01  1.0891E+01 -1.7848E+02
 2.3220E+04  3.3264E+01 -8.8206E+01  1.0891E+01 -1.7858E+02
 2.4561E+04  3.2777E+01 -8.8322E+01  1.0892E+01 -1.7869E+02
 2.5980E+04  3.2290E+01 -8.8432E+01  1.0892E+01 -1.7879E+02
 2.7480E+04  3.1802E+01 -8.8538E+01  1.0893E+01 -1.7888E+02
 2.9068E+04  3.1315E+01 -8.8639E+01  1.0893E+01 -1.7898E+02
 3.0747E+04  3.0827E+01 -8.8736E+01  1.0893E+01 -1.7906E+02
 3.2523E+04  3.0340E+01 -8.8829E+01  1.0894E+01 -1.7915E+02
 3.4402E+04  2.9852E+01 -8.8918E+01  1.0894E+01 -1.7923E+02
 3.6389E+04  2.9365E+01 -8.9004E+01  1.0894E+01 -1.7932E+02
 3.8492E+04  2.8877E+01 -8.9087E+01  1.0894E+01 -1.7939E+02
 4.0715E+04  2.8390E+01 -8.9167E+01  1.0894E+01 -1.7947E+02
 4.3067E+04  2.7902E+01 -8.9244E+01  1.0895E+01 -1.7955E+02
 4.5555E+04  2.7414E+01 -8.9319E+01  1.0895E+01 -1.7962E+02
 4.8187E+04  2.6927E+01 -8.9391E+01  1.0895E+01 -1.7969E+02
 5.0970E+04  2.6439E+01 -8.9462E+01  1.0895E+01 -1.7976E+02
 5.3915E+04  2.5951E+01 -8.9531E+01  1.0895E+01 -1.7984E+02
 5.7029E+04  2.5463E+01 -8.9599E+01  1.0895E+01 -1.7991E+02
 6.0324E+04  2.4976E+01 -8.9665E+01  1.0895E+01 -1.7998E+02
 6.3808E+04  2.4488E+01 -8.9730E+01  1.0895E+01 -1.8005E+02
 6.7494E+04  2.4000E+01 -8.9795E+01  1.0895E+01 -1.8012E+02
 7.1393E+04  2.3512E+01 -8.9859E+01  1.0895E+01 -1.8019E+02
 7.5518E+04  2.3024E+01 -8.9922E+01  1.0895E+01 -1.8026E+02
 7.9880E+04  2.2537E+01 -8.9985E+01  1.0895E+01 -1.8033E+02
 8.4495E+04  2.2049E+01 -9.0048E+01  1.0895E+01 -1.8040E+02
 8.9376E+04  2.1561E+01 -9.0111E+01  1.0895E+01 -1.8048E+02
 9.4539E+04  2.1073E+01 -9.0175E+01  1.0895E+01 -1.8055E+02
 1.0000E+05  2.0585E+01 -9.0239E+01  1.0895E+01 -1.8063E+02
 1.0578E+05  2.0097E+01 -9.0304E+01  1.0895E+01 -1.8071E+02
 1.1189E+05  1.9609E+01 -9.0369E+01  1.0895E+01 -1.8079E+02
 1.1835E+05  1.9121E+01 -9.0436E+01  1.0895E+01 -1.8088E+02
 1.2519E+05  1.8633E+01 -9.0505E+01  1.0895E+01 -1.8096E+02
 1.3242E+05  1.8146E+01 -9.0575E+01  1.0894E+01 -1.8105E+02
 1.4007E+05  1.7658E+01 -9.0646E+01  1.0894E+01 -1.8115E+02
 1.4816E+05  1.7169E+01 -9.0720E+01  1.0894E+01 -1.8124E+02
 1.5672E+05  1.6681E+01 -9.0796E+01  1.0894E+01 -1.8134E+02
 1.6577E+05  1.6193E+01 -9.0875E+01  1.0894E+01 -1.8145E+02
 1.7535E+05  1.5705E+01 -9.0956E+01  1.0893E+01 -1.8156E+02
 1.8548E+05  1.5217E+01 -9.1040E+01  1.0893E+01 -1.8167E+02
 1.9619E+05  1.4729E+01 -9.1128E+01  1.0893E+01 -1.8179E+02
 2.0753E+05  1.4241E+01 -9.1219E+01  1.0892E+01 -1.8192E+02
 2.1951E+05  1.3752E+01 -9.1314E+01  1.0892E+01 -1.8205E+02
 2.3220E+05  1.3264E+01 -9.1413E+01  1.0891E+01 -1.8219E+02
 2.4561E+05  1.2775E+01 -9.1516E+01  1.0891E+01 -1.8233E+02
 2.5980E+05  1.2287E+01 -9.1625E+01  1.0890E+01 -1.8248E+02
 2.7480E+05  1.1798E+01 -9.1738E+01  1.0890E+01 -1.8264E+02
 2.9068E+05  1.1310E+01 -9.1857E+01  1.0889E+01 -1.8281E+02
 3.0747E+05  1.0821E+01 -9.1981E+01  1.0888E+01 -1.8299E+02
 3.2523E+05  1.0332E+01 -9.2112E+01  1.0887E+01 -1.8318E+02
 3.4402E+05  9.8427E+00 -9.2250E+01  1.0886E+01 -1.8337E+02
 3.6389E+05  9.3535E+00 -9.2394E+01  1.0885E+01 -1.8358E+02
 3.8492E+05  8.8641E+00 -9.2546E+01  1.0883E+01 -1.8380E+02
 4.0715E+05  8.3745E+00 -9.2706E+01  1.0882E+01 -1.8403E+02
 4.3067E+05  7.8847E+00 -9.2874E+01  1.0880E+01 -1.8427E+02
 4.5555E+05  7.3947E+00 -9.3052E+01  1.0878E+01 -1.8453E+02
 4.8187E+05  6.9044E+00 -9.3238E+01  1.0876E+01 -1.8480E+02
 5.0970E+05  6.4138E+00 -9.3435E+01  1.0873E+01 -1.8509E+02
 5.3915E+05  5.9228E+00 -9.3643E+01  1.0871E+01 -1.8539E+02
 5.7029E+05  5.4315E+00 -9.3861E+01  1.0868E+01 -1.8571E+02
 6.0324E+05  4.9398E+00 -9.4092E+01  1.0864E+01 -1.8604E+02
 6.3808E+05  4.4476E+00 -9.4335E+01  1.0860E+01 -1.8640E+02
 6.7494E+05  3.9549E+00 -9.4592E+01  1.0856E+01 -1.8677E+02
 7.1393E+05  3.4617E+00 -9.4862E+01  1.0851E+01 -1.8717E+02
 7.5518E+05  2.9677E+00 -9.5147E+01  1.0846E+01 -1.8759E+02
 7.9880E+05  2.4731E+00 -9.5448E+01  1.0840E+01 -1.8803E+02
 8.4495E+05  1.9776E+00 -9.5765E+01  1.0833E+01 -1.8850E+02
 8.9376E+05  1.4813E+00 -9.6100E+01  1.0826E+01 -1.8899E+02
 9.4539E+05  9.8394E-01 -9.6452E+01  1.0818E+01 -1.8951E+02
 1.0000E+06  4.8546E-01 -9.6824E+01  1.0808E+01 -1.9006E+02
 1.0578E+06 -1.4276E-02 -9.7216E+01  1.0798E+01 -1.9064E+02
 1.1189E+06 -5.1541E-01 -9.7628E+01  1.0786E+01 -1.9126E+02
 1.1835E+06 -1.0181E+00 -9.8063E+01  1.0773E+01 -1.9190E+02
 1.2519E+06 -1.5225E+00 -9.8520E+01  1.0759E+01 -1.9259E+02
 1.3242E+06 -2.0289E+00 -9.9002E+01  1.0742E+01 -1.9331E+02
 1.4007E+06 -2.5374E+00 -9.9508E+01  1.0724E+01 -1.9407E+02
 1.4816E+06 -3.0483E+00 -1.0004E+02  1.0704E+01 -1.9487E+02
 1.5672E+06 -3.5619E+00 -1.0060E+02  1.0681E+01 -1.9572E+02
 1.6577E+06 -4.0784E+00 -1.0118E+02  1.0656E+01 -1.9661E+02
 1.7535E+06 -4.5982E+00 -1.0180E+02  1.0627E+01 -1.9755E+02
 1.8548E+06 -5.1217E+00 -1.0244E+02  1.0595E+01 -1.9854E+02
 1.9619E+06 -5.6492E+00 -1.0312E+02  1.0560E+01 -1.9959E+02
 2.0753E+06 -6.1811E+00 -1.0382E+02  1.0520E+01 -2.0069E+02
 2.1951E+06 -6.7180E+00 -1.0455E+02  1.0476E+01 -2.0184E+02
 2.3220E+06 -7.2603E+00 -1.0532E+02  1.0427E+01 -2.0306E+02
 2.4561E+06 -7.8085E+00 -1.0611E+02  1.0372E+01 -2.0433E+02
 2.5980E+06 -8.3633E+00 -1.0693E+02  1.0311E+01 -2.0567E+02
 2.7480E+06 -8.9251E+00 -1.0778E+02  1.0243E+01 -2.0707E+02
 2.9068E+06 -9.4948E+00 -1.0865E+02  1.0168E+01 -2.0853E+02
 3.0747E+06 -1.0073E+01 -1.0955E+02  1.0084E+01 -2.1006E+02
 3.2523E+06 -1.0660E+01 -1.1047E+02  9.9904E+00 -2.1166E+02
 3.4402E+06 -1.1257E+01 -1.1141E+02  9.8871E+00 -2.1333E+02
 3.6389E+06 -1.1864E+01 -1.1236E+02  9.7729E+00 -2.1506E+02
 3.8492E+06 -1.2482E+01 -1.1331E+02  9.6467E+00 -2.1685E+02
 4.0715E+06 -1.3112E+01 -1.1426E+02  9.5078E+00 -2.1871E+02
 4.3067E+06 -1.3753E+01 -1.1521E+02  9.3550E+00 -2.2063E+02
 4.5555E+06 -1.4407E+01 -1.1614E+02  9.1875E+00 -2.2261E+02
 4.8187E+06 -1.5072E+01 -1.1704E+02  9.0044E+00 -2.2463E+02
 5.0970E+06 -1.5750E+01 -1.1791E+02  8.8048E+00 -2.2671E+02
 5.3915E+06 -1.6440E+01 -1.1873E+02  8.5882E+00 -2.2882E+02
 5.7029E+06 -1.7141E+01 -1.1949E+02  8.3538E+00 -2.3096E+02
 6.0324E+06 -1.7852E+01 -1.2019E+02  8.1013E+00 -2.3313E+02
 6.3808E+06 -1.8571E+01 -1.2080E+02  7.8304E+00 -2.3532E+02
 6.7494E+06 -1.9297E+01 -1.2132E+02  7.5410E+00 -2.3751E+02
 7.1393E+06 -2.0029E+01 -1.2175E+02  7.2335E+00 -2.3970E+02
 7.5518E+06 -2.0762E+01 -1.2207E+02  6.9080E+00 -2.4189E+02
 7.9880E+06 -2.1495E+01 -1.2229E+02  6.5653E+00 -2.4405E+02
 8.4495E+06 -2.2226E+01 -1.2240E+02  6.2062E+00 -2.4619E+02
 8.9376E+06 -2.2951E+01 -1.2240E+02  5.8316E+00 -2.4829E+02
 9.4539E+06 -2.3667E+01 -1.2232E+02  5.4426E+00 -2.5035E+02
 1.0000E+07 -2.4373E+01 -1.2215E+02  5.0407E+00 -2.5237E+02
 1.0578E+07 -2.5065E+01 -1.2190E+02  4.6269E+00 -2.5435E+02
 1.1189E+07 -2.5743E+01 -1.2160E+02  4.2028E+00 -2.5627E+02
 1.1835E+07 -2.6405E+01 -1.2125E+02  3.7698E+00 -2.5815E+02
