DCXY        Vout        V(OUT)     

-4.0000E-04  6.5076E-01  6.5076E-01
-3.9900E-04  6.5087E-01  6.5087E-01
-3.9800E-04  6.5098E-01  6.5098E-01
-3.9700E-04  6.5108E-01  6.5108E-01
-3.9600E-04  6.5119E-01  6.5119E-01
-3.9500E-04  6.5131E-01  6.5131E-01
-3.9400E-04  6.5142E-01  6.5142E-01
-3.9300E-04  6.5153E-01  6.5153E-01
-3.9200E-04  6.5164E-01  6.5164E-01
-3.9100E-04  6.5175E-01  6.5175E-01
-3.9000E-04  6.5186E-01  6.5186E-01
-3.8900E-04  6.5198E-01  6.5198E-01
-3.8800E-04  6.5209E-01  6.5209E-01
-3.8700E-04  6.5220E-01  6.5220E-01
-3.8600E-04  6.5232E-01  6.5232E-01
-3.8500E-04  6.5243E-01  6.5243E-01
-3.8400E-04  6.5255E-01  6.5255E-01
-3.8300E-04  6.5266E-01  6.5266E-01
-3.8200E-04  6.5278E-01  6.5278E-01
-3.8100E-04  6.5290E-01  6.5290E-01
-3.8000E-04  6.5301E-01  6.5301E-01
-3.7900E-04  6.5313E-01  6.5313E-01
-3.7800E-04  6.5325E-01  6.5325E-01
-3.7700E-04  6.5337E-01  6.5337E-01
-3.7600E-04  6.5348E-01  6.5348E-01
-3.7500E-04  6.5360E-01  6.5360E-01
-3.7400E-04  6.5372E-01  6.5372E-01
-3.7300E-04  6.5384E-01  6.5384E-01
-3.7200E-04  6.5397E-01  6.5397E-01
-3.7100E-04  6.5409E-01  6.5409E-01
-3.7000E-04  6.5421E-01  6.5421E-01
-3.6900E-04  6.5433E-01  6.5433E-01
-3.6800E-04  6.5445E-01  6.5445E-01
-3.6700E-04  6.5458E-01  6.5458E-01
-3.6600E-04  6.5470E-01  6.5470E-01
-3.6500E-04  6.5483E-01  6.5483E-01
-3.6400E-04  6.5495E-01  6.5495E-01
-3.6300E-04  6.5508E-01  6.5508E-01
-3.6200E-04  6.5520E-01  6.5520E-01
-3.6100E-04  6.5533E-01  6.5533E-01
-3.6000E-04  6.5546E-01  6.5546E-01
-3.5900E-04  6.5558E-01  6.5558E-01
-3.5800E-04  6.5571E-01  6.5571E-01
-3.5700E-04  6.5584E-01  6.5584E-01
-3.5600E-04  6.5597E-01  6.5597E-01
-3.5500E-04  6.5610E-01  6.5610E-01
-3.5400E-04  6.5623E-01  6.5623E-01
-3.5300E-04  6.5636E-01  6.5636E-01
