 v-sweep         Vout           
 0.00000000e+00  3.04820713e-02 
 1.00000000e-02  3.71456286e-02 
 2.00000000e-02  4.44751324e-02 
 3.00000000e-02  5.23619620e-02 
 4.00000000e-02  6.06935924e-02 
 5.00000000e-02  6.93680044e-02 
 6.00000000e-02  7.83004338e-02 
 7.00000000e-02  8.74247791e-02 
 8.00000000e-02  9.66916367e-02 
 9.00000000e-02  1.06064864e-01 
 1.00000000e-01  1.15518036e-01 
 1.10000000e-01  1.25031542e-01 
 1.20000000e-01  1.34590558e-01 
 1.30000000e-01  1.44183795e-01 
 1.40000000e-01  1.53802711e-01 
 1.50000000e-01  1.63440959e-01 
 1.60000000e-01  1.73093903e-01 
 1.70000000e-01  1.82758205e-01 
 1.80000000e-01  1.92431476e-01 
 1.90000000e-01  2.02112002e-01 
 2.00000000e-01  2.11798548e-01 
 2.10000000e-01  2.21487778e-01 
 2.20000000e-01  2.31184134e-01 
 2.30000000e-01  2.40884428e-01 
 2.40000000e-01  2.50588262e-01 
 2.50000000e-01  2.60295372e-01 
 2.60000000e-01  2.70005559e-01 
 2.70000000e-01  2.79718669e-01 
 2.80000000e-01  2.89434591e-01 
 2.90000000e-01  2.99153247e-01 
 3.00000000e-01  3.08874583e-01 
 3.10000000e-01  3.18598566e-01 
 3.20000000e-01  3.28325178e-01 
 3.30000000e-01  3.38054402e-01 
 3.40000000e-01  3.47786207e-01 
 3.50000000e-01  3.57520520e-01 
 3.60000000e-01  3.67257185e-01 
 3.70000000e-01  3.76995924e-01 
 3.80000000e-01  3.86736299e-01 
 3.90000000e-01  3.96477709e-01 
 4.00000000e-01  4.06219431e-01 
 4.10000000e-01  4.15960709e-01 
 4.20000000e-01  4.25700842e-01 
 4.30000000e-01  4.35439252e-01 
 4.40000000e-01  4.45175498e-01 
 4.50000000e-01  4.54909267e-01 
 4.60000000e-01  4.64640345e-01 
 4.70000000e-01  4.74368592e-01 
 4.80000000e-01  4.84093921e-01 
 4.90000000e-01  4.93816291e-01 
 5.00000000e-01  5.03535693e-01 
 5.10000000e-01  5.13252150e-01 
 5.20000000e-01  5.22965715e-01 
 5.30000000e-01  5.32676468e-01 
 5.40000000e-01  5.42384522e-01 
 5.50000000e-01  5.52090017e-01 
 5.60000000e-01  5.61793126e-01 
 5.70000000e-01  5.71494044e-01 
 5.80000000e-01  5.81192971e-01 
 5.90000000e-01  5.90890068e-01 
 6.00000000e-01  6.00585356e-01 
 6.10000000e-01  6.10278469e-01 
 6.20000000e-01  6.19968109e-01 
 6.30000000e-01  6.29650788e-01 
 6.40000000e-01  6.39318113e-01 
 6.50000000e-01  6.48951759e-01 
 6.60000000e-01  6.58517610e-01 
 6.70000000e-01  6.67967125e-01 
 6.80000000e-01  6.77249776e-01 
 6.90000000e-01  6.86316263e-01 
 7.00000000e-01  6.95104606e-01 
 7.10000000e-01  7.03530375e-01 
 7.20000000e-01  7.11488065e-01 
 7.30000000e-01  7.18860116e-01 
 7.40000000e-01  7.25532551e-01 
 7.50000000e-01  7.31415421e-01 
 7.60000000e-01  7.36462226e-01 
 7.70000000e-01  7.40680194e-01 
 7.80000000e-01  7.44126605e-01 
 7.90000000e-01  7.46893597e-01 
 8.00000000e-01  7.49088982e-01 
 8.10000000e-01  7.50819979e-01 
 8.20000000e-01  7.52182964e-01 
 8.30000000e-01  7.53258950e-01 
 8.40000000e-01  7.54113060e-01 
 8.50000000e-01  7.54796153e-01 
 8.60000000e-01  7.55347257e-01 
 8.70000000e-01  7.55796049e-01 
 8.80000000e-01  7.56165027e-01 
 8.90000000e-01  7.56471259e-01 
 9.00000000e-01  7.56727752e-01 
 9.10000000e-01  7.56944471e-01 
 9.20000000e-01  7.57129108e-01 
 9.30000000e-01  7.57287645e-01 
 9.40000000e-01  7.57424774e-01 
 9.50000000e-01  7.57544205e-01 
 9.60000000e-01  7.57648895e-01 
 9.70000000e-01  7.57741218e-01 
 9.80000000e-01  7.57823100e-01 
 9.90000000e-01  7.57896111e-01 
 1.00000000e+00  7.57961541e-01 
 1.01000000e+00  7.58020458e-01 
 1.02000000e+00  7.58073753e-01 
 1.03000000e+00  7.58122170e-01 
 1.04000000e+00  7.58166341e-01 
 1.05000000e+00  7.58206798e-01 
 1.06000000e+00  7.58243999e-01 
 1.07000000e+00  7.58278334e-01 
 1.08000000e+00  7.58310141e-01 
 1.09000000e+00  7.58339714e-01 
 1.10000000e+00  7.58367307e-01 
 1.11000000e+00  7.58393145e-01 
 1.12000000e+00  7.58417426e-01 
 1.13000000e+00  7.58440322e-01 
 1.14000000e+00  7.58461991e-01 
 1.15000000e+00  7.58482571e-01 
 1.16000000e+00  7.58502187e-01 
 1.17000000e+00  7.58520951e-01 
 1.18000000e+00  7.58538966e-01 
 1.19000000e+00  7.58556326e-01 
 1.20000000e+00  7.58573116e-01 
