 v-sweep         Vout           
-2.00000000e-03  5.62223580e-01 
-1.90000000e-03  5.64281731e-01 
-1.80000000e-03  5.66487389e-01 
-1.70000000e-03  5.68802052e-01 
-1.60000000e-03  5.71224823e-01 
-1.50000000e-03  5.73754335e-01 
-1.40000000e-03  5.76386628e-01 
-1.30000000e-03  5.79115094e-01 
-1.20000000e-03  5.81930897e-01 
-1.10000000e-03  5.84823705e-01 
-1.00000000e-03  5.87782561e-01 
-9.00000000e-04  5.90796698e-01 
-8.00000000e-04  5.93856179e-01 
-7.00000000e-04  5.96952277e-01 
-6.00000000e-04  6.00077638e-01 
-5.00000000e-04  6.03226247e-01 
-4.00000000e-04  6.06393325e-01 
-3.00000000e-04  6.09575151e-01 
-2.00000000e-04  6.12768887e-01 
-1.00000000e-04  6.15972417e-01 
 6.23416249e-19  6.19184191e-01 
 1.00000000e-04  6.22403106e-01 
 2.00000000e-04  6.25628409e-01 
 3.00000000e-04  6.28859613e-01 
 4.00000000e-04  6.32096443e-01 
 5.00000000e-04  6.35338768e-01 
 6.00000000e-04  6.38586582e-01 
 7.00000000e-04  6.41839968e-01 
 8.00000000e-04  6.45099067e-01 
 9.00000000e-04  6.48364076e-01 
 1.00000000e-03  6.51635221e-01 
 1.10000000e-03  6.54912753e-01 
 1.20000000e-03  6.58196935e-01 
 1.30000000e-03  6.61488044e-01 
 1.40000000e-03  6.64786363e-01 
 1.50000000e-03  6.68092177e-01 
 1.60000000e-03  6.71405763e-01 
 1.70000000e-03  6.74727402e-01 
 1.80000000e-03  6.78057368e-01 
 1.90000000e-03  6.81395931e-01 
 2.00000000e-03  6.84743349e-01 
