 frequency       inoise_spectrum onoise_spectrum
 1.00000000e+01  3.08441053e-06  9.91601489e-05 
 1.05776756e+01  2.99904506e-06  9.64157496e-05 
 1.11887221e+01  2.91604451e-06  9.37473795e-05 
 1.18350673e+01  2.83534341e-06  9.11529344e-05 
 1.25187503e+01  2.75687815e-06  8.86303683e-05 
 1.32419279e+01  2.68058683e-06  8.61776921e-05 
 1.40068818e+01  2.60640930e-06  8.37929717e-05 
 1.48160252e+01  2.53428708e-06  8.14743267e-05 
 1.56719108e+01  2.46416327e-06  7.92199286e-05 
 1.65772389e+01  2.39598260e-06  7.70279997e-05 
 1.75348655e+01  2.32969128e-06  7.48968115e-05 
 1.85478119e+01  2.26523706e-06  7.28246836e-05 
 1.96192737e+01  2.20256910e-06  7.08099818e-05 
 2.07526313e+01  2.14163799e-06  6.88511175e-05 
 2.19514602e+01  2.08239567e-06  6.69465460e-05 
 2.32195425e+01  2.02479544e-06  6.50947654e-05 
 2.45608788e+01  1.96879187e-06  6.32943154e-05 
 2.59797009e+01  1.91434080e-06  6.15437764e-05 
 2.74804848e+01  1.86139929e-06  5.98417679e-05 
 2.90679654e+01  1.80992560e-06  5.81869477e-05 
 3.07471508e+01  1.75987912e-06  5.65780109e-05 
 3.25233387e+01  1.71122041e-06  5.50136888e-05 
 3.44021326e+01  1.66391109e-06  5.34927478e-05 
 3.63894599e+01  1.61791385e-06  5.20139884e-05 
 3.84915902e+01  1.57319242e-06  5.05762447e-05 
 4.07151555e+01  1.52971153e-06  4.91783828e-05 
 4.30671707e+01  1.48743691e-06  4.78193004e-05 
 4.55550561e+01  1.44633520e-06  4.64979258e-05 
 4.81866605e+01  1.40637401e-06  4.52132170e-05 
 5.09702863e+01  1.36752181e-06  4.39641608e-05 
 5.39147154e+01  1.32974797e-06  4.27497722e-05 
 5.70292370e+01  1.29302271e-06  4.15690937e-05 
 6.03236769e+01  1.25731706e-06  4.04211941e-05 
 6.38084285e+01  1.22260286e-06  3.93051682e-05 
 6.74944857e+01  1.18885275e-06  3.82201359e-05 
 7.13934775e+01  1.15604010e-06  3.71652415e-05 
 7.55177045e+01  1.12413905e-06  3.61396531e-05 
 7.98801781e+01  1.09312443e-06  3.51425618e-05 
 8.44946611e+01  1.06297178e-06  3.41731815e-05 
 8.93757115e+01  1.03365734e-06  3.32307475e-05 
 9.45387283e+01  1.00515797e-06  3.23145166e-05 
 1.00000000e+02  9.77451218e-07  3.14237661e-05 
 1.05776756e+02  9.50515219e-07  3.05577937e-05 
 1.11887221e+02  9.24328735e-07  2.97159162e-05 
 1.18350673e+02  8.98871115e-07  2.88974697e-05 
 1.25187503e+02  8.74122283e-07  2.81018087e-05 
