 v-sweep         Vout           
 0.00000000e+00  2.17991612e-02 
 1.00000000e-02  2.69984655e-02 
 2.00000000e-02  3.30330430e-02 
 3.00000000e-02  3.98566064e-02 
 4.00000000e-02  4.73817195e-02 
 5.00000000e-02  5.54982887e-02 
 6.00000000e-02  6.40913806e-02 
 7.00000000e-02  7.30550715e-02 
 8.00000000e-02  8.23001950e-02 
 9.00000000e-02  9.17561822e-02 
 1.00000000e-01  1.01368809e-01 
 1.10000000e-01  1.11096257e-01 
 1.20000000e-01  1.20905858e-01 
 1.30000000e-01  1.30772377e-01 
 1.40000000e-01  1.40677164e-01 
 1.50000000e-01  1.50607120e-01 
 1.60000000e-01  1.60553400e-01 
 1.70000000e-01  1.70510150e-01 
 1.80000000e-01  1.80473520e-01 
 1.90000000e-01  1.90440987e-01 
 2.00000000e-01  2.00410900e-01 
 2.10000000e-01  2.10382184e-01 
 2.20000000e-01  2.20354143e-01 
 2.30000000e-01  2.30326331e-01 
 2.40000000e-01  2.40298472e-01 
 2.50000000e-01  2.50270400e-01 
 2.60000000e-01  2.60242039e-01 
 2.70000000e-01  2.70213378e-01 
 2.80000000e-01  2.80184581e-01 
 2.90000000e-01  2.90155429e-01 
 3.00000000e-01  3.00126344e-01 
 3.10000000e-01  3.10097597e-01 
 3.20000000e-01  3.20069572e-01 
 3.30000000e-01  3.30042766e-01 
 3.40000000e-01  3.40019063e-01 
 3.50000000e-01  3.49996814e-01 
 3.60000000e-01  3.59977449e-01 
 3.70000000e-01  3.69961243e-01 
 3.80000000e-01  3.79948202e-01 
 3.90000000e-01  3.89938060e-01 
 4.00000000e-01  3.99929215e-01 
 4.10000000e-01  4.09923591e-01 
 4.20000000e-01  4.19919468e-01 
 4.30000000e-01  4.29916273e-01 
 4.40000000e-01  4.39913706e-01 
 4.50000000e-01  4.49911573e-01 
 4.60000000e-01  4.59909733e-01 
 4.70000000e-01  4.69908072e-01 
 4.80000000e-01  4.79906492e-01 
 4.90000000e-01  4.89904925e-01 
 5.00000000e-01  4.99903331e-01 
 5.10000000e-01  5.09901697e-01 
 5.20000000e-01  5.19900017e-01 
 5.30000000e-01  5.29898295e-01 
 5.40000000e-01  5.39896536e-01 
 5.50000000e-01  5.49894745e-01 
 5.60000000e-01  5.59892928e-01 
 5.70000000e-01  5.69891087e-01 
 5.80000000e-01  5.79889229e-01 
 5.90000000e-01  5.89887356e-01 
 6.00000000e-01  5.99885472e-01 
 6.10000000e-01  6.09883577e-01 
 6.20000000e-01  6.19881674e-01 
 6.30000000e-01  6.29879763e-01 
 6.40000000e-01  6.39877841e-01 
 6.50000000e-01  6.49875903e-01 
 6.60000000e-01  6.59873938e-01 
 6.70000000e-01  6.69871927e-01 
 6.80000000e-01  6.79869837e-01 
 6.90000000e-01  6.89867608e-01 
 7.00000000e-01  6.99865142e-01 
 7.10000000e-01  7.09862270e-01 
 7.20000000e-01  7.19858716e-01 
 7.30000000e-01  7.29854036e-01 
 7.40000000e-01  7.39847556e-01 
 7.50000000e-01  7.49838315e-01 
 7.60000000e-01  7.59825012e-01 
 7.70000000e-01  7.69805918e-01 
 7.80000000e-01  7.79778680e-01 
 7.90000000e-01  7.89739962e-01 
 8.00000000e-01  7.99684910e-01 
 8.10000000e-01  8.09606447e-01 
 8.20000000e-01  8.19494308e-01 
 8.30000000e-01  8.29333633e-01 
 8.40000000e-01  8.39102908e-01 
 8.50000000e-01  8.48771006e-01 
 8.60000000e-01  8.58293396e-01 
 8.70000000e-01  8.67608160e-01 
 8.80000000e-01  8.76633405e-01 
 8.90000000e-01  8.85268528e-01 
 9.00000000e-01  8.93401853e-01 
 9.10000000e-01  9.00925416e-01 
 9.20000000e-01  9.07753878e-01 
 9.30000000e-01  9.13840703e-01 
 9.40000000e-01  9.19184521e-01 
 9.50000000e-01  9.23823610e-01 
 9.60000000e-01  9.27822717e-01 
 9.70000000e-01  9.31258800e-01 
 9.80000000e-01  9.34210038e-01 
 9.90000000e-01  9.36749237e-01 
 1.00000000e+00  9.38940785e-01 
 1.01000000e+00  9.40839885e-01 
 1.02000000e+00  9.42493001e-01 
 1.03000000e+00  9.43938837e-01 
 1.04000000e+00  9.45209472e-01 
 1.05000000e+00  9.46331449e-01 
 1.06000000e+00  9.47326745e-01 
 1.07000000e+00  9.48213597e-01 
 1.08000000e+00  9.49007184e-01 
 1.09000000e+00  9.49720191e-01 
 1.10000000e+00  9.50363261e-01 
 1.11000000e+00  9.50945360e-01 
 1.12000000e+00  9.51474082e-01 
 1.13000000e+00  9.51955878e-01 
 1.14000000e+00  9.52396260e-01 
 1.15000000e+00  9.52799954e-01 
 1.16000000e+00  9.53171028e-01 
 1.17000000e+00  9.53513003e-01 
 1.18000000e+00  9.53828931e-01 
 1.19000000e+00  9.54121475e-01 
 1.20000000e+00  9.54392960e-01 
