 time            v(inp)          v(out)         
 0.00000000e+00  4.00000000e-01  3.99930347e-01 
 1.10000000e-11  4.00000000e-01  3.99930347e-01 
 2.20000000e-11  4.00000000e-01  3.99930347e-01 
 4.40000000e-11  4.00000000e-01  3.99930347e-01 
 8.80000000e-11  4.00000000e-01  3.99930347e-01 
 1.76000000e-10  4.00000000e-01  3.99930347e-01 
 3.52000000e-10  4.00000000e-01  3.99930347e-01 
 7.04000000e-10  4.00000000e-01  3.99930347e-01 
 1.40800000e-09  4.00000000e-01  3.99930347e-01 
 2.50800000e-09  4.00000000e-01  3.99930347e-01 
 3.60800000e-09  4.00000000e-01  3.99930347e-01 
 4.70800000e-09  4.00000000e-01  3.99930347e-01 
 5.80800000e-09  4.00000000e-01  3.99930347e-01 
 6.90800000e-09  4.00000000e-01  3.99930347e-01 
 8.00800000e-09  4.00000000e-01  3.99930347e-01 
 9.10800000e-09  4.00000000e-01  3.99930347e-01 
 1.02080000e-08  4.00000000e-01  3.99930347e-01 
 1.13080000e-08  4.00000000e-01  3.99930347e-01 
 1.24080000e-08  4.00000000e-01  3.99930347e-01 
 1.35080000e-08  4.00000000e-01  3.99930347e-01 
 1.46080000e-08  4.00000000e-01  3.99930347e-01 
 1.57080000e-08  4.00000000e-01  3.99930347e-01 
 1.68080000e-08  4.00000000e-01  3.99930347e-01 
 1.79080000e-08  4.00000000e-01  3.99930347e-01 
 1.90080000e-08  4.00000000e-01  3.99930347e-01 
 2.01080000e-08  4.00000000e-01  3.99930347e-01 
 2.12080000e-08  4.00000000e-01  3.99930347e-01 
 2.23080000e-08  4.00000000e-01  3.99930347e-01 
 2.34080000e-08  4.00000000e-01  3.99930347e-01 
 2.45080000e-08  4.00000000e-01  3.99930347e-01 
 2.56080000e-08  4.00000000e-01  3.99930347e-01 
 2.67080000e-08  4.00000000e-01  3.99930347e-01 
 2.78080000e-08  4.00000000e-01  3.99930347e-01 
 2.89080000e-08  4.00000000e-01  3.99930347e-01 
 3.00080000e-08  4.00000000e-01  3.99930347e-01 
 3.11080000e-08  4.00000000e-01  3.99930347e-01 
 3.22080000e-08  4.00000000e-01  3.99930347e-01 
 3.33080000e-08  4.00000000e-01  3.99930347e-01 
 3.44080000e-08  4.00000000e-01  3.99930347e-01 
 3.55080000e-08  4.00000000e-01  3.99930347e-01 
 3.66080000e-08  4.00000000e-01  3.99930347e-01 
 3.77080000e-08  4.00000000e-01  3.99930347e-01 
 3.88080000e-08  4.00000000e-01  3.99930347e-01 
 3.99080000e-08  4.00000000e-01  3.99930347e-01 
 4.10080000e-08  4.00000000e-01  3.99930347e-01 
 4.21080000e-08  4.00000000e-01  3.99930347e-01 
 4.32080000e-08  4.00000000e-01  3.99930347e-01 
 4.43080000e-08  4.00000000e-01  3.99930347e-01 
 4.54080000e-08  4.00000000e-01  3.99930347e-01 
 4.65080000e-08  4.00000000e-01  3.99930347e-01 
 4.76080000e-08  4.00000000e-01  3.99930347e-01 
 4.87080000e-08  4.00000000e-01  3.99930347e-01 
 4.98080000e-08  4.00000000e-01  3.99930347e-01 
 5.09080000e-08  4.00000000e-01  3.99930347e-01 
 5.20080000e-08  4.00000000e-01  3.99930347e-01 
 5.31080000e-08  4.00000000e-01  3.99930347e-01 
 5.42080000e-08  4.00000000e-01  3.99930347e-01 
 5.53080000e-08  4.00000000e-01  3.99930347e-01 
 5.64080000e-08  4.00000000e-01  3.99930347e-01 
 5.75080000e-08  4.00000000e-01  3.99930347e-01 
 5.86080000e-08  4.00000000e-01  3.99930347e-01 
 5.97080000e-08  4.00000000e-01  3.99930347e-01 
 6.08080000e-08  4.00000000e-01  3.99930347e-01 
 6.19080000e-08  4.00000000e-01  3.99930347e-01 
 6.30080000e-08  4.00000000e-01  3.99930347e-01 
 6.41080000e-08  4.00000000e-01  3.99930347e-01 
 6.52080000e-08  4.00000000e-01  3.99930347e-01 
 6.63080000e-08  4.00000000e-01  3.99930347e-01 
 6.74080000e-08  4.00000000e-01  3.99930347e-01 
 6.85080000e-08  4.00000000e-01  3.99930347e-01 
 6.96080000e-08  4.00000000e-01  3.99930347e-01 
 7.07080000e-08  4.00000000e-01  3.99930347e-01 
 7.18080000e-08  4.00000000e-01  3.99930347e-01 
 7.29080000e-08  4.00000000e-01  3.99930347e-01 
 7.40080000e-08  4.00000000e-01  3.99930347e-01 
 7.51080000e-08  4.00000000e-01  3.99930347e-01 
 7.62080000e-08  4.00000000e-01  3.99930347e-01 
 7.73080000e-08  4.00000000e-01  3.99930347e-01 
 7.84080000e-08  4.00000000e-01  3.99930347e-01 
 7.95080000e-08  4.00000000e-01  3.99930347e-01 
 8.06080000e-08  4.00000000e-01  3.99930347e-01 
 8.17080000e-08  4.00000000e-01  3.99930347e-01 
 8.28080000e-08  4.00000000e-01  3.99930347e-01 
 8.39080000e-08  4.00000000e-01  3.99930347e-01 
 8.50080000e-08  4.00000000e-01  3.99930347e-01 
 8.61080000e-08  4.00000000e-01  3.99930347e-01 
 8.72080000e-08  4.00000000e-01  3.99930347e-01 
 8.83080000e-08  4.00000000e-01  3.99930347e-01 
 8.94080000e-08  4.00000000e-01  3.99930347e-01 
 9.05080000e-08  4.00000000e-01  3.99930347e-01 
 9.16080000e-08  4.00000000e-01  3.99930347e-01 
 9.27080000e-08  4.00000000e-01  3.99930347e-01 
 9.38080000e-08  4.00000000e-01  3.99930347e-01 
 9.49080000e-08  4.00000000e-01  3.99930347e-01 
 9.60080000e-08  4.00000000e-01  3.99930347e-01 
 9.71080000e-08  4.00000000e-01  3.99930347e-01 
 9.82080000e-08  4.00000000e-01  3.99930347e-01 
 9.93080000e-08  4.00000000e-01  3.99930347e-01 
 1.00000000e-07  4.00000000e-01  3.99930347e-01 
 1.00001000e-07  4.30000000e-01  3.99979280e-01 
 1.00003000e-07  4.90000000e-01  4.00085204e-01 
 1.00007000e-07  6.10000000e-01  4.00316145e-01 
 1.00010000e-07  7.00000000e-01  4.00503861e-01 
 1.00010800e-07  7.00000000e-01  4.00510458e-01 
 1.00012400e-07  7.00000000e-01  4.00515129e-01 
 1.00015600e-07  7.00000000e-01  4.00522282e-01 
 1.00022000e-07  7.00000000e-01  4.00537581e-01 
 1.00034800e-07  7.00000000e-01  4.00563652e-01 
 1.00060400e-07  7.00000000e-01  4.00608492e-01 
 1.00111600e-07  7.00000000e-01  4.00672369e-01 
 1.00214000e-07  7.00000000e-01  4.00749679e-01 
 1.00418800e-07  7.00000000e-01  4.00816133e-01 
 1.00828400e-07  7.00000000e-01  4.00843998e-01 
 1.01647600e-07  7.00000000e-01  4.00848055e-01 
 1.02747600e-07  7.00000000e-01  4.00927032e-01 
 1.03847600e-07  7.00000000e-01  4.01059149e-01 
 1.04947600e-07  7.00000000e-01  4.01215295e-01 
 1.06047600e-07  7.00000000e-01  4.01398388e-01 
 1.07147600e-07  7.00000000e-01  4.01606763e-01 
 1.08247600e-07  7.00000000e-01  4.01837464e-01 
 1.09347600e-07  7.00000000e-01  4.02090941e-01 
 1.10447600e-07  7.00000000e-01  4.02363804e-01 
 1.11547600e-07  7.00000000e-01  4.02656600e-01 
 1.12647600e-07  7.00000000e-01  4.02966006e-01 
 1.13747600e-07  7.00000000e-01  4.03292686e-01 
 1.14847600e-07  7.00000000e-01  4.03633458e-01 
 1.15947600e-07  7.00000000e-01  4.03989145e-01 
 1.17047600e-07  7.00000000e-01  4.04356729e-01 
 1.18147600e-07  7.00000000e-01  4.04737198e-01 
 1.19247600e-07  7.00000000e-01  4.05127694e-01 
 1.20347600e-07  7.00000000e-01  4.05529356e-01 
 1.21447600e-07  7.00000000e-01  4.05939471e-01 
 1.22547600e-07  7.00000000e-01  4.06359310e-01 
 1.23647600e-07  7.00000000e-01  4.06786285e-01 
 1.24747600e-07  7.00000000e-01  4.07221780e-01 
 1.25847600e-07  7.00000000e-01  4.07663312e-01 
 1.26947600e-07  7.00000000e-01  4.08112356e-01 
 1.28047600e-07  7.00000000e-01  4.08566519e-01 
 1.29147600e-07  7.00000000e-01  4.09027352e-01 
 1.30247600e-07  7.00000000e-01  4.09492534e-01 
 1.31347600e-07  7.00000000e-01  4.09963681e-01 
 1.32447600e-07  7.00000000e-01  4.10438529e-01 
 1.33547600e-07  7.00000000e-01  4.10918745e-01 
 1.34647600e-07  7.00000000e-01  4.11402117e-01 
 1.35747600e-07  7.00000000e-01  4.11890353e-01 
 1.36847600e-07  7.00000000e-01  4.12381281e-01 
 1.37947600e-07  7.00000000e-01  4.12876643e-01 
 1.39047600e-07  7.00000000e-01  4.13374301e-01 
 1.40147600e-07  7.00000000e-01  4.13876027e-01 
 1.41247600e-07  7.00000000e-01  4.14379709e-01 
 1.42347600e-07  7.00000000e-01  4.14887142e-01 
 1.43447600e-07  7.00000000e-01  4.15396239e-01 
 1.44547600e-07  7.00000000e-01  4.15908813e-01 
 1.45647600e-07  7.00000000e-01  4.16422797e-01 
 1.46747600e-07  7.00000000e-01  4.16940020e-01 
 1.47847600e-07  7.00000000e-01  4.17458432e-01 
 1.48947600e-07  7.00000000e-01  4.17979875e-01 
 1.50047600e-07  7.00000000e-01  4.18502312e-01 
 1.51147600e-07  7.00000000e-01  4.19027598e-01 
 1.52247600e-07  7.00000000e-01  4.19553708e-01 
 1.53347600e-07  7.00000000e-01  4.20082503e-01 
 1.54447600e-07  7.00000000e-01  4.20611973e-01 
 1.55547600e-07  7.00000000e-01  4.21143985e-01 
 1.56647600e-07  7.00000000e-01  4.21676537e-01 
 1.57747600e-07  7.00000000e-01  4.22211504e-01 
 1.58847600e-07  7.00000000e-01  4.22746891e-01 
 1.59947600e-07  7.00000000e-01  4.23284579e-01 
 1.61047600e-07  7.00000000e-01  4.23822582e-01 
