 v-sweep         Vout           
 1.10000000e-04  5.81805876e-01 
 1.10010000e-04  5.81845615e-01 
 1.10020000e-04  5.81885345e-01 
 1.10030000e-04  5.81925084e-01 
 1.10040000e-04  5.81964954e-01 
 1.10050000e-04  5.82004656e-01 
 1.10060000e-04  5.82044545e-01 
 1.10070000e-04  5.82084279e-01 
 1.10080000e-04  5.82124149e-01 
 1.10090000e-04  5.82163880e-01 
 1.10100000e-04  5.82203623e-01 
 1.10110000e-04  5.82243483e-01 
 1.10120000e-04  5.82283234e-01 
 1.10130000e-04  5.82322894e-01 
 1.10140000e-04  5.82362755e-01 
 1.10150000e-04  5.82402663e-01 
 1.10160000e-04  5.82442321e-01 
 1.10170000e-04  5.82482027e-01 
 1.10180000e-04  5.82521940e-01 
 1.10190000e-04  5.82561669e-01 
 1.10200000e-04  5.82601439e-01 
 1.10210000e-04  5.82641230e-01 
 1.10220000e-04  5.82681096e-01 
 1.10230000e-04  5.82720705e-01 
 1.10240000e-04  5.82760629e-01 
 1.10250000e-04  5.82800436e-01 
 1.10260000e-04  5.82840306e-01 
 1.10270000e-04  5.82880159e-01 
 1.10280000e-04  5.82919979e-01 
 1.10290000e-04  5.82959799e-01 
 1.10300000e-04  5.82999465e-01 
 1.10310000e-04  5.83039361e-01 
 1.10320000e-04  5.83079229e-01 
 1.10330000e-04  5.83118924e-01 
 1.10340000e-04  5.83158698e-01 
 1.10350000e-04  5.83198637e-01 
 1.10360000e-04  5.83238477e-01 
 1.10370000e-04  5.83278113e-01 
 1.10380000e-04  5.83318010e-01 
 1.10390000e-04  5.83357889e-01 
 1.10400000e-04  5.83397672e-01 
 1.10410000e-04  5.83437394e-01 
 1.10420000e-04  5.83477261e-01 
 1.10430000e-04  5.83517012e-01 
 1.10440000e-04  5.83556887e-01 
 1.10450000e-04  5.83596679e-01 
 1.10460000e-04  5.83636386e-01 
 1.10470000e-04  5.83676311e-01 
 1.10480000e-04  5.83716007e-01 
 1.10490000e-04  5.83755949e-01 
 1.10500000e-04  5.83795674e-01 
 1.10510000e-04  5.83835545e-01 
 1.10520000e-04  5.83875298e-01 
 1.10530000e-04  5.83915062e-01 
 1.10540000e-04  5.83954927e-01 
 1.10550000e-04  5.83994703e-01 
 1.10560000e-04  5.84034766e-01 
 1.10570000e-04  5.84074529e-01 
 1.10580000e-04  5.84114333e-01 
 1.10590000e-04  5.84153986e-01 
 1.10600000e-04  5.84193919e-01 
 1.10610000e-04  5.84233778e-01 
 1.10620000e-04  5.84273654e-01 
 1.10630000e-04  5.84313430e-01 
 1.10640000e-04  5.84353297e-01 
 1.10650000e-04  5.84393254e-01 
 1.10660000e-04  5.84432857e-01 
 1.10670000e-04  5.84472752e-01 
 1.10680000e-04  5.84512718e-01 
 1.10690000e-04  5.84552311e-01 
 1.10700000e-04  5.84592193e-01 
