 frequency       inoise_spectrum onoise_spectrum
 1.00000000e+01  6.82018838e-06  2.73668491e-02 
 1.05776756e+01  6.63137045e-06  2.66068400e-02 
 1.11887221e+01  6.44778172e-06  2.58676727e-02 
 1.18350673e+01  6.26927743e-06  2.51487523e-02 
 1.25187503e+01  6.09571681e-06  2.44494987e-02 
 1.32419279e+01  5.92696300e-06  2.37693463e-02 
 1.40068818e+01  5.76288292e-06  2.31077432e-02 
 1.48160252e+01  5.60334720e-06  2.24641509e-02 
 1.56719108e+01  5.44823003e-06  2.18380439e-02 
 1.65772389e+01  5.29740909e-06  2.12289087e-02 
 1.75348655e+01  5.15076545e-06  2.06362435e-02 
 1.85478119e+01  5.00818347e-06  2.00595581e-02 
 1.96192737e+01  4.86955073e-06  1.94983725e-02 
 2.07526313e+01  4.73475789e-06  1.89522173e-02 
 2.19514602e+01  4.60369867e-06  1.84206327e-02 
 2.32195425e+01  4.47626973e-06  1.79031678e-02 
 2.45608788e+01  4.35237056e-06  1.73993807e-02 
 2.59797009e+01  4.23190349e-06  1.69088375e-02 
 2.74804848e+01  4.11477350e-06  1.64311120e-02 
 2.90679654e+01  4.00088824e-06  1.59657852e-02 
 3.07471508e+01  3.89015790e-06  1.55124446e-02 
 3.25233387e+01  3.78249517e-06  1.50706842e-02 
 3.44021326e+01  3.67781514e-06  1.46401037e-02 
 3.63894599e+01  3.57603527e-06  1.42203080e-02 
 3.84915902e+01  3.47707530e-06  1.38109071e-02 
 4.07151555e+01  3.38085720e-06  1.34115157e-02 
 4.30671707e+01  3.28730509e-06  1.30217527e-02 
 4.55550561e+01  3.19634520e-06  1.26412410e-02 
 4.81866605e+01  3.10790581e-06  1.22696078e-02 
 5.09702863e+01  3.02191717e-06  1.19064838e-02 
 5.39147154e+01  2.93831147e-06  1.15515037e-02 
 5.70292370e+01  2.85702280e-06  1.12043064e-02 
 6.03236769e+01  2.77798704e-06  1.08645352e-02 
 6.38084285e+01  2.70114188e-06  1.05318385e-02 
 6.74944857e+01  2.62642672e-06  1.02058703e-02 
 7.13934775e+01  2.55378264e-06  9.88629148e-03 
 7.55177045e+01  2.48315235e-06  9.57277078e-03 
 7.98801781e+01  2.41448017e-06  9.26498668e-03 
 8.44946611e+01  2.34771193e-06  8.96262911e-03 
 8.93757115e+01  2.28279499e-06  8.66540176e-03 
 9.45387283e+01  2.21967816e-06  8.37302465e-03 
 1.00000000e+02  2.15831166e-06  8.08523704e-03 
 1.05776756e+02  2.09864710e-06  7.80180073e-03 
 1.11887221e+02  2.04063744e-06  7.52250353e-03 
 1.18350673e+02  1.98423693e-06  7.24716296e-03 
 1.25187503e+02  1.92940110e-06  6.97563000e-03 
 1.32419279e+02  1.87608670e-06  6.70779287e-03 
 1.40068818e+02  1.82425169e-06  6.44358042e-03 
 1.48160252e+02  1.77385519e-06  6.18296523e-03 
 1.56719108e+02  1.72485747e-06  5.92596596e-03 
 1.65772389e+02  1.67721989e-06  5.67264885e-03 
 1.75348655e+02  1.63090488e-06  5.42312808e-03 
 1.85478119e+02  1.58587592e-06  5.17756477e-03 
 1.96192737e+02  1.54209750e-06  4.93616461e-03 
 2.07526313e+02  1.49953509e-06  4.69917377e-03 
 2.19514602e+02  1.45815514e-06  4.46687335e-03 
 2.32195425e+02  1.41792501e-06  4.23957227e-03 
 2.45608788e+02  1.37881297e-06  4.01759898e-03 
 2.59797009e+02  1.34078819e-06  3.80129209e-03 
 2.74804848e+02  1.30382068e-06  3.59099046e-03 
 2.90679654e+02  1.26788128e-06  3.38702314e-03 
