 v-sweep         Vout           
 0.00000000e+00  4.50869999e-02 
 1.00000000e-02  4.91032032e-02 
 2.00000000e-02  5.39334852e-02 
 3.00000000e-02  5.95879019e-02 
 4.00000000e-02  6.60278566e-02 
 5.00000000e-02  7.31748505e-02 
 6.00000000e-02  8.09252462e-02 
 7.00000000e-02  8.91666159e-02 
 8.00000000e-02  9.77904094e-02 
 9.00000000e-02  1.06699789e-01 
 1.00000000e-01  1.15814167e-01 
 1.10000000e-01  1.25071682e-01 
 1.20000000e-01  1.34428591e-01 
 1.30000000e-01  1.43855763e-01 
 1.40000000e-01  1.53334144e-01 
 1.50000000e-01  1.62851100e-01 
 1.60000000e-01  1.72398031e-01 
 1.70000000e-01  1.81968847e-01 
 1.80000000e-01  1.91559006e-01 
 1.90000000e-01  2.01164943e-01 
 2.00000000e-01  2.10783768e-01 
 2.10000000e-01  2.20413078e-01 
 2.20000000e-01  2.30050859e-01 
 2.30000000e-01  2.39695425e-01 
 2.40000000e-01  2.49345376e-01 
 2.50000000e-01  2.58999566e-01 
 2.60000000e-01  2.68657067e-01 
 2.70000000e-01  2.78317134e-01 
 2.80000000e-01  2.87979175e-01 
 2.90000000e-01  2.97642722e-01 
 3.00000000e-01  3.07307399e-01 
 3.10000000e-01  3.16972904e-01 
 3.20000000e-01  3.26638729e-01 
 3.30000000e-01  3.36305383e-01 
 3.40000000e-01  3.45971874e-01 
 3.50000000e-01  3.55638238e-01 
 3.60000000e-01  3.65304317e-01 
 3.70000000e-01  3.74969745e-01 
 3.80000000e-01  3.84634333e-01 
 3.90000000e-01  3.94298031e-01 
 4.00000000e-01  4.03961029e-01 
 4.10000000e-01  4.13623863e-01 
 4.20000000e-01  4.23287518e-01 
 4.30000000e-01  4.32953542e-01 
 4.40000000e-01  4.42624165e-01 
 4.50000000e-01  4.52302416e-01 
 4.60000000e-01  4.61992190e-01 
 4.70000000e-01  4.71698199e-01 
 4.80000000e-01  4.81425684e-01 
 4.90000000e-01  4.91179808e-01 
 5.00000000e-01  5.00964759e-01 
 5.10000000e-01  5.10782795e-01 
 5.20000000e-01  5.20633651e-01 
 5.30000000e-01  5.30514647e-01 
 5.40000000e-01  5.40421456e-01 
 5.50000000e-01  5.50349140e-01 
 5.60000000e-01  5.60293010e-01 
 5.70000000e-01  5.70249140e-01 
 5.80000000e-01  5.80214539e-01 
 5.90000000e-01  5.90187077e-01 
 6.00000000e-01  6.00165149e-01 
 6.10000000e-01  6.10147206e-01 
 6.20000000e-01  6.20131686e-01 
 6.30000000e-01  6.30117536e-01 
 6.40000000e-01  6.40104432e-01 
 6.50000000e-01  6.50092423e-01 
 6.60000000e-01  6.60081425e-01 
 6.70000000e-01  6.70070614e-01 
 6.80000000e-01  6.80057784e-01 
 6.90000000e-01  6.90039017e-01 
 7.00000000e-01  7.00008814e-01 
 7.10000000e-01  7.09959960e-01 
 7.20000000e-01  7.19882498e-01 
 7.30000000e-01  7.29762015e-01 
 7.40000000e-01  7.39577703e-01 
 7.50000000e-01  7.49300428e-01 
 7.60000000e-01  7.58891081e-01 
 7.70000000e-01  7.68299726e-01 
 7.80000000e-01  7.77466258e-01 
 7.90000000e-01  7.86323255e-01 
 8.00000000e-01  7.94801160e-01 
 8.10000000e-01  8.02835085e-01 
 8.20000000e-01  8.10371711e-01 
 8.30000000e-01  8.17374526e-01 
 8.40000000e-01  8.23826209e-01 
 8.50000000e-01  8.29727983e-01 
 8.60000000e-01  8.35096670e-01 
 8.70000000e-01  8.39960602e-01 
 8.80000000e-01  8.44355423e-01 
 8.90000000e-01  8.48320449e-01 
 9.00000000e-01  8.51895889e-01 
 9.10000000e-01  8.55120899e-01 
 9.20000000e-01  8.58032383e-01 
 9.30000000e-01  8.60664331e-01 
 9.40000000e-01  8.63047556e-01 
 9.50000000e-01  8.65209673e-01 
 9.60000000e-01  8.67175241e-01 
 9.70000000e-01  8.68965990e-01 
 9.80000000e-01  8.70601076e-01 
 9.90000000e-01  8.72097358e-01 
 1.00000000e+00  8.73469657e-01 
 1.01000000e+00  8.74731005e-01 
 1.02000000e+00  8.75892860e-01 
 1.03000000e+00  8.76965313e-01 
 1.04000000e+00  8.77957260e-01 
 1.05000000e+00  8.78876553e-01 
 1.06000000e+00  8.79730138e-01 
 1.07000000e+00  8.80524170e-01 
 1.08000000e+00  8.81264114e-01 
 1.09000000e+00  8.81954832e-01 
 1.10000000e+00  8.82600658e-01 
 1.11000000e+00  8.83205460e-01 
 1.12000000e+00  8.83772708e-01 
 1.13000000e+00  8.84305507e-01 
 1.14000000e+00  8.84806650e-01 
 1.15000000e+00  8.85278655e-01 
 1.16000000e+00  8.85723790e-01 
 1.17000000e+00  8.86144108e-01 
 1.18000000e+00  8.86541466e-01 
 1.19000000e+00  8.86917550e-01 
 1.20000000e+00  8.87273894e-01 
