 frequency       inoise_spectrum onoise_spectrum
 1.00000000e+00  1.62569337e-05  1.25305384e-02 
 1.05776756e+00  1.58067946e-05  1.21835792e-02 
 1.11887221e+00  1.53691199e-05  1.18462274e-02 
 1.18350673e+00  1.49435647e-05  1.15182169e-02 
 1.25187503e+00  1.45297933e-05  1.11992892e-02 
 1.32419279e+00  1.41274794e-05  1.08891927e-02 
 1.40068818e+00  1.37363059e-05  1.05876830e-02 
 1.48160252e+00  1.33559642e-05  1.02945221e-02 
 1.56719108e+00  1.29861544e-05  1.00094790e-02 
 1.65772389e+00  1.26265849e-05  9.73232893e-03 
 1.75348655e+00  1.22769722e-05  9.46285326e-03 
 1.85478119e+00  1.19370405e-05  9.20083951e-03 
 1.96192737e+00  1.16065219e-05  8.94608109e-03 
 2.07526313e+00  1.12851556e-05  8.69837708e-03 
 2.19514602e+00  1.09726883e-05  8.45753215e-03 
 2.32195425e+00  1.06688736e-05  8.22335638e-03 
 2.45608788e+00  1.03734719e-05  7.99566510e-03 
 2.59797009e+00  1.00862502e-05  7.77427876e-03 
 2.74804848e+00  9.80698213e-06  7.55902277e-03 
 2.90679654e+00  9.53544739e-06  7.34972738e-03 
 3.07471508e+00  9.27143187e-06  7.14622755e-03 
 3.25233387e+00  9.01472740e-06  6.94836279e-03 
 3.44021326e+00  8.76513153e-06  6.75597707e-03 
 3.63894599e+00  8.52244746e-06  6.56891866e-03 
 3.84915902e+00  8.28648381e-06  6.38704004e-03 
 4.07151555e+00  8.05705451e-06  6.21019779e-03 
 4.30671707e+00  7.83397864e-06  6.03825244e-03 
 4.55550561e+00  7.61708030e-06  5.87106837e-03 
 4.81866605e+00  7.40618845e-06  5.70851375e-03 
 5.09702863e+00  7.20113679e-06  5.55046036e-03 
 5.39147154e+00  7.00176362e-06  5.39678355e-03 
 5.70292370e+00  6.80791174e-06  5.24736211e-03 
 6.03236769e+00  6.61942826e-06  5.10207820e-03 
 6.38084285e+00  6.43616458e-06  4.96081722e-03 
 6.74944857e+00  6.25797616e-06  4.82346775e-03 
