 v-sweep         Vout           
-6.00000000e-01  9.85081248e-03 
-5.98000000e-01  1.00794977e-02 
-5.96000000e-01  1.03142954e-02 
-5.94000000e-01  1.05531931e-02 
-5.92000000e-01  1.07962223e-02 
-5.90000000e-01  1.10434052e-02 
-5.88000000e-01  1.12947622e-02 
-5.86000000e-01  1.15503134e-02 
-5.84000000e-01  1.18100771e-02 
-5.82000000e-01  1.20740704e-02 
-5.80000000e-01  1.23423092e-02 
-5.78000000e-01  1.26148084e-02 
-5.76000000e-01  1.28915813e-02 
-5.74000000e-01  1.31726404e-02 
-5.72000000e-01  1.34579967e-02 
-5.70000000e-01  1.37476601e-02 
-5.68000000e-01  1.40416393e-02 
-5.66000000e-01  1.43399417e-02 
-5.64000000e-01  1.46425736e-02 
-5.62000000e-01  1.49495402e-02 
-5.60000000e-01  1.52608456e-02 
-5.58000000e-01  1.55764926e-02 
-5.56000000e-01  1.58964827e-02 
-5.54000000e-01  1.62208168e-02 
-5.52000000e-01  1.65494944e-02 
-5.50000000e-01  1.68825140e-02 
-5.48000000e-01  1.72198730e-02 
-5.46000000e-01  1.75615679e-02 
-5.44000000e-01  1.79075942e-02 
-5.42000000e-01  1.82579462e-02 
-5.40000000e-01  1.86126175e-02 
-5.38000000e-01  1.89716008e-02 
-5.36000000e-01  1.93348878e-02 
-5.34000000e-01  1.97024694e-02 
-5.32000000e-01  2.00743354e-02 
-5.30000000e-01  2.04504751e-02 
-5.28000000e-01  2.08308769e-02 
-5.26000000e-01  2.12155285e-02 
-5.24000000e-01  2.16044168e-02 
-5.22000000e-01  2.19975279e-02 
-5.20000000e-01  2.23948475e-02 
-5.18000000e-01  2.27963602e-02 
-5.16000000e-01  2.32020505e-02 
-5.14000000e-01  2.36119018e-02 
-5.12000000e-01  2.40258975e-02 
-5.10000000e-01  2.44440199e-02 
-5.08000000e-01  2.48662511e-02 
-5.06000000e-01  2.52925725e-02 
-5.04000000e-01  2.57229654e-02 
-5.02000000e-01  2.61574103e-02 
-5.00000000e-01  2.65958874e-02 
-4.98000000e-01  2.70383765e-02 
-4.96000000e-01  2.74848570e-02 
-4.94000000e-01  2.79353082e-02 
-4.92000000e-01  2.83897088e-02 
-4.90000000e-01  2.88480373e-02 
-4.88000000e-01  2.93102718e-02 
-4.86000000e-01  2.97763905e-02 
-4.84000000e-01  3.02463710e-02 
-4.82000000e-01  3.07201909e-02 
-4.80000000e-01  3.11978275e-02 
-4.78000000e-01  3.16792579e-02 
-4.76000000e-01  3.21644594e-02 
-4.74000000e-01  3.26534086e-02 
-4.72000000e-01  3.31460823e-02 
-4.70000000e-01  3.36424572e-02 
-4.68000000e-01  3.41425100e-02 
-4.66000000e-01  3.46462172e-02 
-4.64000000e-01  3.51535552e-02 
-4.62000000e-01  3.56645006e-02 
-4.60000000e-01  3.61790296e-02 
-4.58000000e-01  3.66971187e-02 
-4.56000000e-01  3.72187443e-02 
-4.54000000e-01  3.77438829e-02 
-4.52000000e-01  3.82725110e-02 
-4.50000000e-01  3.88046050e-02 
-4.48000000e-01  3.93401415e-02 
-4.46000000e-01  3.98790972e-02 
-4.44000000e-01  4.04214486e-02 
-4.42000000e-01  4.09671727e-02 
-4.40000000e-01  4.15162464e-02 
-4.38000000e-01  4.20686465e-02 
-4.36000000e-01  4.26243503e-02 
-4.34000000e-01  4.31833349e-02 
-4.32000000e-01  4.37455777e-02 
-4.30000000e-01  4.43110561e-02 
-4.28000000e-01  4.48797477e-02 
-4.26000000e-01  4.54516305e-02 
-4.24000000e-01  4.60266822e-02 
-4.22000000e-01  4.66048809e-02 
-4.20000000e-01  4.71862050e-02 
-4.18000000e-01  4.77706328e-02 
-4.16000000e-01  4.83581429e-02 
-4.14000000e-01  4.89487141e-02 
-4.12000000e-01  4.95423254e-02 
-4.10000000e-01  5.01389558e-02 
-4.08000000e-01  5.07385849e-02 
