 v-sweep         ID              Gm             
-5.00000000e-01  4.62684596e-10 -2.76644191e-09 
-4.90000000e-01  4.35020177e-10 -2.61191062e-09 
-4.80000000e-01  4.09680177e-10 -2.46496531e-09 
-4.70000000e-01  3.85771445e-10 -2.32530462e-09 
-4.60000000e-01  3.63222650e-10 -2.19263529e-09 
-4.50000000e-01  3.41965349e-10 -2.06667199e-09 
-4.40000000e-01  3.21933917e-10 -1.94713710e-09 
-4.30000000e-01  3.03065464e-10 -1.83376043e-09 
-4.20000000e-01  2.85299764e-10 -1.72627891e-09 
-4.10000000e-01  2.68579188e-10 -1.62443612e-09 
-4.00000000e-01  2.52848634e-10 -1.52798180e-09 
-3.90000000e-01  2.38055476e-10 -1.43667114e-09 
-3.80000000e-01  2.24149503e-10 -1.35026385e-09 
-3.70000000e-01  2.11082888e-10 -1.26852295e-09 
-3.60000000e-01  1.98810153e-10 -1.19121314e-09 
-3.50000000e-01  1.87288166e-10 -1.11809862e-09 
-3.40000000e-01  1.76476149e-10 -1.04894011e-09 
-3.30000000e-01  1.66335736e-10 -9.83490861e-10 
-3.20000000e-01  1.56831059e-10 -9.21491154e-10 
-3.10000000e-01  1.47928908e-10 -8.62660830e-10 
-3.00000000e-01  1.39598968e-10 -8.06689071e-10 
-2.90000000e-01  1.31814179e-10 -7.53220390e-10 
-2.80000000e-01  1.24551241e-10 -7.01835418e-10 
-2.70000000e-01  1.17791352e-10 -6.52024528e-10 
-2.60000000e-01  1.11521230e-10 -6.03151588e-10 
-2.50000000e-01  1.05734554e-10 -5.54404132e-10 
-2.40000000e-01  1.00433957e-10 -5.04724802e-10 
-2.30000000e-01  9.56338079e-11 -4.52716987e-10 
-2.20000000e-01  9.13640428e-11 -3.96514886e-10 
-2.10000000e-01  8.76754771e-11 -3.33604525e-10 
-2.00000000e-01  8.46471324e-11 -2.60577102e-10 
-1.90000000e-01  8.23963525e-11 -1.72789001e-10 
-1.80000000e-01  8.10927608e-11 -6.38929914e-11 
-1.70000000e-01  8.09775153e-11  7.48083451e-11 
-1.60000000e-01  8.23898697e-11  2.55254602e-10 
-1.50000000e-01  8.69400593e-11  4.93858361e-10 
-1.40000000e-01  9.33966426e-11  8.13203840e-10 
-1.30000000e-01  1.03575654e-10  1.24439156e-09 
-1.20000000e-01  1.18798346e-10  1.83027501e-09 
-1.10000000e-01  1.40891264e-10  2.62992876e-09 
-1.00000000e-01  1.72377642e-10  3.72481630e-09 
-9.00000000e-02  2.16741572e-10  5.22730240e-09 
