 frequency       inoise_spectrum onoise_spectrum
 1.00000000e+00  1.22155343e-05  9.67593643e-05 
 1.11588399e+00  1.15638672e-05  9.15975025e-05 
 1.24519708e+00  1.09469652e-05  8.67110161e-05 
 1.38949549e+00  1.03629738e-05  8.20852147e-05 
 1.55051578e+00  9.81013728e-06  7.77061912e-05 
 1.73019574e+00  9.28679360e-06  7.35607809e-05 
 1.93069773e+00  8.79136939e-06  6.96365210e-05 
 2.15443469e+00  8.32237524e-06  6.59216139e-05 
 2.40409918e+00  7.87840119e-06  6.24048911e-05 
 2.68269580e+00  7.45811247e-06  5.90757802e-05 
 2.99357729e+00  7.06024556e-06  5.59242726e-05 
 3.34048498e+00  6.68360431e-06  5.29408936e-05 
 3.72759372e+00  6.32705641e-06  5.01166743e-05 
 4.15956216e+00  5.98952995e-06  4.74431240e-05 
 4.64158883e+00  5.67001019e-06  4.49122050e-05 
 5.17947468e+00  5.36753655e-06  4.25163084e-05 
 5.77969288e+00  5.08119968e-06  4.02482313e-05 
 6.44946677e+00  4.81013875e-06  3.81011550e-05 
 7.19685673e+00  4.55353884e-06  3.60686247e-05 
 8.03085722e+00  4.31062853e-06  3.41445298e-05 
 8.96150502e+00  4.08067753e-06  3.23230857e-05 
 1.00000000e+01  3.86299454e-06  3.05988167e-05 
 1.11588399e+01  3.65692512e-06  2.89665388e-05 
 1.24519708e+01  3.46184974e-06  2.74213449e-05 
 1.38949549e+01  3.27718195e-06  2.59585895e-05 
 1.55051578e+01  3.10236656e-06  2.45738752e-05 
 1.73019574e+01  2.93687801e-06  2.32630388e-05 
 1.93069773e+01  2.78021878e-06  2.20221396e-05 
 2.15443469e+01  2.63191791e-06  2.08474469e-05 
 2.40409918e+01  2.49152953e-06  1.97354293e-05 
 2.68269580e+01  2.35863161e-06  1.86827435e-05 
 2.99357729e+01  2.23282459e-06  1.76862249e-05 
 3.34048498e+01  2.11373025e-06  1.67428775e-05 
 3.72759372e+01  2.00099055e-06  1.58498653e-05 
 4.15956216e+01  1.89426656e-06  1.50045035e-05 
 4.64158883e+01  1.79323742e-06  1.42042508e-05 
 5.17947468e+01  1.69759941e-06  1.34467012e-05 
 5.77969288e+01  1.60706500e-06  1.27295772e-05 
 6.44946677e+01  1.52136201e-06  1.20507230e-05 
 7.19685673e+01  1.44023279e-06  1.14080977e-05 
 8.03085722e+01  1.36343343e-06  1.07997693e-05 
 8.96150502e+01  1.29073305e-06  1.02239088e-05 
 1.00000000e+02  1.22191308e-06  9.67878520e-06 
 1.11588399e+02  1.15676663e-06  9.16275951e-06 
 1.24519708e+02  1.09509783e-06  8.67428040e-06 
 1.38949549e+02  1.03672130e-06  8.21187931e-06 
 1.55051578e+02  9.81461523e-07  7.77416611e-06 
 1.73019574e+02  9.29152377e-07  7.35982486e-06 
 1.93069773e+02  8.79636598e-07  6.96760990e-06 
 2.15443469e+02  8.32765323e-07  6.59634209e-06 
 2.40409918e+02  7.88397640e-07  6.24490525e-06 
 2.68269580e+02  7.46400163e-07  5.91224282e-06 
 2.99357729e+02  7.06646630e-07  5.59735471e-06 
 3.34048498e+02  6.69017528e-07  5.29929423e-06 
 3.72759372e+02  6.33399728e-07  5.01716530e-06 
 4.15956216e+02  5.99686148e-07  4.75011972e-06 
 4.64158883e+02  5.67775433e-07  4.49735463e-06 
 5.17947468e+02  5.37571644e-07  4.25811014e-06 
 5.77969288e+02  5.08983977e-07  4.03166695e-06 
 6.44946677e+02  4.81926482e-07  3.81734427e-06 
 7.19685673e+02  4.56317812e-07  3.61449776e-06 
 8.03085722e+02  4.32080975e-07  3.42251754e-06 
 8.96150502e+02  4.09143102e-07  3.24082642e-06 
 1.00000000e+03  3.87435227e-07  3.06887813e-06 
 1.11588399e+03  3.66892082e-07  2.90615569e-06 
 1.24519708e+03  3.47451900e-07  2.75216982e-06 
 1.38949549e+03  3.29056229e-07  2.60645753e-06 
 1.55051578e+03  3.11649754e-07  2.46858068e-06 
 1.73019574e+03  2.95180133e-07  2.33812465e-06 
 1.93069773e+03  2.79597838e-07  2.21469715e-06 
 2.15443469e+03  2.64856008e-07  2.09792697e-06 
 2.40409918e+03  2.50910304e-07  1.98746292e-06 
 2.68269580e+03  2.37718777e-07  1.88297271e-06 
 2.99357729e+03  2.25241743e-07  1.78414200e-06 
 3.34048498e+03  2.13441660e-07  1.69067343e-06 
 3.72759372e+03  2.02283015e-07  1.60228570e-06 
 4.15956216e+03  1.91732221e-07  1.51871275e-06 
 4.64158883e+03  1.81757506e-07  1.43970294e-06 
 5.17947468e+03  1.72328826e-07  1.36501827e-06 
 5.77969288e+03  1.63417764e-07  1.29443367e-06 
 6.44946677e+03  1.54997452e-07  1.22773630e-06 
 7.19685673e+03  1.47042482e-07  1.16472490e-06 
 8.03085722e+03  1.39528828e-07  1.10520918e-06 
 8.96150502e+03  1.32433774e-07  1.04900919e-06 
 1.00000000e+04  1.25735843e-07  9.95954816e-07 
 1.11588399e+04  1.19414726e-07  9.45885185e-07 
 1.24519708e+04  1.13451219e-07  8.98648190e-07 
 1.38949549e+04  1.07827163e-07  8.54099984e-07 
 1.55051578e+04  1.02525381e-07  8.12104520e-07 
 1.73019574e+04  9.75296256e-08  7.72533096e-07 
 1.93069773e+04  9.28245222e-08  7.35263927e-07 
 2.15443469e+04  8.83955164e-08  7.00181729e-07 
 2.40409918e+04  8.42288245e-08  6.67177322e-07 
 2.68269580e+04  8.03113847e-08  6.36147244e-07 
 2.99357729e+04  7.66308102e-08  6.06993378e-07 
 3.34048498e+04  7.31753442e-08  5.79622598e-07 
 3.72759372e+04  6.99338161e-08  5.53946422e-07 
 4.15956216e+04  6.68955996e-08  5.29880680e-07 
 4.64158883e+04  6.40505730e-08  5.07345196e-07 
 5.17947468e+04  6.13890805e-08  4.86263488e-07 
 5.77969288e+04  5.89018961e-08  4.66562475e-07 
 6.44946677e+04  5.65801893e-08  4.48172212e-07 
 7.19685673e+04  5.44154935e-08  4.31025634e-07 
 8.03085722e+04  5.23996772e-08  4.15058332e-07 
 8.96150502e+04  5.05249171e-08  4.00208337e-07 
 1.00000000e+05  4.87836757e-08  3.86415945e-07 
 1.11588399e+05  4.71686810e-08  3.73623552e-07 
 1.24519708e+05  4.56729099e-08  3.61775531e-07 
 1.38949549e+05  4.42895753e-08  3.50818119e-07 
 1.55051578e+05  4.30121163e-08  3.40699348e-07 
 1.73019574e+05  4.18341914e-08  3.31368985e-07 
 1.93069773e+05  4.07496744e-08  3.22778507e-07 
 2.15443469e+05  3.97526540e-08  3.14881087e-07 
 2.40409918e+05  3.88374336e-08  3.07631603e-07 
 2.68269580e+05  3.79985343e-08  3.00986656e-07 
 2.99357729e+05  3.72306978e-08  2.94904594e-07 
 3.34048498e+05  3.65288905e-08  2.89345546e-07 
 3.72759372e+05  3.58883071e-08  2.84271447e-07 
 4.15956216e+05  3.53043742e-08  2.79646068e-07 
 4.64158883e+05  3.47727520e-08  2.75435035e-07 
 5.17947468e+05  3.42893364e-08  2.71605834e-07 
 5.77969288e+05  3.38502581e-08  2.68127817e-07 
 6.44946677e+05  3.34518817e-08  2.64972180e-07 
 7.19685673e+05  3.30908017e-08  2.62111947e-07 
 8.03085722e+05  3.27638387e-08  2.59521929e-07 
 8.96150502e+05  3.24680331e-08  2.57178674e-07 
 1.00000000e+06  3.22006377e-08  2.55060415e-07 
 1.11588399e+06  3.19591101e-08  2.53147002e-07 
 1.24519708e+06  3.17411030e-08  2.51419832e-07 
 1.38949549e+06  3.15444552e-08  2.49861767e-07 
 1.55051578e+06  3.13671809e-08  2.48457060e-07 
 1.73019574e+06  3.12074599e-08  2.47191268e-07 
 1.93069773e+06  3.10636268e-08  2.46051170e-07 
 2.15443469e+06  3.09341610e-08  2.45024682e-07 
 2.40409918e+06  3.08176761e-08  2.44100777e-07 
 2.68269580e+06  3.07129103e-08  2.43269402e-07 
 2.99357729e+06  3.06187169e-08  2.42521398e-07 
 3.34048498e+06  3.05340548e-08  2.41848432e-07 
 3.72759372e+06  3.04579801e-08  2.41242913e-07 
 4.15956216e+06  3.03896382e-08  2.40697931e-07 
 4.64158883e+06  3.03282555e-08  2.40207185e-07 
 5.17947468e+06  3.02731326e-08  2.39764916e-07 
 5.77969288e+06  3.02236375e-08  2.39365850e-07 
 6.44946677e+06  3.01791995e-08  2.39005129e-07 
 7.19685673e+06  3.01393034e-08  2.38678253e-07 
 8.03085722e+06  3.01034838e-08  2.38381016e-07 
 8.96150502e+06  3.00713208e-08  2.38109444e-07 
 1.00000000e+07  3.00424350e-08  2.37859725e-07 
 1.11588399e+07  3.00164835e-08  2.37628142e-07 
 1.24519708e+07  2.99931558e-08  2.37410987e-07 
 1.38949549e+07  2.99721703e-08  2.37204482e-07 
 1.55051578e+07  2.99532708e-08  2.37004673e-07 
 1.73019574e+07  2.99362232e-08  2.36807313e-07 
 1.93069773e+07  2.99208123e-08  2.36607732e-07 
 2.15443469e+07  2.99068390e-08  2.36400674e-07 
 2.40409918e+07  2.98941169e-08  2.36180102e-07 
 2.68269580e+07  2.98824693e-08  2.35938976e-07 
 2.99357729e+07  2.98717261e-08  2.35668978e-07 
 3.34048498e+07  2.98617202e-08  2.35360188e-07 
 3.72759372e+07  2.98522835e-08  2.35000698e-07 
 4.15956216e+07  2.98432430e-08  2.34576162e-07 
 4.64158883e+07  2.98344155e-08  2.34069270e-07 
 5.17947468e+07  2.98256021e-08  2.33459154e-07 
 5.77969288e+07  2.98165812e-08  2.32720721e-07 
 6.44946677e+07  2.98071009e-08  2.31823947e-07 
 7.19685673e+07  2.97968687e-08  2.30733165e-07 
 8.03085722e+07  2.97855399e-08  2.29406409e-07 
 8.96150502e+07  2.97727038e-08  2.27794934e-07 
 1.00000000e+08  2.97578657e-08  2.25843057e-07 
