 frequency       inoise_spectrum onoise_spectrum
 1.00000000e+00  7.23698514e-06  4.79408023e-05 
 1.11588399e+00  6.85090845e-06  4.53832696e-05 
 1.24519708e+00  6.48542809e-06  4.29621756e-05 
 1.38949549e+00  6.13944529e-06  4.06702414e-05 
 1.55051578e+00  5.81191989e-06  3.85005769e-05 
 1.73019574e+00  5.50186725e-06  3.64466591e-05 
 1.93069773e+00  5.20835521e-06  3.45023132e-05 
 2.15443469e+00  4.93050139e-06  3.26616938e-05 
 2.40409918e+00  4.66747045e-06  3.09192674e-05 
 2.68269580e+00  4.41847163e-06  2.92697955e-05 
 2.99357729e+00  4.18275634e-06  2.77083193e-05 
 3.34048498e+00  3.95961594e-06  2.62301444e-05 
 3.72759372e+00  3.74837959e-06  2.48308269e-05 
 4.15956216e+00  3.54841223e-06  2.35061598e-05 
 4.64158883e+00  3.35911269e-06  2.22521609e-05 
 5.17947468e+00  3.17991187e-06  2.10650600e-05 
 5.77969288e+00  3.01027101e-06  1.99412884e-05 
 6.44946677e+00  2.84968013e-06  1.88774675e-05 
 7.19685673e+00  2.69765643e-06  1.78703992e-05 
 8.03085722e+00  2.55374286e-06  1.69170558e-05 
 8.96150502e+00  2.41750677e-06  1.60145713e-05 
 1.00000000e+01  2.28853859e-06  1.51602323e-05 
 1.11588399e+01  2.16645059e-06  1.43514706e-05 
 1.24519708e+01  2.05087573e-06  1.35858546e-05 
 1.38949549e+01  1.94146654e-06  1.28610826e-05 
 1.55051578e+01  1.83789411e-06  1.21749757e-05 
 1.73019574e+01  1.73984706e-06  1.15254713e-05 
 1.93069773e+01  1.64703063e-06  1.09106165e-05 
 2.15443469e+01  1.55916577e-06  1.03285631e-05 
 2.40409918e+01  1.47598832e-06  9.77756111e-06 
 2.68269580e+01  1.39724824e-06  9.25595402e-06 
 2.99357729e+01  1.32270879e-06  8.76217369e-06 
 3.34048498e+01  1.25214589e-06  8.29473565e-06 
 3.72759372e+01  1.18534739e-06  7.85223460e-06 
 4.15956216e+01  1.12211248e-06  7.43334022e-06 
 4.64158883e+01  1.06225105e-06  7.03679318e-06 
 5.17947468e+01  1.00558313e-06  6.66140129e-06 
 5.77969288e+01  9.51938363e-07  6.30603601e-06 
 6.44946677e+01  9.01155466e-07  5.96962896e-06 
 7.19685673e+01  8.53081771e-07  5.65116879e-06 
 8.03085722e+01  8.07572751e-07  5.34969809e-06 
 8.96150502e+01  7.64491588e-07  5.06431054e-06 
 1.00000000e+02  7.23708765e-07  4.79414814e-06 
 1.11588399e+02  6.85101674e-07  4.53839870e-06 
 1.24519708e+02  6.48554248e-07  4.29629333e-06 
