 v-sweep         ID              Gds            
 0.00000000e+00 -2.99646494e-11  6.01865726e-06 
 6.00000000e-03  3.45234663e-08  5.50138410e-06 
 1.20000000e-02  6.60213297e-08  5.00119754e-06 
 1.80000000e-02  9.45793332e-08  4.52173274e-06 
 2.40000000e-02  1.20326740e-07  4.06457176e-06 
 3.00000000e-02  1.43401561e-07  3.63109056e-06 
 3.60000000e-02  1.63949706e-07  3.22254367e-06 
 4.20000000e-02  1.82124156e-07  2.84002441e-06 
 4.80000000e-02  1.98083811e-07  2.48440128e-06 
 5.40000000e-02  2.11991948e-07  2.15625541e-06 
 6.00000000e-02  2.24014348e-07  1.85583395e-06 
 6.60000000e-02  2.34317214e-07  1.58303026e-06 
 7.20000000e-02  2.43065072e-07  1.33739697e-06 
 7.80000000e-02  2.50418849e-07  1.11819193e-06 
 8.40000000e-02  2.56534310e-07  9.24449472e-07 
 9.00000000e-02  2.61560955e-07  7.55060488e-07 
 9.60000000e-02  2.65641367e-07  6.08835578e-07 
 1.02000000e-01  2.68910811e-07  4.84521761e-07 
 1.08000000e-01  2.71496734e-07  3.80753753e-07 
 1.14000000e-01  2.73781257e-07  2.95953548e-07 
 1.20000000e-01  2.75293534e-07  2.28235997e-07 
 1.26000000e-01  2.76451781e-07  1.75397075e-07 
 1.32000000e-01  2.77338799e-07  1.35023997e-07 
 1.38000000e-01  2.78022206e-07  1.04692251e-07 
 1.44000000e-01  2.78554928e-07  8.21667294e-08 
 1.50000000e-01  2.78976959e-07  6.55374173e-08 
 1.56000000e-01  2.79317766e-07  5.32687778e-08 
 1.62000000e-01  2.79598718e-07  4.41816114e-08 
 1.68000000e-01  2.79835199e-07  3.73990841e-08 
 1.74000000e-01  2.80038273e-07  3.22828059e-08 
 1.80000000e-01  2.80215916e-07  2.83737418e-08 
 1.86000000e-01  2.80373920e-07  2.53437944e-08 
 1.92000000e-01  2.80516519e-07  2.29587529e-08 
 1.98000000e-01  2.80646841e-07  2.10510724e-08 
 2.04000000e-01  2.80767220e-07  1.95003550e-08 
 2.10000000e-01  2.80879415e-07  1.82195414e-08 
 2.16000000e-01  2.80984773e-07  1.71452097e-08 
 2.22000000e-01  2.81084331e-07  1.62307735e-08 
 2.28000000e-01  2.81178902e-07  1.54417074e-08 
 2.34000000e-01  2.81269129e-07  1.47521848e-08 
 2.40000000e-01  2.81355529e-07  1.41426996e-08 
 2.46000000e-01  2.81438521e-07  1.35983736e-08 
 2.52000000e-01  2.81518449e-07  1.31077446e-08 
 2.58000000e-01  2.81595599e-07  1.26618926e-08 
 2.64000000e-01  2.81670213e-07  1.22538052e-08 
 2.70000000e-01  2.81742494e-07  1.18779137e-08 
 2.76000000e-01  2.81812619e-07  1.15297513e-08 
 2.82000000e-01  2.81880740e-07  1.12056989e-08 
 2.88000000e-01  2.81946991e-07  1.09027956e-08 
 2.94000000e-01  2.82011489e-07  1.06185957e-08 
 3.00000000e-01  2.82074339e-07  1.03510596e-08 
 3.06000000e-01  2.82135635e-07  1.00984719e-08 
 3.12000000e-01  2.82195461e-07  9.85937617e-09 
 3.18000000e-01  2.82253893e-07  9.63252642e-09 
 3.24000000e-01  2.82311002e-07  9.41684773e-09 
 3.30000000e-01  2.82366851e-07  9.21140602e-09 
 3.36000000e-01  2.82421498e-07  9.01538384e-09 
 3.42000000e-01  2.82474998e-07  8.82806114e-09 
 3.48000000e-01  2.82527400e-07  8.64879981e-09 
 3.54000000e-01  2.82578751e-07  8.47703126e-09 
 3.60000000e-01  2.82629094e-07  8.31224622e-09 
 3.66000000e-01  2.82678470e-07  8.15398646e-09 
 3.72000000e-01  2.82726916e-07  8.00183793e-09 
 3.78000000e-01  2.82774468e-07  7.85542502e-09 
 3.84000000e-01  2.82821158e-07  7.71440573e-09 
 3.90000000e-01  2.82867019e-07  7.57846762e-09 
 3.96000000e-01  2.82912080e-07  7.44732438e-09 
 4.02000000e-01  2.82956368e-07  7.32081998e-09 
 4.08000000e-01  2.82999911e-07  7.19882159e-09 
 4.14000000e-01  2.83042736e-07  7.08089209e-09 
 4.20000000e-01  2.83084865e-07  6.96681933e-09 
 4.26000000e-01  2.83126322e-07  6.85640549e-09 
 4.32000000e-01  2.83167127e-07  6.74946495e-09 
 4.38000000e-01  2.83207302e-07  6.64582282e-09 
 4.44000000e-01  2.83246864e-07  6.54531385e-09 
 4.50000000e-01  2.83285833e-07  6.44778189e-09 
 4.56000000e-01  2.83324226e-07  6.35308036e-09 
 4.62000000e-01  2.83362059e-07  6.26107390e-09 
 4.68000000e-01  2.83399348e-07  6.17164105e-09 
 4.74000000e-01  2.83436108e-07  6.08467668e-09 
 4.80000000e-01  2.83472354e-07  6.00009176e-09 
 4.86000000e-01  2.83508100e-07  5.91780927e-09 
 4.92000000e-01  2.83543359e-07  5.83775744e-09 
 4.98000000e-01  2.83578144e-07  5.75986383e-09 
 5.04000000e-01  2.83612468e-07  5.68405292e-09 
 5.10000000e-01  2.83646344e-07  5.61024677e-09 
 5.16000000e-01  2.83679783e-07  5.53836722e-09 
 5.22000000e-01  2.83712797e-07  5.46833782e-09 
 5.28000000e-01  2.83745396e-07  5.40008521e-09 
 5.34000000e-01  2.83777591e-07  5.33353967e-09 
 5.40000000e-01  2.83809392e-07  5.26863532e-09 
 5.46000000e-01  2.83840808e-07  5.20530995e-09 
 5.52000000e-01  2.83871849e-07  5.14350480e-09 
 5.58000000e-01  2.83902524e-07  5.08316434e-09 
 5.64000000e-01  2.83932841e-07  5.02423598e-09 
 5.70000000e-01  2.83962809e-07  4.96666984e-09 
 5.76000000e-01  2.83992436e-07  4.91041852e-09 
 5.82000000e-01  2.84021729e-07  4.85543697e-09 
 5.88000000e-01  2.84050696e-07  4.80168225e-09 
 5.94000000e-01  2.84079344e-07  4.74911346e-09 
 6.00000000e-01  2.84107680e-07  4.69769152e-09 
 6.06000000e-01  2.84135712e-07  4.64737914e-09 
 6.12000000e-01  2.84163445e-07  4.59814066e-09 
 6.18000000e-01  2.84190885e-07  4.54994196e-09 
