 v-sweep         ID              Gds            
 0.00000000e+00 -4.51627187e-13  5.96297494e-06 
 6.00000000e-03  3.41634331e-08  5.42676918e-06 
 1.20000000e-02  6.51572881e-08  4.90828099e-06 
 1.80000000e-02  9.31105975e-08  4.41362814e-06 
 2.40000000e-02  1.18171895e-07  3.94449566e-06 
 3.00000000e-02  1.40497885e-07  3.50202540e-06 
 3.60000000e-02  1.60251340e-07  3.08712019e-06 
 4.20000000e-02  1.77599977e-07  2.70053694e-06 
 4.80000000e-02  1.92715759e-07  2.34293966e-06 
 5.40000000e-02  2.05774414e-07  2.01491963e-06 
 6.00000000e-02  2.16954952e-07  1.71697271e-06 
 6.60000000e-02  2.26438908e-07  1.44942760e-06 
 7.20000000e-02  2.34409009e-07  1.21233170e-06 
 7.80000000e-02  2.41047085e-07  1.00531598e-06 
 8.40000000e-02  2.46531188e-07  8.27472831e-07 
 9.00000000e-02  2.51032110e-07  6.77284687e-07 
 9.60000000e-02  2.54709710e-07  5.52632503e-07 
 1.02000000e-01  2.57709549e-07  4.50893456e-07 
 1.08000000e-01  2.60414910e-07  3.69112842e-07 
 1.14000000e-01  2.62375033e-07  3.04215172e-07 
 1.20000000e-01  2.63997954e-07  2.53211339e-07 
 1.26000000e-01  2.65357977e-07  2.13364844e-07 
 1.32000000e-01  2.66513678e-07  1.82296503e-07 
 1.38000000e-01  2.67510395e-07  1.58025922e-07 
 1.44000000e-01  2.68382772e-07  1.38962169e-07 
 1.50000000e-01  2.69157091e-07  1.23862110e-07 
 1.56000000e-01  2.69853243e-07  1.11773992e-07 
 1.62000000e-01  2.70486315e-07  1.01979121e-07 
 1.68000000e-01  2.71067808e-07  9.39391447e-08 
 1.74000000e-01  2.71606557e-07  8.72521157e-08 
 1.80000000e-01  2.72109415e-07  8.16177407e-08 
 1.86000000e-01  2.72581754e-07  7.68108587e-08 
 1.92000000e-01  2.73027831e-07  7.26616460e-08 
 1.98000000e-01  2.73451060e-07  6.90410508e-08 
 2.04000000e-01  2.73854208e-07  6.58501565e-08 
 2.10000000e-01  2.74239542e-07  6.30124362e-08 
 2.16000000e-01  2.74608943e-07  6.04681088e-08 
 2.22000000e-01  2.74963985e-07  5.81700139e-08 
 2.28000000e-01  2.75305998e-07  5.60805818e-08 
 2.34000000e-01  2.75636117e-07  5.41695933e-08 
 2.40000000e-01  2.75955319e-07  5.24125133e-08 
 2.46000000e-01  2.76264451e-07  5.07892401e-08 
 2.52000000e-01  2.76564254e-07  4.92831601e-08 
 2.58000000e-01  2.76855380e-07  4.78804283e-08 
 2.64000000e-01  2.77138406e-07  4.65694139e-08 
 2.70000000e-01  2.77413846e-07  4.53402731e-08 
 2.76000000e-01  2.77682161e-07  4.41846142e-08 
 2.82000000e-01  2.77943767e-07  4.30952346e-08 
 2.88000000e-01  2.78199039e-07  4.20659132e-08 
 2.94000000e-01  2.78448318e-07  4.10912435e-08 
 3.00000000e-01  2.78691915e-07  4.01665007e-08 
 3.06000000e-01  2.78930116e-07  3.92875332e-08 
 3.12000000e-01  2.79163183e-07  3.84506750e-08 
 3.18000000e-01  2.79391356e-07  3.76526735e-08 
 3.24000000e-01  2.79614859e-07  3.68906300e-08 
 3.30000000e-01  2.79833900e-07  3.61619502e-08 
 3.36000000e-01  2.80048669e-07  3.54643038e-08 
 3.42000000e-01  2.80259347e-07  3.47955894e-08 
 3.48000000e-01  2.80466100e-07  3.41539055e-08 
 3.54000000e-01  2.80669086e-07  3.35375264e-08 
 3.60000000e-01  2.80868450e-07  3.29448806e-08 
 3.66000000e-01  2.81064329e-07  3.23745334e-08 
 3.72000000e-01  2.81256855e-07  3.18251713e-08 
 3.78000000e-01  2.81446148e-07  3.12955888e-08 
 3.84000000e-01  2.81632323e-07  3.07846767e-08 
 3.90000000e-01  2.81815489e-07  3.02914124e-08 
 3.96000000e-01  2.81995749e-07  2.98148508e-08 
 4.02000000e-01  2.82173200e-07  2.93541277e-08 
 4.08000000e-01  2.82347935e-07  2.89084421e-08 
 4.14000000e-01  2.82520042e-07  2.84770191e-08 
 4.20000000e-01  2.82689602e-07  2.80591564e-08 
 4.26000000e-01  2.82856697e-07  2.76541990e-08 
 4.32000000e-01  2.83021401e-07  2.72615351e-08 
 4.38000000e-01  2.83183786e-07  2.68805925e-08 
 4.44000000e-01  2.83343921e-07  2.65108352e-08 
 4.50000000e-01  2.83501872e-07  2.61517603e-08 
 4.56000000e-01  2.83657700e-07  2.58028958e-08 
 4.62000000e-01  2.83811466e-07  2.54637982e-08 
 4.68000000e-01  2.83963226e-07  2.51340507e-08 
 4.74000000e-01  2.84113037e-07  2.48132615e-08 
 4.80000000e-01  2.84260950e-07  2.45010621e-08 
 4.86000000e-01  2.84407015e-07  2.41971053e-08 
 4.92000000e-01  2.84551282e-07  2.39010631e-08 
 4.98000000e-01  2.84693796e-07  2.36126248e-08 
 5.04000000e-01  2.84834603e-07  2.33314956e-08 
 5.10000000e-01  2.84973745e-07  2.30573956e-08 
 5.16000000e-01  2.85111264e-07  2.27900589e-08 
 5.22000000e-01  2.85247199e-07  2.25292328e-08 
 5.28000000e-01  2.85381589e-07  2.22746775e-08 
 5.34000000e-01  2.85514470e-07  2.20261649e-08 
 5.40000000e-01  2.85645878e-07  2.17834780e-08 
 5.46000000e-01  2.85775848e-07  2.15464105e-08 
 5.52000000e-01  2.85904413e-07  2.13147658e-08 
 5.58000000e-01  2.86031604e-07  2.10883566e-08 
 5.64000000e-01  2.86157452e-07  2.08670042e-08 
 5.70000000e-01  2.86281988e-07  2.06505384e-08 
 5.76000000e-01  2.86405239e-07  2.04387963e-08 
 5.82000000e-01  2.86527234e-07  2.02316227e-08 
 5.88000000e-01  2.86648000e-07  2.00288688e-08 
 5.94000000e-01  2.86767563e-07  1.98303927e-08 
 6.00000000e-01  2.86885948e-07  1.96360583e-08 
 6.06000000e-01  2.87003179e-07  1.94457354e-08 
 6.12000000e-01  2.87119281e-07  1.92592995e-08 
 6.18000000e-01  2.87234275e-07  1.90766308e-08 
 6.24000000e-01  2.87348185e-07  1.88976149e-08 
 6.30000000e-01  2.87461032e-07  1.87221417e-08 
 6.36000000e-01  2.87572837e-07  1.85501058e-08 
 6.42000000e-01  2.87683620e-07  1.83814058e-08 
 6.48000000e-01  2.87793400e-07  1.82159444e-08 
 6.54000000e-01  2.87902198e-07  1.80536281e-08 
 6.60000000e-01  2.88010031e-07  1.78943668e-08 
 6.66000000e-01  2.88116918e-07  1.77380741e-08 
 6.72000000e-01  2.88222876e-07  1.75846668e-08 
 6.78000000e-01  2.88327923e-07  1.74340647e-08 
 6.84000000e-01  2.88432074e-07  1.72861907e-08 
 6.90000000e-01  2.88535346e-07  1.71409705e-08 
 6.96000000e-01  2.88637755e-07  1.69983324e-08 
 7.02000000e-01  2.88739316e-07  1.68582073e-08 
 7.08000000e-01  2.88840043e-07  1.67205288e-08 
 7.14000000e-01  2.88939952e-07  1.65852326e-08 
 7.20000000e-01  2.89039057e-07  1.64522566e-08 
 7.26000000e-01  2.89137370e-07  1.63215411e-08 
 7.32000000e-01  2.89234906e-07  1.61930283e-08 
 7.38000000e-01  2.89331678e-07  1.60666623e-08 
 7.44000000e-01  2.89427697e-07  1.59423893e-08 
 7.50000000e-01  2.89522978e-07  1.58201571e-08 
 7.56000000e-01  2.89617531e-07  1.56999154e-08 
 7.62000000e-01  2.89711369e-07  1.55816153e-08 
 7.68000000e-01  2.89804503e-07  1.54652099e-08 
 7.74000000e-01  2.89896944e-07  1.53506533e-08 
 7.80000000e-01  2.89988703e-07  1.52379016e-08 
 7.86000000e-01  2.90079792e-07  1.51269118e-08 
 7.92000000e-01  2.90170219e-07  1.50176428e-08 
 7.98000000e-01  2.90259996e-07  1.49100542e-08 
 8.04000000e-01  2.90349133e-07  1.48041073e-08 
 8.10000000e-01  2.90437639e-07  1.46997645e-08 
 8.16000000e-01  2.90525524e-07  1.45969891e-08 
 8.22000000e-01  2.90612797e-07  1.44957459e-08 
 8.28000000e-01  2.90699467e-07  1.43960004e-08 
 8.34000000e-01  2.90785543e-07  1.42977193e-08 
 8.40000000e-01  2.90871034e-07  1.42008704e-08 
 8.46000000e-01  2.90955947e-07  1.41054222e-08 
 8.52000000e-01  2.91040293e-07  1.40113443e-08 
 8.58000000e-01  2.91124078e-07  1.39186071e-08 
 8.64000000e-01  2.91207311e-07  1.38271818e-08 
 8.70000000e-01  2.91289999e-07  1.37370407e-08 
 8.76000000e-01  2.91372150e-07  1.36481565e-08 
 8.82000000e-01  2.91453772e-07  1.35605029e-08 
 8.88000000e-01  2.91534871e-07  1.34740543e-08 
 8.94000000e-01  2.91615456e-07  1.33887857e-08 
 9.00000000e-01  2.91695532e-07  1.33046731e-08 
 9.06000000e-01  2.91775107e-07  1.32216927e-08 
 9.12000000e-01  2.91854188e-07  1.31398217e-08 
 9.18000000e-01  2.91932781e-07  1.30590378e-08 
 9.24000000e-01  2.92010892e-07  1.29793193e-08 
 9.30000000e-01  2.92088528e-07  1.29006450e-08 
 9.36000000e-01  2.92165696e-07  1.28229944e-08 
 9.42000000e-01  2.92242400e-07  1.27463475e-08 
 9.48000000e-01  2.92318648e-07  1.26706847e-08 
 9.54000000e-01  2.92394444e-07  1.25959871e-08 
 9.60000000e-01  2.92469796e-07  1.25222361e-08 
 9.66000000e-01  2.92544707e-07  1.24494137e-08 
 9.72000000e-01  2.92619185e-07  1.23775024e-08 
 9.78000000e-01  2.92693234e-07  1.23064849e-08 
 9.84000000e-01  2.92766859e-07  1.22363446e-08 
 9.90000000e-01  2.92840067e-07  1.21670653e-08 
 9.96000000e-01  2.92912861e-07  1.20986309e-08 
 1.00200000e+00  2.92985247e-07  1.20310261e-08 
 1.00800000e+00  2.93057230e-07  1.19642357e-08 
 1.01400000e+00  2.93128814e-07  1.18982449e-08 
