 v-sweep         ID              Gm             
-5.00000000e-01  1.20901227e-09 -6.02041067e-09 
-4.90000000e-01  1.14880816e-09 -5.77484496e-09 
-4.80000000e-01  1.09229406e-09 -5.53702953e-09 
-4.70000000e-01  1.03811924e-09 -5.30680452e-09 
-4.60000000e-01  9.86208576e-10 -5.08401099e-09 
-4.50000000e-01  9.36488561e-10 -4.86849099e-09 
-4.40000000e-01  8.88887247e-10 -4.66008752e-09 
-4.30000000e-01  8.43334254e-10 -4.45864466e-09 
-4.20000000e-01  7.99760758e-10 -4.26400757e-09 
-4.10000000e-01  7.58099475e-10 -4.07602251e-09 
-4.00000000e-01  7.18284654e-10 -3.89453692e-09 
-3.90000000e-01  6.80252066e-10 -3.71939945e-09 
-3.80000000e-01  6.43938986e-10 -3.55045999e-09 
-3.70000000e-01  6.09284186e-10 -3.38756969e-09 
-3.60000000e-01  5.76227920e-10 -3.23058106e-09 
-3.50000000e-01  5.44711910e-10 -3.07934793e-09 
-3.40000000e-01  5.14679332e-10 -2.93372554e-09 
-3.30000000e-01  4.86074804e-10 -2.79357058e-09 
-3.20000000e-01  4.58844370e-10 -2.65874116e-09 
-3.10000000e-01  4.32935485e-10 -2.52909692e-09 
-3.00000000e-01  4.08297000e-10 -2.40449901e-09 
-2.90000000e-01  3.84879147e-10 -2.28481012e-09 
-2.80000000e-01  3.62633524e-10 -2.16989454e-09 
-2.70000000e-01  3.41513078e-10 -2.05961810e-09 
-2.60000000e-01  3.21472090e-10 -1.95384825e-09 
-2.50000000e-01  3.02466157e-10 -1.85245402e-09 
-2.40000000e-01  2.84452181e-10 -1.75530600e-09 
-2.30000000e-01  2.67388346e-10 -1.66227631e-09 
-2.20000000e-01  2.51234110e-10 -1.57323853e-09 
-2.10000000e-01  2.35950188e-10 -1.48806762e-09 
-2.00000000e-01  2.21498537e-10 -1.40663971e-09 
-1.90000000e-01  2.07842347e-10 -1.32883198e-09 
-1.80000000e-01  1.94946032e-10 -1.25452223e-09 
-1.70000000e-01  1.82775223e-10 -1.18358857e-09 
-1.60000000e-01  1.71296768e-10 -1.11590872e-09 
-1.50000000e-01  1.60478740e-10 -1.05135922e-09 
-1.40000000e-01  1.50290452e-10 -9.89814234e-10 
-1.30000000e-01  1.40702485e-10 -9.31143998e-10 
-1.20000000e-01  1.31686736e-10 -8.75212568e-10 
-1.10000000e-01  1.23216491e-10 -8.21874801e-10 
-1.00000000e-01  1.15266530e-10 -7.70972172e-10 
-9.00000000e-02  1.07813280e-10 -7.22327024e-10 
-8.00000000e-02  1.00835036e-10 -6.75734664e-10 
-7.00000000e-02  9.43122680e-11 -6.30952480e-10 
-6.00000000e-02  8.82280489e-11 -5.87684987e-10 
-5.00000000e-02  8.25686581e-11 -5.45563237e-10 
-4.00000000e-02  7.73244113e-11 -5.04116494e-10 
-3.00000000e-02  7.24908128e-11 -4.62733242e-10 
-2.00000000e-02  6.80701484e-11 -4.20607494e-10 
-1.00000000e-02  6.40736835e-11 -3.76664861e-10 
 3.08780779e-16  6.05246979e-11 -3.29460690e-10 
 1.00000000e-02  5.74626701e-11 -2.77039719e-10 
 2.00000000e-02  5.49490476e-11 -2.16742639e-10 
 3.00000000e-02  5.30752034e-11 -1.44939429e-10 
 4.00000000e-02  5.19734046e-11 -5.66616523e-11 
 5.00000000e-02  5.18319373e-11  5.49046239e-11 
 6.00000000e-02  5.29159611e-11  1.99118237e-10 
 7.00000000e-02  5.55962680e-11  3.88847647e-10 
 8.00000000e-02  6.15920543e-11  6.41801571e-10 
 9.00000000e-02  6.96275174e-11  9.82364077e-10 
 1.00000000e-01  8.16419361e-11  1.44412458e-09 
 1.10000000e-01  9.90663523e-11  2.07336408e-09 
 1.20000000e-01  1.23877411e-10  2.93385496e-09 
 1.30000000e-01  1.58803529e-10  4.11346106e-09 
 1.40000000e-01  2.07608727e-10  5.73319631e-09 
 1.50000000e-01  2.75482904e-10  7.95962451e-09 
 1.60000000e-01  3.69577551e-10  1.10217679e-08 
 1.70000000e-01  4.99739236e-10  1.52340381e-08 
