 frequency       inoise_spectrum onoise_spectrum
 1.00000000e+00  2.31684054e-05  2.42572122e-04 
 1.11588399e+00  2.19324341e-05  2.29631560e-04 
 1.24519708e+00  2.07623997e-05  2.17381354e-04 
 1.38949549e+00  1.96547845e-05  2.05784676e-04 
 1.55051578e+00  1.86062589e-05  1.94806661e-04 
 1.73019574e+00  1.76136704e-05  1.84414306e-04 
 1.93069773e+00  1.66740350e-05  1.74576367e-04 
 2.15443469e+00  1.57845278e-05  1.65263269e-04 
 2.40409918e+00  1.49424747e-05  1.56447012e-04 
 2.68269580e+00  1.41453441e-05  1.48101091e-04 
 2.99357729e+00  1.33907395e-05  1.40200417e-04 
 3.34048498e+00  1.26763924e-05  1.32721236e-04 
 3.72759372e+00  1.20001551e-05  1.25641063e-04 
 4.15956216e+00  1.13599947e-05  1.18938614e-04 
 4.64158883e+00  1.07539865e-05  1.12593736e-04 
 5.17947468e+00  1.01803088e-05  1.06587357e-04 
 5.77969288e+00  9.63723672e-06  1.00901418e-04 
 6.44946677e+00  9.12313772e-06  9.55188257e-05 
 7.19685673e+00  8.63646619e-06  9.04233975e-05 
 8.03085722e+00  8.17575903e-06  8.55998150e-05 
 8.96150502e+00  7.73963117e-06  8.10335767e-05 
 1.00000000e+01  7.32677146e-06  7.67109549e-05 
 1.11588399e+01  6.93593869e-06  7.26189540e-05 
 1.24519708e+01  6.56595788e-06  6.87452722e-05 
 1.38949549e+01  6.21571673e-06  6.50782638e-05 
 1.55051578e+01  5.88416229e-06  6.16069042e-05 
 1.73019574e+01  5.57029778e-06  5.83207575e-05 
 1.93069773e+01  5.27317961e-06  5.52099441e-05 
 2.15443469e+01  4.99191454e-06  5.22651120e-05 
 2.40409918e+01  4.72565698e-06  4.94774078e-05 
 2.68269580e+01  4.47360647e-06  4.68384507e-05 
 2.99357729e+01  4.23500524e-06  4.43403070e-05 
 3.34048498e+01  4.00913598e-06  4.19754664e-05 
 3.72759372e+01  3.79531965e-06  3.97368194e-05 
 4.15956216e+01  3.59291342e-06  3.76176357e-05 
 4.64158883e+01  3.40130880e-06  3.56115442e-05 
 5.17947468e+01  3.21992975e-06  3.37125141e-05 
 5.77969288e+01  3.04823098e-06  3.19148360e-05 
 6.44946677e+01  2.88569630e-06  3.02131055e-05 
 7.19685673e+01  2.73183707e-06  2.86022065e-05 
 8.03085722e+01  2.58619074e-06  2.70772962e-05 
 8.96150502e+01  2.44831943e-06  2.56337900e-05 
 1.00000000e+02  2.31780865e-06  2.42673483e-05 
 1.11588399e+02  2.19426605e-06  2.29738631e-05 
 1.24519708e+02  2.07732021e-06  2.17494455e-05 
 1.38949549e+02  1.96661954e-06  2.05904147e-05 
 1.55051578e+02  1.86183123e-06  1.94932860e-05 
 1.73019574e+02  1.76264026e-06  1.84547612e-05 
 1.93069773e+02  1.66874842e-06  1.74717180e-05 
 2.15443469e+02  1.57987342e-06  1.65412009e-05 
 2.40409918e+02  1.49574809e-06  1.56604126e-05 
 2.68269580e+02  1.41611950e-06  1.48267050e-05 
 2.99357729e+02  1.34074826e-06  1.40375716e-05 
 3.34048498e+02  1.26940777e-06  1.32906401e-05 
 3.72759372e+02  1.20188356e-06  1.25836647e-05 
 4.15956216e+02  1.13797260e-06  1.19145200e-05 
 4.64158883e+02  1.07748277e-06  1.12811942e-05 
 5.17947468e+02  1.02023219e-06  1.06817834e-05 
 5.77969288e+02  9.66048741e-07  1.01144852e-05 
 6.44946677e+02  9.14769519e-07  9.57759413e-06 
 7.19685673e+02  8.66240346e-07  9.06949595e-06 
 8.03085722e+02  8.20315312e-07  8.58866299e-06 
 8.96150502e+02  7.76856332e-07  8.13364950e-06 
 1.00000000e+03  7.35732733e-07  7.70308734e-06 
 1.11588399e+03  6.96820859e-07  7.29568184e-06 
 1.24519708e+03  6.60003700e-07  6.91020790e-06 
 1.38949549e+03  6.25170536e-07  6.54550630e-06 
 1.55051578e+03  5.92216610e-07  6.20048023e-06 
 1.73019574e+03  5.61042804e-07  5.87409194e-06 
 1.93069773e+03  5.31555346e-07  5.56535964e-06 
 2.15443469e+03  5.03665526e-07  5.27335452e-06 
 2.40409918e+03  4.77289423e-07  4.99719796e-06 
