 v-sweep         ID              Gm             
-5.00000000e-01  1.20901012e-09 -6.02034334e-09 
-4.90000000e-01  1.14880669e-09 -5.77476994e-09 
-4.80000000e-01  1.09229338e-09 -5.53694384e-09 
-4.70000000e-01  1.03811946e-09 -5.30670448e-09 
-4.60000000e-01  9.86209868e-10 -5.08389195e-09 
-4.50000000e-01  9.36491133e-10 -4.86834704e-09 
-4.40000000e-01  8.88891378e-10 -4.65991121e-09 
-4.30000000e-01  8.43340303e-10 -4.45842647e-09 
-4.20000000e-01  7.99769189e-10 -4.26373534e-09 
-4.10000000e-01  7.58110887e-10 -4.07568070e-09 
-4.00000000e-01  7.18299818e-10 -3.89410562e-09 
-3.90000000e-01  6.80271972e-10 -3.71885310e-09 
-3.80000000e-01  6.43964907e-10 -3.54976577e-09 
-3.70000000e-01  6.09317757e-10 -3.38668544e-09 
-3.60000000e-01  5.76271244e-10 -3.22945251e-09 
-3.50000000e-01  5.44767690e-10 -3.07790525e-09 
-3.40000000e-01  5.14751043e-10 -2.93187877e-09 
-3.30000000e-01  4.86166919e-10 -2.79120372e-09 
-3.20000000e-01  4.58962645e-10 -2.65570463e-09 
-3.10000000e-01  4.33087332e-10 -2.52519767e-09 
-3.00000000e-01  4.08491971e-10 -2.39948774e-09 
-2.90000000e-01  3.85129556e-10 -2.27836477e-09 
-2.80000000e-01  3.62955253e-10 -2.16159879e-09 
-2.70000000e-01  3.41926624e-10 -2.04893355e-09 
-2.60000000e-01  3.22003916e-10 -1.94007827e-09 
-2.50000000e-01  3.03150453e-10 -1.83469682e-09 
-2.40000000e-01  2.85333132e-10 -1.73239371e-09 
-2.30000000e-01  2.68523092e-10 -1.63269577e-09 
-2.20000000e-01  2.52696574e-10 -1.53502835e-09 
-2.10000000e-01  2.37836048e-10 -1.43868437e-09 
-2.00000000e-01  2.23931690e-10 -1.34278385e-09 
-1.90000000e-01  2.10983302e-10 -1.24622130e-09 
-1.80000000e-01  1.99002818e-10 -1.14759714e-09 
-1.70000000e-01  1.88017573e-10 -1.04512825e-09 
-1.60000000e-01  1.78074566e-10 -9.36531298e-10 
-1.50000000e-01  1.69246021e-10 -8.18870628e-10 
-1.40000000e-01  1.61636635e-10 -6.88359730e-10 
-1.30000000e-01  1.55393036e-10 -5.40102157e-10 
-1.20000000e-01  1.50716121e-10 -3.67753308e-10 
-1.10000000e-01  1.47877153e-10 -1.63078792e-10 
-1.00000000e-01  1.48436178e-10  8.46223926e-11 
-9.00000000e-02  1.50751368e-10  3.89271444e-10 
-8.00000000e-02  1.56471249e-10  7.68994507e-10 
-7.00000000e-02  1.66459442e-10  1.24740983e-09 
-6.00000000e-02  1.81850031e-10  1.85531063e-09 
-5.00000000e-02  2.04129819e-10  2.63286577e-09 
-4.00000000e-02  2.35245840e-10  3.63249848e-09 
-3.00000000e-02  2.77745886e-10  4.92265265e-09 
-2.00000000e-02  3.34962258e-10  6.59272186e-09 
-1.00000000e-02  4.11252075e-10  8.75950135e-09 
 3.08780779e-16  5.12311633e-10  1.15756358e-08 
 1.00000000e-02  6.45587733e-10  1.52406822e-08 
 2.00000000e-02  8.20816002e-10  2.00156024e-08 
 3.00000000e-02  1.05072561e-09  2.62417496e-08 
 4.00000000e-02  1.35196199e-09  3.43657524e-08 
 5.00000000e-02  1.74629535e-09  4.49721320e-08 
 6.00000000e-02  2.26220374e-09  5.88260669e-08 
 7.00000000e-02  2.93694742e-09  7.69294751e-08 
 8.00000000e-02  3.81928741e-09  1.00594577e-07 
 9.00000000e-02  4.97304932e-09  1.31540413e-07 
 1.00000000e-01  6.48179610e-09  1.72019497e-07 
 1.10000000e-01  8.45495646e-09  2.24984075e-07 
 1.20000000e-01  1.10358641e-08  2.94304405e-07 
 1.30000000e-01  1.44123060e-08  3.85055409e-07 
 1.40000000e-01  1.88303663e-08  5.03893205e-07 
 1.50000000e-01  2.46125992e-08  6.59549787e-07 
 1.60000000e-01  3.21818899e-08  8.63483015e-07 
 1.70000000e-01  4.20927898e-08  1.13073071e-06 
 1.80000000e-01  5.50726715e-08  1.48103267e-06 
 1.90000000e-01  7.20757809e-08  1.94030383e-06 
 2.00000000e-01  9.43542132e-08  2.54256594e-06 
 2.10000000e-01  1.23551052e-07  3.33247407e-06 
 2.20000000e-01  1.61822438e-07  4.36860650e-06 
 2.30000000e-01  2.11997167e-07  5.72771540e-06 
 2.40000000e-01  2.77784468e-07  7.51014707e-06 
 2.50000000e-01  3.64042597e-07  9.84660380e-06 
 2.60000000e-01  4.77121972e-07  1.29062774e-05 
 2.70000000e-01  6.25295441e-07  1.69060459e-05 
 2.80000000e-01  8.19282192e-07  2.21197703e-05 
 2.90000000e-01  1.07285724e-06  2.88856638e-05 
 3.00000000e-01  1.40351130e-06  3.76083133e-05 
 3.10000000e-01  1.83308503e-06  4.87506806e-05 
 3.20000000e-01  2.38825284e-06  6.28113477e-05 
 3.30000000e-01  3.10069407e-06  8.02847336e-05 
 3.40000000e-01  4.00679194e-06  1.01607582e-04 
 3.50000000e-01  5.14676951e-06  1.27102148e-04 
 3.60000000e-01  6.56330373e-06  1.56931271e-04 
 3.70000000e-01  8.29980917e-06  1.91078986e-04 
 3.80000000e-01  1.03986829e-05  2.29362148e-04 
 3.90000000e-01  1.28998028e-05  2.71467879e-04 
 4.00000000e-01  1.58394791e-05  3.17004290e-04 
 4.10000000e-01  1.92499208e-05  3.65550799e-04 
 4.20000000e-01  2.31591607e-05  4.16698303e-04 
 4.30000000e-01  2.75913125e-05  4.70075219e-04 
 4.40000000e-01  3.25670190e-05  5.25360083e-04 
 4.50000000e-01  3.81039719e-05  5.82283903e-04 
 4.60000000e-01  4.42174203e-05  6.40626065e-04 
 4.70000000e-01  5.09206190e-05  7.00207037e-04 
 4.80000000e-01  5.82251987e-05  7.60880134e-04 
 4.90000000e-01  6.61414547e-05  8.22523741e-04 
 5.00000000e-01  7.46785630e-05  8.85034626e-04 
 5.10000000e-01  8.38447364e-05  9.48322586e-04 
 5.20000000e-01  9.36473334e-05  1.01230635e-03 
 5.30000000e-01  1.04092931e-04  1.07691060e-03 
 5.40000000e-01  1.15187375e-04  1.14206388e-03 
 5.50000000e-01  1.26935809e-04  1.20769716e-03 
 5.60000000e-01  1.39342694e-04  1.27374303e-03 
 5.70000000e-01  1.52411823e-04  1.34013514e-03 
 5.80000000e-01  1.66146332e-04  1.40680798e-03 
 5.90000000e-01  1.80548703e-04  1.47369680e-03 
 6.00000000e-01  1.95620775e-04  1.54073771e-03 
 6.10000000e-01  2.11363754e-04  1.60786774e-03 
 6.20000000e-01  2.27778221e-04  1.67502504e-03 
 6.30000000e-01  2.44864144e-04  1.74214905e-03 
 6.40000000e-01  2.62620893e-04  1.80918064e-03 
 6.50000000e-01  2.81047256e-04  1.87606231e-03 
 6.60000000e-01  3.00141454e-04  1.94273833e-03 
 6.70000000e-01  3.19901158e-04  2.00915484e-03 
 6.80000000e-01  3.39992706e-04  2.07526000e-03 
 6.90000000e-01  3.61076113e-04  2.14100401e-03 
 7.00000000e-01  3.82815194e-04  2.20633927e-03 
 7.10000000e-01  4.05205623e-04  2.27122035e-03 
 7.20000000e-01  4.28242629e-04  2.33560405e-03 
 7.30000000e-01  4.51921019e-04  2.39944941e-03 
 7.40000000e-01  4.76235205e-04  2.46271772e-03 
 7.50000000e-01  5.01179220e-04  2.52537251e-03 
 7.60000000e-01  5.26746745e-04  2.58737951e-03 
 7.70000000e-01  5.52931129e-04  2.64870664e-03 
 7.80000000e-01  5.79725410e-04  2.70932395e-03 
 7.90000000e-01  6.07122340e-04  2.76920360e-03 
 8.00000000e-01  6.35114400e-04  2.82831979e-03 
 8.10000000e-01  6.63693825e-04  2.88664871e-03 
 8.20000000e-01  6.92852622e-04  2.94416847e-03 
 8.30000000e-01  7.22582589e-04  3.00085908e-03 
 8.40000000e-01  7.52875331e-04  3.05670233e-03 
 8.50000000e-01  7.83722284e-04  3.11168174e-03 
 8.60000000e-01  8.15114725e-04  3.16578253e-03 
 8.70000000e-01  8.47043792e-04  3.21899150e-03 
 8.80000000e-01  8.79500500e-04  3.27129701e-03 
 8.90000000e-01  9.12475755e-04  3.32268887e-03 
 9.00000000e-01  9.45960368e-04  3.37315832e-03 
 9.10000000e-01  9.79945071e-04  3.42269791e-03 
 9.20000000e-01  1.01442053e-03  3.47130150e-03 
 9.30000000e-01  1.04937734e-03  3.51896414e-03 
 9.40000000e-01  1.08480608e-03  3.56568204e-03 
 9.50000000e-01  1.12069728e-03  3.61145249e-03 
 9.60000000e-01  1.15704145e-03  3.65627383e-03 
 9.70000000e-01  1.19382908e-03  3.70014538e-03 
 9.80000000e-01  1.23105069e-03  3.74306737e-03 
 9.90000000e-01  1.26869676e-03  3.78504089e-03 
 1.00000000e+00  1.30675783e-03  3.82606789e-03 
 1.01000000e+00  1.34522443e-03  3.86615104e-03 
 1.02000000e+00  1.38408714e-03  3.90529378e-03 
 1.03000000e+00  1.42333657e-03  3.94350018e-03 
 1.04000000e+00  1.46296339e-03  3.98077499e-03 
 1.05000000e+00  1.50295828e-03  4.01712352e-03 
 1.06000000e+00  1.54331203e-03  4.05255166e-03 
 1.07000000e+00  1.58401545e-03  4.08706577e-03 
 1.08000000e+00  1.62505944e-03  4.12067275e-03 
 1.09000000e+00  1.66643496e-03  4.15337989e-03 
 1.10000000e+00  1.70813304e-03  4.18519492e-03 
 1.11000000e+00  1.75014480e-03  4.21612593e-03 
 1.12000000e+00  1.79246145e-03  4.24618138e-03 
 1.13000000e+00  1.83507427e-03  4.27537003e-03 
 1.14000000e+00  1.87797463e-03  4.30370094e-03 
 1.15000000e+00  1.92115400e-03  4.33118345e-03 
 1.16000000e+00  1.96460395e-03  4.35782711e-03 
 1.17000000e+00  2.00831614e-03  4.38364173e-03 
 1.18000000e+00  2.05228232e-03  4.40863728e-03 
 1.19000000e+00  2.09649434e-03  4.43282394e-03 
 1.20000000e+00  2.14094419e-03  4.45621201e-03 
 1.21000000e+00  2.18562391e-03  4.47881197e-03 
 1.22000000e+00  2.23052568e-03  4.50063438e-03 
 1.23000000e+00  2.27564178e-03  4.52168992e-03 
 1.24000000e+00  2.32096459e-03  4.54198938e-03 
 1.25000000e+00  2.36648661e-03  4.56154358e-03 
 1.26000000e+00  2.41220043e-03  4.58036344e-03 
 1.27000000e+00  2.45809877e-03  4.59845990e-03 
 1.28000000e+00  2.50417445e-03  4.61584393e-03 
 1.29000000e+00  2.55042040e-03  4.63252655e-03 
 1.30000000e+00  2.59682966e-03  4.64851877e-03 
 1.31000000e+00  2.64339538e-03  4.66383159e-03 
 1.32000000e+00  2.69011082e-03  4.67847604e-03 
 1.33000000e+00  2.73696935e-03  4.69246309e-03 
 1.34000000e+00  2.78396446e-03  4.70580371e-03 
 1.35000000e+00  2.83108974e-03  4.71850882e-03 
 1.36000000e+00  2.87833888e-03  4.73058931e-03 
 1.37000000e+00  2.92570569e-03  4.74205601e-03 
 1.38000000e+00  2.97318409e-03  4.75291971e-03 
 1.39000000e+00  3.02076810e-03  4.76319112e-03 
 1.40000000e+00  3.06845186e-03  4.77288090e-03 
 1.41000000e+00  3.11622960e-03  4.78199962e-03 
 1.42000000e+00  3.16409566e-03  4.79055780e-03 
 1.43000000e+00  3.21204449e-03  4.79856586e-03 
 1.44000000e+00  3.26007064e-03  4.80603413e-03 
 1.45000000e+00  3.30816877e-03  4.81297287e-03 
 1.46000000e+00  3.35633363e-03  4.81939222e-03 
 1.47000000e+00  3.40456008e-03  4.82530226e-03 
 1.48000000e+00  3.45284307e-03  4.83071294e-03 
