 v-sweep         ID              Gds            
 0.00000000e+00 -4.75413563e-12  1.49391508e-05 
 6.00000000e-03  8.48300366e-08  1.33553372e-05 
 1.20000000e-02  1.60457691e-07  1.18707022e-05 
 1.80000000e-02  2.27483338e-07  1.04884772e-05 
 2.40000000e-02  2.86529124e-07  9.21107165e-06 
 3.00000000e-02  3.38228709e-07  8.03988219e-06 
 3.60000000e-02  3.83220653e-07  6.97511980e-06 
 4.20000000e-02  4.22140875e-07  6.01567470e-06 
 4.80000000e-02  4.55614457e-07  5.15903599e-06 
 5.40000000e-02  4.84247162e-07  4.40127935e-06 
 6.00000000e-02  5.08617100e-07  3.73712707e-06 
 6.60000000e-02  5.29266958e-07  3.16007522e-06 
 7.20000000e-02  5.46697164e-07  2.66257639e-06 
 7.80000000e-02  5.61360291e-07  2.23626780e-06 
 8.40000000e-02  5.73656975e-07  1.87225185e-06 
 9.00000000e-02  5.83933768e-07  1.56147644e-06 
 9.60000000e-02  5.92483859e-07  1.29532990e-06 
 1.02000000e-01  5.99552394e-07  1.06660855e-06 
 1.08000000e-01  6.05952046e-07  8.70830619e-07 
 1.14000000e-01  6.10573774e-07  7.07130175e-07 
 1.20000000e-01  6.14309108e-07  5.77111023e-07 
 1.26000000e-01  6.17364460e-07  4.81260391e-07 
 1.32000000e-01  6.19947867e-07  4.15990203e-07 
 1.38000000e-01  6.22234265e-07  3.74330943e-07 
 1.44000000e-01  6.24345419e-07  3.48788617e-07 
 1.50000000e-01  6.26355147e-07  3.33359619e-07 
 1.56000000e-01  6.28305147e-07  3.23967837e-07 
 1.62000000e-01  6.30218509e-07  3.18085981e-07 
 1.68000000e-01  6.32108071e-07  3.14217994e-07 
 1.74000000e-01  6.33981028e-07  3.11496465e-07 
 1.80000000e-01  6.35841419e-07  3.09421927e-07 
 1.86000000e-01  6.37691490e-07  3.07706870e-07 
 1.92000000e-01  6.39532456e-07  3.06185538e-07 
 1.98000000e-01  6.41364937e-07  3.04762372e-07 
 2.04000000e-01  6.43189209e-07  3.03382570e-07 
 2.10000000e-01  6.45005353e-07  3.02015141e-07 
 2.16000000e-01  6.46813340e-07  3.00643109e-07 
 2.22000000e-01  6.48613088e-07  2.99257770e-07 
 2.28000000e-01  6.50404487e-07  2.97855296e-07 
 2.34000000e-01  6.52187420e-07  2.96434707e-07 
 2.40000000e-01  6.53961775e-07  2.94996657e-07 
 2.46000000e-01  6.55727450e-07  2.93542697e-07 
 2.52000000e-01  6.57484351e-07  2.92074832e-07 
 2.58000000e-01  6.59232403e-07  2.90595257e-07 
 2.64000000e-01  6.60971541e-07  2.89106192e-07 
 2.70000000e-01  6.62701715e-07  2.87609796e-07 
 2.76000000e-01  6.64422888e-07  2.86108110e-07 
 2.82000000e-01  6.66135034e-07  2.84603036e-07 
 2.88000000e-01  6.67838138e-07  2.83096322e-07 
 2.94000000e-01  6.69532196e-07  2.81589565e-07 
 3.00000000e-01  6.71217213e-07  2.80084213e-07 
 3.06000000e-01  6.72893201e-07  2.78581572e-07 
 3.12000000e-01  6.74560181e-07  2.77082819e-07 
 3.18000000e-01  6.76218180e-07  2.75589005e-07 
 3.24000000e-01  6.77867230e-07  2.74101073e-07 
 3.30000000e-01  6.79507369e-07  2.72619861e-07 
 3.36000000e-01  6.81138641e-07  2.71146114e-07 
 3.42000000e-01  6.82761093e-07  2.69680492e-07 
