 v-sweep         ID              Gds            
 0.00000000e+00 -2.48705618e-13  1.64929845e-05 
 6.00000000e-03  9.40845075e-08  1.48833517e-05 
 1.20000000e-02  1.78780662e-07  1.33640475e-05 
 1.80000000e-02  2.54640377e-07  1.19383699e-05 
 2.40000000e-02  3.22233621e-07  1.06089220e-05 
 3.00000000e-02  3.82143383e-07  9.37740902e-06 
 3.60000000e-02  4.34959748e-07  8.24446602e-06 
 4.20000000e-02  4.81273122e-07  7.20955656e-06 
 4.80000000e-02  5.21667134e-07  6.27096432e-06 
 5.40000000e-02  5.56711781e-07  5.42588523e-06 
 6.00000000e-02  5.86957408e-07  4.67060947e-06 
 6.60000000e-02  6.12929989e-07  4.00076807e-06 
 7.20000000e-02  6.35127990e-07  3.41160527e-06 
 7.80000000e-02  6.54020821e-07  2.89822860e-06 
 8.40000000e-02  6.70048588e-07  2.45578278e-06 
 9.00000000e-02  6.83622538e-07  2.07949914e-06 
 9.60000000e-02  6.95125355e-07  1.76459667e-06 
 1.02000000e-01  7.04910466e-07  1.50606121e-06 
 1.08000000e-01  7.13946833e-07  1.29839656e-06 
 1.14000000e-01  7.21090254e-07  1.13548745e-06 
 1.20000000e-01  7.27393697e-07  1.01069201e-06 
 1.26000000e-01  7.33066117e-07  9.17177359e-07 
 1.32000000e-01  7.38274684e-07  8.48386317e-07 
 1.38000000e-01  7.43147811e-07  7.98465114e-07 
 1.44000000e-01  7.47780720e-07  7.62525086e-07 
 1.50000000e-01  7.52242117e-07  7.36707810e-07 
 1.56000000e-01  7.56580659e-07  7.18100488e-07 
 1.62000000e-01  7.60830431e-07  7.04574741e-07 
 1.68000000e-01  7.65015189e-07  6.94609279e-07 
 1.74000000e-01  7.69151471e-07  6.87131198e-07 
 1.80000000e-01  7.73250793e-07  6.81388935e-07 
 1.86000000e-01  7.77321180e-07  6.76857112e-07 
 1.92000000e-01  7.81368226e-07  6.73168100e-07 
 1.98000000e-01  7.85395819e-07  6.70063946e-07 
 2.04000000e-01  7.89406649e-07  6.67363032e-07 
 2.10000000e-01  7.93402559e-07  6.64937059e-07 
 2.16000000e-01  7.97384792e-07  6.62695162e-07 
 2.22000000e-01  8.01354163e-07  6.60572909e-07 
 2.28000000e-01  8.05311187e-07  6.58524647e-07 
 2.34000000e-01  8.09256162e-07  6.56518131e-07 
 2.40000000e-01  8.13189237e-07  6.54530747e-07 
 2.46000000e-01  8.17110454e-07  6.52546818e-07 
 2.52000000e-01  8.21019784e-07  6.50555683e-07 
 2.58000000e-01  8.24917151e-07  6.48550312e-07 
 2.64000000e-01  8.28802445e-07  6.46526307e-07 
 2.70000000e-01  8.32675541e-07  6.44481169e-07 
 2.76000000e-01  8.36536303e-07  6.42413766e-07 
 2.82000000e-01  8.40384595e-07  6.40323943e-07 
 2.88000000e-01  8.44220280e-07  6.38212233e-07 
 2.94000000e-01  8.48043229e-07  6.36079644e-07 
 3.00000000e-01  8.51853320e-07  6.33927504e-07 
 3.06000000e-01  8.55650438e-07  6.31757349e-07 
 3.12000000e-01  8.59434480e-07  6.29570829e-07 
 3.18000000e-01  8.63205353e-07  6.27369654e-07 
 3.24000000e-01  8.66962974e-07  6.25155548e-07 
 3.30000000e-01  8.70707271e-07  6.22930214e-07 
 3.36000000e-01  8.74438182e-07  6.20695316e-07 
 3.42000000e-01  8.78155653e-07  6.18452456e-07 
 3.48000000e-01  8.81859643e-07  6.16203171e-07 
 3.54000000e-01  8.85550117e-07  6.13948924e-07 
 3.60000000e-01  8.89227050e-07  6.11691097e-07 
 3.66000000e-01  8.92890425e-07  6.09430996e-07 
 3.72000000e-01  8.96540231e-07  6.07169846e-07 
 3.78000000e-01  9.00176467e-07  6.04908796e-07 
 3.84000000e-01  9.03799136e-07  6.02648919e-07 
 3.90000000e-01  9.07408249e-07  6.00391214e-07 
 3.96000000e-01  9.11003822e-07  5.98136614e-07 
 4.02000000e-01  9.14585876e-07  5.95885981e-07 
 4.08000000e-01  9.18154438e-07  5.93640118e-07 
 4.14000000e-01  9.21709539e-07  5.91399767e-07 
 4.20000000e-01  9.25251213e-07  5.89165613e-07 
 4.26000000e-01  9.28779501e-07  5.86938291e-07 
 4.32000000e-01  9.32294445e-07  5.84718383e-07 
 4.38000000e-01  9.35796092e-07  5.82506426e-07 
 4.44000000e-01  9.39284491e-07  5.80302914e-07 
 4.50000000e-01  9.42759693e-07  5.78108299e-07 
 4.56000000e-01  9.46221755e-07  5.75922995e-07 
 4.62000000e-01  9.49670732e-07  5.73747382e-07 
 4.68000000e-01  9.53106685e-07  5.71581803e-07 
 4.74000000e-01  9.56529674e-07  5.69426574e-07 
 4.80000000e-01  9.59939762e-07  5.67281980e-07 
 4.86000000e-01  9.63337015e-07  5.65148277e-07 
 4.92000000e-01  9.66721498e-07  5.63025700e-07 
 4.98000000e-01  9.70093279e-07  5.60914458e-07 
 5.04000000e-01  9.73452426e-07  5.58814736e-07 
 5.10000000e-01  9.76799009e-07  5.56726704e-07 
 5.16000000e-01  9.80133100e-07  5.54650507e-07 
 5.22000000e-01  9.83454768e-07  5.52586276e-07 
 5.28000000e-01  9.86764087e-07  5.50534125e-07 
 5.34000000e-01  9.90061129e-07  5.48494152e-07 
 5.40000000e-01  9.93345968e-07  5.46466441e-07 
 5.46000000e-01  9.96618678e-07  5.44451061e-07 
 5.52000000e-01  9.99879332e-07  5.42448072e-07 
 5.58000000e-01  1.00312801e-06  5.40457520e-07 
 5.64000000e-01  1.00636477e-06  5.38479441e-07 
 5.70000000e-01  1.00958971e-06  5.36513861e-07 
 5.76000000e-01  1.01280289e-06  5.34560797e-07 
 5.82000000e-01  1.01600439e-06  5.32620256e-07 
 5.88000000e-01  1.01919428e-06  5.30692240e-07 
 5.94000000e-01  1.02237264e-06  5.28776742e-07 
 6.00000000e-01  1.02553955e-06  5.26873746e-07 
 6.06000000e-01  1.02869508e-06  5.24983234e-07 
 6.12000000e-01  1.03183930e-06  5.23105178e-07 
 6.18000000e-01  1.03497229e-06  5.21239548e-07 
 6.24000000e-01  1.03809413e-06  5.19386306e-07 
 6.30000000e-01  1.04120488e-06  5.17545411e-07 
 6.36000000e-01  1.04430462e-06  5.15716819e-07 
 6.42000000e-01  1.04739343e-06  5.13900479e-07 
 6.48000000e-01  1.05047138e-06  5.12096338e-07 
 6.54000000e-01  1.05353854e-06  5.10304340e-07 
 6.60000000e-01  1.05659498e-06  5.08524425e-07 
 6.66000000e-01  1.05964078e-06  5.06756531e-07 
 6.72000000e-01  1.06267601e-06  5.05000593e-07 
 6.78000000e-01  1.06570074e-06  5.03256543e-07 
 6.84000000e-01  1.06871504e-06  5.01524313e-07 
 6.90000000e-01  1.07171899e-06  4.99803831e-07 
 6.96000000e-01  1.07471264e-06  4.98095023e-07 
 7.02000000e-01  1.07769608e-06  4.96397816e-07 
 7.08000000e-01  1.08066937e-06  4.94712132e-07 
 7.14000000e-01  1.08363258e-06  4.93037895e-07 
 7.20000000e-01  1.08658578e-06  4.91375025e-07 
 7.26000000e-01  1.08952903e-06  4.89723443e-07 
 7.32000000e-01  1.09246241e-06  4.88083069e-07 
 7.38000000e-01  1.09538599e-06  4.86453822e-07 
 7.44000000e-01  1.09829982e-06  4.84835618e-07 
 7.50000000e-01  1.10120397e-06  4.83228377e-07 
 7.56000000e-01  1.10409851e-06  4.81632013e-07 
 7.62000000e-01  1.10698351e-06  4.80046446e-07 
 7.68000000e-01  1.10985903e-06  4.78471589e-07 
 7.74000000e-01  1.11272513e-06  4.76907360e-07 
 7.80000000e-01  1.11558187e-06  4.75353675e-07 
 7.86000000e-01  1.11842933e-06  4.73810448e-07 
 7.92000000e-01  1.12126756e-06  4.72277596e-07 
 7.98000000e-01  1.12409662e-06  4.70755035e-07 
 8.04000000e-01  1.12691658e-06  4.69242679e-07 
 8.10000000e-01  1.12972749e-06  4.67740446e-07 
 8.16000000e-01  1.13252942e-06  4.66248251e-07 
 8.22000000e-01  1.13532243e-06  4.64766011e-07 
 8.28000000e-01  1.13810657e-06  4.63293642e-07 
 8.34000000e-01  1.14088191e-06  4.61831060e-07 
 8.40000000e-01  1.14364851e-06  4.60378183e-07 
 8.46000000e-01  1.14640641e-06  4.58934929e-07 
 8.52000000e-01  1.14915569e-06  4.57501216e-07 
 8.58000000e-01  1.15189639e-06  4.56076961e-07 
 8.64000000e-01  1.15462857e-06  4.54662083e-07 
 8.70000000e-01  1.15735230e-06  4.53256502e-07 
 8.76000000e-01  1.16006761e-06  4.51860138e-07 
 8.82000000e-01  1.16277458e-06  4.50472910e-07 
 8.88000000e-01  1.16547325e-06  4.49094739e-07 
 8.94000000e-01  1.16816368e-06  4.47725548e-07 
 9.00000000e-01  1.17084592e-06  4.46365257e-07 
 9.06000000e-01  1.17352003e-06  4.45013789e-07 
 9.12000000e-01  1.17618605e-06  4.43671067e-07 
 9.18000000e-01  1.17884405e-06  4.42337014e-07 
 9.24000000e-01  1.18149406e-06  4.41011556e-07 
 9.30000000e-01  1.18413615e-06  4.39694617e-07 
 9.36000000e-01  1.18677036e-06  4.38386123e-07 
 9.42000000e-01  1.18939675e-06  4.37086000e-07 
 9.48000000e-01  1.19201536e-06  4.35794174e-07 
 9.54000000e-01  1.19462625e-06  4.34510574e-07 
 9.60000000e-01  1.19722946e-06  4.33235127e-07 
 9.66000000e-01  1.19982504e-06  4.31967763e-07 
 9.72000000e-01  1.20241304e-06  4.30708412e-07 
 9.78000000e-01  1.20499351e-06  4.29457003e-07 
 9.84000000e-01  1.20756649e-06  4.28213468e-07 
 9.90000000e-01  1.21013204e-06  4.26977739e-07 
 9.96000000e-01  1.21269019e-06  4.25749748e-07 
 1.00200000e+00  1.21524100e-06  4.24529428e-07 
 1.00800000e+00  1.21778451e-06  4.23316714e-07 
 1.01400000e+00  1.22032077e-06  4.22111541e-07 
 1.02000000e+00  1.22284982e-06  4.20913843e-07 
 1.02600000e+00  1.22537171e-06  4.19723557e-07 
 1.03200000e+00  1.22788647e-06  4.18540621e-07 
 1.03800000e+00  1.23039417e-06  4.17364972e-07 
 1.04400000e+00  1.23289483e-06  4.16196548e-07 
 1.05000000e+00  1.23538850e-06  4.15035289e-07 
 1.05600000e+00  1.23787522e-06  4.13881135e-07 
 1.06200000e+00  1.24035504e-06  4.12734027e-07 
 1.06800000e+00  1.24282800e-06  4.11593907e-07 
 1.07400000e+00  1.24529414e-06  4.10460716e-07 
 1.08000000e+00  1.24775350e-06  4.09334399e-07 
 1.08600000e+00  1.25020613e-06  4.08214900e-07 
 1.09200000e+00  1.25265205e-06  4.07102162e-07 
 1.09800000e+00  1.25509132e-06  4.05996133e-07 
 1.10400000e+00  1.25752398e-06  4.04896757e-07 
 1.11000000e+00  1.25995006e-06  4.03803984e-07 
 1.11600000e+00  1.26236960e-06  4.02717760e-07 
 1.12200000e+00  1.26478265e-06  4.01638035e-07 
 1.12800000e+00  1.26718923e-06  4.00564758e-07 
 1.13400000e+00  1.26958940e-06  3.99497879e-07 
 1.14000000e+00  1.27198318e-06  3.98437352e-07 
 1.14600000e+00  1.27437062e-06  3.97383126e-07 
 1.15200000e+00  1.27675175e-06  3.96335156e-07 
 1.15800000e+00  1.27912662e-06  3.95293396e-07 
 1.16400000e+00  1.28149525e-06  3.94257799e-07 
 1.17000000e+00  1.28385769e-06  3.93228323e-07 
 1.17600000e+00  1.28621396e-06  3.92204922e-07 
 1.18200000e+00  1.28856412e-06  3.91187555e-07 
 1.18800000e+00  1.29090819e-06  3.90176180e-07 
 1.19400000e+00  1.29324621e-06  3.89170755e-07 
 1.20000000e+00  1.29557822e-06  3.88171241e-07 
