 v-sweep         ID              Gm             
-5.00000000e-01  4.70920615e-11 -2.81570880e-10 
-4.90000000e-01  4.42763527e-11 -2.65842393e-10 
-4.80000000e-01  4.16972275e-11 -2.50885919e-10 
-4.70000000e-01  3.92637811e-11 -2.36670776e-10 
-4.60000000e-01  3.69687543e-11 -2.23167105e-10 
-4.50000000e-01  3.48051823e-11 -2.10345844e-10 
-4.40000000e-01  3.27663869e-11 -1.98178707e-10 
-4.30000000e-01  3.08459690e-11 -1.86638152e-10 
-4.20000000e-01  2.90378012e-11 -1.75697346e-10 
-4.10000000e-01  2.73360205e-11 -1.65330116e-10 
-4.00000000e-01  2.57350228e-11 -1.55510888e-10 
-3.90000000e-01  2.42294562e-11 -1.46214610e-10 
-3.80000000e-01  2.28142169e-11 -1.37416649e-10 
-3.70000000e-01  2.14844453e-11 -1.29092653e-10 
-3.60000000e-01  2.02355237e-11 -1.21218370e-10 
-3.50000000e-01  1.90630760e-11 -1.13769404e-10 
-3.40000000e-01  1.79629710e-11 -1.06720891e-10 
-3.30000000e-01  1.69313278e-11 -1.00047048e-10 
-3.20000000e-01  1.59645277e-11 -9.37205800e-11 
-3.10000000e-01  1.50592318e-11 -8.77118625e-11 
-3.00000000e-01  1.42124084e-11 -8.19878334e-11 
-2.90000000e-01  1.34213725e-11 -7.65104843e-11 
-2.80000000e-01  1.26838425e-11 -7.12348028e-11 
-2.70000000e-01  1.19980198e-11 -6.61059646e-11 
-2.60000000e-01  1.13627006e-11 -6.10554986e-11 
-2.50000000e-01  1.07774302e-11 -5.59960462e-11 
-2.40000000e-01  1.02427169e-11 -5.08141950e-11 
-2.30000000e-01  9.76032641e-12 -4.53606758e-11 
-2.20000000e-01  9.33368688e-12 -3.94369446e-11 
-2.10000000e-01  8.96844535e-12 -3.27768135e-11 
-2.00000000e-01  8.67323109e-12 -2.50212891e-11 
-1.90000000e-01  8.46070297e-12 -1.56841004e-11 
-1.80000000e-01  8.34898549e-12 -4.10445280e-12 
-1.70000000e-01  8.36363791e-12  1.06177439e-11 
-1.60000000e-01  8.54035401e-12  2.97106985e-11 
-1.50000000e-01  8.92866409e-12  5.48525788e-11 
-1.40000000e-01  9.59701166e-12  8.83386845e-11 
-1.30000000e-01  1.06397167e-11  1.33310878e-10 
-1.20000000e-01  1.21865278e-11  1.94072536e-10 
-1.10000000e-01  1.44157293e-11  2.76520998e-10 
-1.00000000e-01  1.75721288e-11  3.88741474e-10 
-9.00000000e-02  2.19917489e-11  5.41822872e-10 
-8.00000000e-02  2.81357273e-11  7.50978650e-10 
-7.00000000e-02  3.79927259e-11  1.03708702e-09 
-6.00000000e-02  5.02196919e-11  1.42880765e-09 
-5.00000000e-02  6.70504751e-11  1.96549093e-09 
-4.00000000e-02  9.01906361e-11  2.70117671e-09 
-3.00000000e-02  1.21981724e-10  3.71009039e-09 
-2.00000000e-02  1.65638899e-10  5.09419593e-09 
-1.00000000e-02  2.25577465e-10  6.99357306e-09 
 3.08780779e-16  3.07861524e-10  9.60066837e-09 
 1.00000000e-02  4.20820288e-10  1.31798529e-08 
 2.00000000e-02  5.75894366e-10  1.80942348e-08 
 3.00000000e-02  7.88797089e-10  2.48423631e-08 
 4.00000000e-02  1.08110665e-09  3.41083642e-08 
 5.00000000e-02  1.48244581e-09  4.68302188e-08 
 6.00000000e-02  2.03346012e-09  6.42923429e-08 
 7.00000000e-02  2.78987548e-09  8.82503630e-08 
 8.00000000e-02  3.82800444e-09  1.21097842e-07 
 9.00000000e-02  5.25217637e-09  1.66086346e-07 
 1.00000000e-01  7.20468532e-09  2.27610857e-07 
 1.10000000e-01  9.87896237e-09  3.11570515e-07 
 1.20000000e-01  1.35367479e-08  4.25807244e-07 
 1.30000000e-01  1.85299886e-08  5.80607380e-07 
 1.40000000e-01  2.53278828e-08  7.89217601e-07 
 1.50000000e-01  3.45487471e-08  1.06826963e-06 
 1.60000000e-01  4.69949331e-08  1.43792652e-06 
 1.70000000e-01  6.36866866e-08  1.92147154e-06 
 1.80000000e-01  8.58877245e-08  2.54400881e-06 
 1.90000000e-01  1.15112254e-07  3.33002869e-06 
 2.00000000e-01  1.53102115e-07  4.29992552e-06 
 2.10000000e-01  2.01766457e-07  5.46615995e-06 
 2.20000000e-01  2.63086586e-07  6.83038711e-06 
 2.30000000e-01  3.39003133e-07  8.38299546e-06 
 2.40000000e-01  4.31313875e-07  1.01056866e-05 
 2.50000000e-01  5.41609624e-07  1.19762492e-05 
 2.60000000e-01  6.71260841e-07  1.39735661e-05 
 2.70000000e-01  8.21447371e-07  1.60810027e-05 
 2.80000000e-01  9.93210430e-07  1.82874608e-05 
 2.90000000e-01  1.18750510e-06  2.05865765e-05 
 3.00000000e-01  1.40523973e-06  2.29750683e-05 
 3.10000000e-01  1.64729822e-06  2.54510909e-05 
 3.20000000e-01  1.91454799e-06  2.80130315e-05 
 3.30000000e-01  2.20783844e-06  3.06588252e-05 
 3.40000000e-01  2.52799479e-06  3.33856811e-05 
 3.50000000e-01  2.87581057e-06  3.61900674e-05 
 3.60000000e-01  3.25204076e-06  3.90678264e-05 
 3.70000000e-01  3.65739630e-06  4.20143359e-05 
 3.80000000e-01  4.09254025e-06  4.50246696e-05 
 3.90000000e-01  4.55808547e-06  4.80937361e-05 
 4.00000000e-01  5.05459359e-06  5.12163890e-05 
 4.10000000e-01  5.58257481e-06  5.43875104e-05 
 4.20000000e-01  6.14248858e-06  5.76020710e-05 
 4.30000000e-01  6.73474467e-06  6.08551715e-05 
 4.40000000e-01  7.35970465e-06  6.41420704e-05 
 4.50000000e-01  8.01768350e-06  6.74582010e-05 
 4.60000000e-01  8.70895148e-06  7.07991811e-05 
 4.70000000e-01  9.43373595e-06  7.41608173e-05 
 4.80000000e-01  1.01922233e-05  7.75391054e-05 
 4.90000000e-01  1.09845608e-05  8.09302284e-05 
 5.00000000e-01  1.18108585e-05  8.43305526e-05 
 5.10000000e-01  1.26711910e-05  8.77366226e-05 
 5.20000000e-01  1.35655992e-05  9.11451560e-05 
 5.30000000e-01  1.44940919e-05  9.45530374e-05 
 5.40000000e-01  1.54566479e-05  9.79573121e-05 
 5.50000000e-01  1.64532168e-05  1.01355180e-04 
 5.60000000e-01  1.74667686e-05  1.04743990e-04 
 5.70000000e-01  1.85311612e-05  1.08121235e-04 
 5.80000000e-01  1.96292704e-05  1.11484542e-04 
 5.90000000e-01  2.07609449e-05  1.14831674e-04 
 6.00000000e-01  2.19260117e-05  1.18160516e-04 
 6.10000000e-01  2.31242772e-05  1.21469080e-04 
 6.20000000e-01  2.43555285e-05  1.24755490e-04 
 6.30000000e-01  2.56195346e-05  1.28017985e-04 
 6.40000000e-01  2.69160476e-05  1.31254912e-04 
 6.50000000e-01  2.82448033e-05  1.34464719e-04 
 6.60000000e-01  2.96055228e-05  1.37645958e-04 
 6.70000000e-01  3.09979129e-05  1.40797272e-04 
 6.80000000e-01  3.24216677e-05  1.43917400e-04 
 6.90000000e-01  3.38764688e-05  1.47005167e-04 
 7.00000000e-01  3.53619868e-05  1.50059485e-04 
 7.10000000e-01  3.68778815e-05  1.53079346e-04 
 7.20000000e-01  3.84238034e-05  1.56063821e-04 
 7.30000000e-01  3.99993938e-05  1.59012056e-04 
 7.40000000e-01  4.16042861e-05  1.61923270e-04 
 7.50000000e-01  4.32381060e-05  1.64796750e-04 
 7.60000000e-01  4.49004726e-05  1.67631851e-04 
 7.70000000e-01  4.65909989e-05  1.70427990e-04 
 7.80000000e-01  4.83092922e-05  1.73184646e-04 
 7.90000000e-01  5.00549550e-05  1.75901356e-04 
 8.00000000e-01  5.18275856e-05  1.78577712e-04 
 8.10000000e-01  5.36267783e-05  1.81213359e-04 
 8.20000000e-01  5.54521242e-05  1.83807995e-04 
 8.30000000e-01  5.73032116e-05  1.86361362e-04 
 8.40000000e-01  5.91796265e-05  1.88873253e-04 
 8.50000000e-01  6.10809531e-05  1.91343502e-04 
 8.60000000e-01  6.30067741e-05  1.93771983e-04 
 8.70000000e-01  6.49566712e-05  1.96158614e-04 
 8.80000000e-01  6.69302254e-05  1.98503346e-04 
 8.90000000e-01  6.89270174e-05  2.00806168e-04 
 9.00000000e-01  7.09466282e-05  2.03067101e-04 
 9.10000000e-01  7.29886387e-05  2.05286199e-04 
 9.20000000e-01  7.50526310e-05  2.07463545e-04 
 9.30000000e-01  7.71381879e-05  2.09599250e-04 
 9.40000000e-01  7.92448936e-05  2.11693450e-04 
 9.50000000e-01  8.13723336e-05  2.13746308e-04 
 9.60000000e-01  8.35200954e-05  2.15758008e-04 
 9.70000000e-01  8.56877681e-05  2.17728756e-04 
 9.80000000e-01  8.78749435e-05  2.19658780e-04 
 9.90000000e-01  9.00812152e-05  2.21548322e-04 
 1.00000000e+00  9.23061798e-05  2.23397646e-04 
 1.01000000e+00  9.45494362e-05  2.25207028e-04 
 1.02000000e+00  9.68105866e-05  2.26976760e-04 
 1.03000000e+00  9.90892358e-05  2.28707148e-04 
 1.04000000e+00  1.01384992e-04  2.30398509e-04 
 1.05000000e+00  1.03697466e-04  2.32051171e-04 
 1.06000000e+00  1.06026273e-04  2.33665472e-04 
 1.07000000e+00  1.08371031e-04  2.35241758e-04 
 1.08000000e+00  1.10731362e-04  2.36780384e-04 
 1.09000000e+00  1.13106890e-04  2.38281710e-04 
 1.10000000e+00  1.15497245e-04  2.39746104e-04 
 1.11000000e+00  1.17902058e-04  2.41173938e-04 
 1.12000000e+00  1.20320967e-04  2.42565587e-04 
 1.13000000e+00  1.22753611e-04  2.43921431e-04 
 1.14000000e+00  1.25199634e-04  2.45241851e-04 
 1.15000000e+00  1.27658684e-04  2.46527230e-04 
 1.16000000e+00  1.30130412e-04  2.47777953e-04 
 1.17000000e+00  1.32614474e-04  2.48994405e-04 
 1.18000000e+00  1.35110529e-04  2.50176969e-04 
 1.19000000e+00  1.37618240e-04  2.51326031e-04 
 1.20000000e+00  1.40137273e-04  2.52441972e-04 
 1.21000000e+00  1.42667300e-04  2.53525171e-04 
 1.22000000e+00  1.45207995e-04  2.54576008e-04 
 1.23000000e+00  1.47759036e-04  2.55594855e-04 
 1.24000000e+00  1.50320105e-04  2.56582085e-04 
 1.25000000e+00  1.52890888e-04  2.57538065e-04 
 1.26000000e+00  1.55471074e-04  2.58463157e-04 
 1.27000000e+00  1.58060357e-04  2.59357719e-04 
 1.28000000e+00  1.60658432e-04  2.60222105e-04 
 1.29000000e+00  1.63265000e-04  2.61056661e-04 
 1.30000000e+00  1.65879764e-04  2.61861730e-04 
 1.31000000e+00  1.68502431e-04  2.62637646e-04 
 1.32000000e+00  1.71132711e-04  2.63384740e-04 
 1.33000000e+00  1.73770318e-04  2.64103332e-04 
 1.34000000e+00  1.76414968e-04  2.64793739e-04 
 1.35000000e+00  1.79066381e-04  2.65456269e-04 
 1.36000000e+00  1.81724279e-04  2.66091222e-04 
 1.37000000e+00  1.84388389e-04  2.66698891e-04 
 1.38000000e+00  1.87058439e-04  2.67279562e-04 
 1.39000000e+00  1.89734160e-04  2.67833512e-04 
 1.40000000e+00  1.92415287e-04  2.68361009e-04 
 1.41000000e+00  1.95101556e-04  2.68862315e-04 
 1.42000000e+00  1.97792708e-04  2.69337682e-04 
 1.43000000e+00  2.00488483e-04  2.69787352e-04 
 1.44000000e+00  2.03188626e-04  2.70211562e-04 
 1.45000000e+00  2.05892884e-04  2.70610536e-04 
 1.46000000e+00  2.08601005e-04  2.70984493e-04 
 1.47000000e+00  2.11312740e-04  2.71333640e-04 
 1.48000000e+00  2.14027843e-04  2.71658176e-04 
 1.49000000e+00  2.16746067e-04  2.71958292e-04 
 1.50000000e+00  2.19467171e-04  2.72234168e-04 
