 frequency       inoise_spectrum onoise_spectrum
 1.00000000e+00  1.43838865e-06  1.18306996e-05 
 1.11588399e+00  1.36168377e-06  1.11998046e-05 
 1.24519708e+00  1.28907262e-06  1.06025802e-05 
 1.38949549e+00  1.22033689e-06  1.00372310e-05 
 1.55051578e+00  1.15526993e-06  9.50205742e-06 
 1.73019574e+00  1.09367613e-06  8.99545045e-06 
 1.93069773e+00  1.03537032e-06  8.51588706e-06 
 2.15443469e+00  9.80177209e-07  8.06192552e-06 
 2.40409918e+00  9.27930864e-07  7.63220105e-06 
 2.68269580e+00  8.78474216e-07  7.22542173e-06 
 2.99357729e+00  8.31658578e-07  6.84036464e-06 
 3.34048498e+00  7.87343206e-07  6.47587215e-06 
 3.72759372e+00  7.45394870e-07  6.13084845e-06 
 4.15956216e+00  7.05687457e-07  5.80425629e-06 
 4.64158883e+00  6.68101593e-07  5.49511378e-06 
 5.17947468e+00  6.32524280e-07  5.20249154e-06 
 5.77969288e+00  5.98848557e-07  4.92550982e-06 
 6.44946677e+00  5.66973182e-07  4.66333590e-06 
 7.19685673e+00  5.36802325e-07  4.41518159e-06 
 8.03085722e+00  5.08245279e-07  4.18030082e-06 
 8.96150502e+00  4.81216190e-07  3.95798744e-06 
 1.00000000e+01  4.55633795e-07  3.74757308e-06 
 1.11588399e+01  4.31421181e-07  3.54842512e-06 
 1.24519708e+01  4.08505553e-07  3.35994483e-06 
 1.38949549e+01  3.86818015e-07  3.18156554e-06 
 1.55051578e+01  3.66293360e-07  3.01275092e-06 
 1.73019574e+01  3.46869879e-07  2.85299343e-06 
 1.93069773e+01  3.28489171e-07  2.70181270e-06 
 2.15443469e+01  3.11095968e-07  2.55875418e-06 
 2.40409918e+01  2.94637972e-07  2.42338769e-06 
 2.68269580e+01  2.79065691e-07  2.29530620e-06 
 2.99357729e+01  2.64332299e-07  2.17412453e-06 
 3.34048498e+01  2.50393486e-07  2.05947824e-06 
 3.72759372e+01  2.37207328e-07  1.95102253e-06 
 4.15956216e+01  2.24734163e-07  1.84843115e-06 
 4.64158883e+01  2.12936468e-07  1.75139549e-06 
 5.17947468e+01  2.01778745e-07  1.65962358e-06 
