 v-sweep         ID              Gds            
 0.00000000e+00 -2.39968984e-12  1.07248677e-04 
 6.00000000e-03  6.02575220e-07  9.36239272e-05 
 1.20000000e-02  1.12500115e-06  8.07090199e-05 
 1.80000000e-02  1.57361071e-06  6.90502125e-05 
 2.40000000e-02  1.95634013e-06  5.87563546e-05 
 3.00000000e-02  2.28142509e-06  4.98293829e-05 
 3.60000000e-02  2.55690054e-06  4.22049024e-05 
 4.20000000e-02  2.79027596e-06  3.57756691e-05 
 4.80000000e-02  2.98833775e-06  3.04107633e-05 
 5.40000000e-02  3.15705493e-06  2.59708662e-05 
 6.00000000e-02  3.30156425e-06  2.23193661e-05 
 6.60000000e-02  3.42620970e-06  1.93295219e-05 
 7.20000000e-02  3.53461482e-06  1.68883464e-05 
 7.80000000e-02  3.62977060e-06  1.48980489e-05 
 8.40000000e-02  3.71412668e-06  1.32758493e-05 
 9.00000000e-02  3.78967834e-06  1.19528309e-05 
 9.60000000e-02  3.86139533e-06  1.08723240e-05 
 1.02000000e-01  3.92327892e-06  9.98814628e-06 
 1.08000000e-01  3.98046718e-06  9.26289996e-06 
 1.14000000e-01  4.03379751e-06  8.66642702e-06 
 1.20000000e-01  4.08394882e-06  8.17446822e-06 
 1.26000000e-01  4.13147276e-06  7.76753113e-06 
 1.32000000e-01  4.17681885e-06  7.42995386e-06 
 1.38000000e-01  4.22035456e-06  7.14914169e-06 
 1.44000000e-01  4.26238133e-06  6.91495086e-06 
 1.50000000e-01  4.30314736e-06  6.71919452e-06 
 1.56000000e-01  4.34285782e-06  6.55524864e-06 
 1.62000000e-01  4.38168302e-06  6.41773835e-06 
 1.68000000e-01  4.41976487e-06  6.30228886e-06 
 1.74000000e-01  4.45722219e-06  6.20532765e-06 
 1.80000000e-01  4.49415481e-06  6.12392723e-06 
 1.86000000e-01  4.53064704e-06  6.05568026e-06 
 1.92000000e-01  4.56677033e-06  5.99859993e-06 
 1.98000000e-01  4.60258555e-06  5.95104053e-06 
 2.04000000e-01  4.63814471e-06  5.91163389e-06 
 2.10000000e-01  4.67349253e-06  5.87923841e-06 
 2.16000000e-01  4.70866752e-06  5.85289803e-06 
 2.22000000e-01  4.74370307e-06  5.83180918e-06 
 2.28000000e-01  4.77862821e-06  5.81529403e-06 
 2.34000000e-01  4.81346830e-06  5.80277877e-06 
 2.40000000e-01  4.84824555e-06  5.79377594e-06 
 2.46000000e-01  4.88297955e-06  5.78787002e-06 
 2.52000000e-01  4.91768760e-06  5.78470554e-06 
 2.58000000e-01  4.95238505e-06  5.78397747e-06 
 2.64000000e-01  4.98708558e-06  5.78542313e-06 
 2.70000000e-01  5.02180143e-06  5.78881558e-06 
 2.76000000e-01  5.05654358e-06  5.79395817e-06 
 2.82000000e-01  5.09132193e-06  5.80067993e-06 
 2.88000000e-01  5.12614542e-06  5.80883177e-06 
 2.94000000e-01  5.16102219e-06  5.81828328e-06 
 3.00000000e-01  5.19595962e-06  5.82892008e-06 
 3.06000000e-01  5.23096449e-06  5.84064151e-06 
 3.12000000e-01  5.26604298e-06  5.85335878e-06 
 3.18000000e-01  5.30120081e-06  5.86699333e-06 
 3.24000000e-01  5.33644323e-06  5.88147546e-06 
 3.30000000e-01  5.37177512e-06  5.89674317e-06 
 3.36000000e-01  5.40720101e-06  5.91274117e-06 
 3.42000000e-01  5.44272510e-06  5.92942003e-06 
 3.48000000e-01  5.47835132e-06  5.94673544e-06 
 3.54000000e-01  5.51408337e-06  5.96464758e-06 
 3.60000000e-01  5.54992471e-06  5.98312059e-06 
 3.66000000e-01  5.58587858e-06  6.00212210e-06 
 3.72000000e-01  5.62194806e-06  6.02162281e-06 
 3.78000000e-01  5.65813605e-06  6.04159617e-06 
 3.84000000e-01  5.69444532e-06  6.06201805e-06 
 3.90000000e-01  5.73087848e-06  6.08286645e-06 
 3.96000000e-01  5.76743801e-06  6.10412132e-06 
 4.02000000e-01  5.80412631e-06  6.12576443e-06 
 4.08000000e-01  5.84094563e-06  6.14777909e-06 
 4.14000000e-01  5.87789817e-06  6.17014965e-06 
 4.20000000e-01  5.91498600e-06  6.19286193e-06 
 4.26000000e-01  5.95221115e-06  6.21590286e-06 
 4.32000000e-01  5.98957552e-06  6.23926037e-06 
 4.38000000e-01  6.02708100e-06  6.26292330e-06 
 4.44000000e-01  6.06472938e-06  6.28688134e-06 
 4.50000000e-01  6.10252240e-06  6.31112488e-06 
 4.56000000e-01  6.14046174e-06  6.33564504e-06 
 4.62000000e-01  6.17854903e-06  6.36043353e-06 
 4.68000000e-01  6.21678587e-06  6.38548264e-06 
 4.74000000e-01  6.25517378e-06  6.41078518e-06 
 4.80000000e-01  6.29371428e-06  6.43633446e-06 
 4.86000000e-01  6.33240881e-06  6.46212421e-06 
 4.92000000e-01  6.37125881e-06  6.48814857e-06 
 4.98000000e-01  6.41026565e-06  6.51440202e-06 
 5.04000000e-01  6.44943071e-06  6.54087938e-06 
 5.10000000e-01  6.48875531e-06  6.56757578e-06 
 5.16000000e-01  6.52824075e-06  6.59448662e-06 
 5.22000000e-01  6.56788829e-06  6.62160756e-06 
 5.28000000e-01  6.60769920e-06  6.64893452e-06 
 5.34000000e-01  6.64767468e-06  6.67646362e-06 
 5.40000000e-01  6.68781595e-06  6.70419121e-06 
 5.46000000e-01  6.72812418e-06  6.73211383e-06 
 5.52000000e-01  6.76860054e-06  6.76022821e-06 
 5.58000000e-01  6.80924615e-06  6.78853124e-06 
 5.64000000e-01  6.85006216e-06  6.81701996e-06 
 5.70000000e-01  6.89104965e-06  6.84569157e-06 
 5.76000000e-01  6.93220972e-06  6.87454340e-06 
 5.82000000e-01  6.97354345e-06  6.90357292e-06 
 5.88000000e-01  7.01505189e-06  6.93277771e-06 
 5.94000000e-01  7.05673608e-06  6.96215546e-06 
 6.00000000e-01  7.09859706e-06  6.99170396e-06 
 6.06000000e-01  7.14063585e-06  7.02142112e-06 
 6.12000000e-01  7.18285344e-06  7.05130493e-06 
 6.18000000e-01  7.22525084e-06  7.08135346e-06 
 6.24000000e-01  7.26782902e-06  7.11156488e-06 
 6.30000000e-01  7.31058897e-06  7.14193741e-06 
 6.36000000e-01  7.35353163e-06  7.17246937e-06 
 6.42000000e-01  7.39665796e-06  7.20315913e-06 
 6.48000000e-01  7.43996891e-06  7.23400515e-06 
 6.54000000e-01  7.48346540e-06  7.26500591e-06 
 6.60000000e-01  7.52714836e-06  7.29615998e-06 
 6.66000000e-01  7.57101870e-06  7.32746598e-06 
 6.72000000e-01  7.61507734e-06  7.35892256e-06 
 6.78000000e-01  7.65932517e-06  7.39052846e-06 
 6.84000000e-01  7.70376309e-06  7.42228243e-06 
 6.90000000e-01  7.74839197e-06  7.45418327e-06 
 6.96000000e-01  7.79321270e-06  7.48622983e-06 
 7.02000000e-01  7.83822615e-06  7.51842100e-06 
 7.08000000e-01  7.88343317e-06  7.55075570e-06 
 7.14000000e-01  7.92883464e-06  7.58323289e-06 
 7.20000000e-01  7.97443140e-06  7.61585157e-06 
 7.26000000e-01  8.02022429e-06  7.64861075e-06 
 7.32000000e-01  8.06621416e-06  7.68150950e-06 
 7.38000000e-01  8.11240185e-06  7.71454690e-06 
 7.44000000e-01  8.15878817e-06  7.74772206e-06 
 7.50000000e-01  8.20537396e-06  7.78103412e-06 
 7.56000000e-01  8.25216003e-06  7.81448224e-06 
 7.62000000e-01  8.29914720e-06  7.84806562e-06 
 7.68000000e-01  8.34633628e-06  7.88178345e-06 
 7.74000000e-01  8.39372807e-06  7.91563499e-06 
 7.80000000e-01  8.44132337e-06  7.94961947e-06 
 7.86000000e-01  8.48912297e-06  7.98373617e-06 
 7.92000000e-01  8.53712767e-06  8.01798438e-06 
 7.98000000e-01  8.58533826e-06  8.05236341e-06 
 8.04000000e-01  8.63375551e-06  8.08687260e-06 
 8.10000000e-01  8.68238021e-06  8.12151127e-06 
 8.16000000e-01  8.73121313e-06  8.15627880e-06 
 8.22000000e-01  8.78025504e-06  8.19117455e-06 
 8.28000000e-01  8.82950671e-06  8.22619792e-06 
 8.34000000e-01  8.87896890e-06  8.26134830e-06 
 8.40000000e-01  8.92864238e-06  8.29662511e-06 
 8.46000000e-01  8.97852790e-06  8.33202779e-06 
 8.52000000e-01  9.02862621e-06  8.36755577e-06 
 8.58000000e-01  9.07893807e-06  8.40320849e-06 
 8.64000000e-01  9.12946421e-06  8.43898544e-06 
 8.70000000e-01  9.18020539e-06  8.47488608e-06 
 8.76000000e-01  9.23116235e-06  8.51090988e-06 
 8.82000000e-01  9.28233582e-06  8.54705636e-06 
 8.88000000e-01  9.33372654e-06  8.58332500e-06 
 8.94000000e-01  9.38533523e-06  8.61971533e-06 
 9.00000000e-01  9.43716263e-06  8.65622686e-06 
 9.06000000e-01  9.48920947e-06  8.69285911e-06 
 9.12000000e-01  9.54147646e-06  8.72961164e-06 
 9.18000000e-01  9.59396433e-06  8.76648397e-06 
 9.24000000e-01  9.64667379e-06  8.80347567e-06 
 9.30000000e-01  9.69960556e-06  8.84058629e-06 
 9.36000000e-01  9.75276035e-06  8.87781539e-06 
 9.42000000e-01  9.80613887e-06  8.91516255e-06 
 9.48000000e-01  9.85974183e-06  8.95262735e-06 
 9.54000000e-01  9.91356993e-06  8.99020936e-06 
 9.60000000e-01  9.96762387e-06  9.02790817e-06 
 9.66000000e-01  1.00219044e-05  9.06572339e-06 
 9.72000000e-01  1.00764121e-05  9.10365460e-06 
 9.78000000e-01  1.01311477e-05  9.14170143e-06 
 9.84000000e-01  1.01861120e-05  9.17986346e-06 
 9.90000000e-01  1.02413056e-05  9.21814032e-06 
 9.96000000e-01  1.02967293e-05  9.25653163e-06 
 1.00200000e+00  1.03523836e-05  9.29503701e-06 
 1.00800000e+00  1.04082693e-05  9.33365608e-06 
 1.01400000e+00  1.04643870e-05  9.37238848e-06 
 1.02000000e+00  1.05207375e-05  9.41123384e-06 
 1.02600000e+00  1.05773213e-05  9.45019180e-06 
 1.03200000e+00  1.06341393e-05  9.48926200e-06 
 1.03800000e+00  1.06911920e-05  9.52844409e-06 
 1.04400000e+00  1.07484802e-05  9.56773770e-06 
 1.05000000e+00  1.08060044e-05  9.60714250e-06 
 1.05600000e+00  1.08637655e-05  9.64665814e-06 
 1.06200000e+00  1.09217639e-05  9.68628427e-06 
 1.06800000e+00  1.09800004e-05  9.72602056e-06 
 1.07400000e+00  1.10384757e-05  9.76586666e-06 
 1.08000000e+00  1.10971904e-05  9.80582224e-06 
 1.08600000e+00  1.11561451e-05  9.84588697e-06 
 1.09200000e+00  1.12153406e-05  9.88606052e-06 
 1.09800000e+00  1.12747774e-05  9.92634255e-06 
 1.10400000e+00  1.13344563e-05  9.96673275e-06 
 1.11000000e+00  1.13943778e-05  1.00072308e-05 
 1.11600000e+00  1.14545426e-05  1.00478363e-05 
 1.12200000e+00  1.15149514e-05  1.00885491e-05 
 1.12800000e+00  1.15756048e-05  1.01293687e-05 
 1.13400000e+00  1.16365034e-05  1.01702949e-05 
 1.14000000e+00  1.16976479e-05  1.02113273e-05 
 1.14600000e+00  1.17590389e-05  1.02524656e-05 
 1.15200000e+00  1.18206770e-05  1.02937096e-05 
 1.15800000e+00  1.18825630e-05  1.03350588e-05 
 1.16400000e+00  1.19446973e-05  1.03765131e-05 
 1.17000000e+00  1.20070807e-05  1.04180721e-05 
 1.17600000e+00  1.20697138e-05  1.04597354e-05 
 1.18200000e+00  1.21325971e-05  1.05015028e-05 
 1.18800000e+00  1.21957314e-05  1.05433740e-05 
 1.19400000e+00  1.22591172e-05  1.05853486e-05 
 1.20000000e+00  1.23227552e-05  1.06274264e-05 
