 v-sweep         ID              Gm             
-5.00000000e-01  1.17628079e-10 -5.85734312e-10 
-4.90000000e-01  1.11770736e-10 -5.61842977e-10 
-4.80000000e-01  1.06272398e-10 -5.38705658e-10 
-4.70000000e-01  1.01001650e-10 -5.16306805e-10 
-4.60000000e-01  9.59511851e-11 -4.94630954e-10 
-4.50000000e-01  9.11138508e-11 -4.73662738e-10 
-4.40000000e-01  8.64826479e-11 -4.53386882e-10 
-4.30000000e-01  8.20507290e-11 -4.33788214e-10 
-4.20000000e-01  7.78113982e-11 -4.14851668e-10 
-4.10000000e-01  7.37581098e-11 -3.96562284e-10 
-4.00000000e-01  6.98844669e-11 -3.78905212e-10 
-3.90000000e-01  6.61842209e-11 -3.61865721e-10 
-3.80000000e-01  6.26512697e-11 -3.45429196e-10 
-3.70000000e-01  5.92796568e-11 -3.29581141e-10 
-3.60000000e-01  5.60635701e-11 -3.14307187e-10 
-3.50000000e-01  5.29973404e-11 -2.99593088e-10 
-3.40000000e-01  5.00754407e-11 -2.85424725e-10 
-3.30000000e-01  4.72924842e-11 -2.71788106e-10 
-3.20000000e-01  4.46432235e-11 -2.58669365e-10 
-3.10000000e-01  4.21225494e-11 -2.46054756e-10 
-3.00000000e-01  3.97254893e-11 -2.33930655e-10 
-2.90000000e-01  3.74472064e-11 -2.22283545e-10 
-2.80000000e-01  3.52829984e-11 -2.11100005e-10 
-2.70000000e-01  3.32282967e-11 -2.00366694e-10 
-2.60000000e-01  3.12786660e-11 -1.90070321e-10 
-2.50000000e-01  2.94298033e-11 -1.80197611e-10 
-2.40000000e-01  2.76775382e-11 -1.70735254e-10 
-2.30000000e-01  2.60178338e-11 -1.61669830e-10 
-2.20000000e-01  2.44467878e-11 -1.52987712e-10 
-2.10000000e-01  2.29606349e-11 -1.44674934e-10 
-2.00000000e-01  2.15557513e-11 -1.36717003e-10 
-1.90000000e-01  2.02286605e-11 -1.29098646e-10 
-1.80000000e-01  1.89760421e-11 -1.21803467e-10 
-1.70000000e-01  1.77947455e-11 -1.14813470e-10 
-1.60000000e-01  1.66818070e-11 -1.08108416e-10 
-1.50000000e-01  1.56344764e-11 -1.01664940e-10 
-1.40000000e-01  1.46502516e-11 -9.54553450e-11 
-1.30000000e-01  1.37269281e-11 -8.94459560e-11 
-1.20000000e-01  1.28626663e-11 -8.35948679e-11 
-1.10000000e-01  1.20560848e-11 -7.78488701e-11 
-1.00000000e-01  1.13063878e-11 -7.21392394e-11 
-9.00000000e-02  1.06135401e-11 -6.63759873e-11 
-8.00000000e-02  9.97850736e-12 -6.04399902e-11 
-7.00000000e-02  9.40358431e-12 -5.41722191e-11 
-6.00000000e-02  8.89284515e-12 -4.73589982e-11 
-5.00000000e-02  8.45275979e-12 -3.97118187e-11 
-4.00000000e-02  8.09303780e-12 -3.08396912e-11 
-3.00000000e-02  7.82778424e-12 -2.02112655e-11 
-2.00000000e-02  7.67708272e-12 -7.10291665e-12 
-1.00000000e-02  7.66916416e-12  9.47242322e-12 
 3.08780779e-16  7.84337827e-12  3.08628567e-11 
 1.00000000e-02  8.25426633e-12  5.89113825e-11 
 2.00000000e-02  8.97714414e-12  9.61395560e-11 
 3.00000000e-02  1.01157576e-11  1.45999536e-10 
