 frequency       inoise_spectrum onoise_spectrum
 1.00000000e+00  2.37869293e-06  2.49021122e-05 
 1.05776756e+00  2.31289290e-06  2.42132633e-05 
 1.11887221e+00  2.24891670e-06  2.35435079e-05 
 1.18350673e+00  2.18671390e-06  2.28923179e-05 
 1.25187503e+00  2.12623544e-06  2.22591797e-05 
 1.32419279e+00  2.06743364e-06  2.16435941e-05 
 1.40068818e+00  2.01026211e-06  2.10450756e-05 
 1.48160252e+00  1.95467579e-06  2.04631523e-05 
 1.56719108e+00  1.90063083e-06  1.98973653e-05 
 1.65772389e+00  1.84808463e-06  1.93472684e-05 
 1.75348655e+00  1.79699573e-06  1.88124279e-05 
 1.85478119e+00  1.74732387e-06  1.82924220e-05 
 1.96192737e+00  1.69902986e-06  1.77868406e-05 
 2.07526313e+00  1.65207562e-06  1.72952851e-05 
 2.19514602e+00  1.60642413e-06  1.68173678e-05 
 2.32195425e+00  1.56203939e-06  1.63527119e-05 
 2.45608788e+00  1.51888640e-06  1.59009509e-05 
 2.59797009e+00  1.47693113e-06  1.54617286e-05 
 2.74804848e+00  1.43614049e-06  1.50346987e-05 
 2.90679654e+00  1.39648232e-06  1.46195244e-05 
 3.07471508e+00  1.35792535e-06  1.42158783e-05 
 3.25233387e+00  1.32043916e-06  1.38234421e-05 
 3.44021326e+00  1.28399421e-06  1.34419064e-05 
 3.63894599e+00  1.24856174e-06  1.30709702e-05 
 3.84915902e+00  1.21411382e-06  1.27103411e-05 
 4.07151555e+00  1.18062329e-06  1.23597347e-05 
 4.30671707e+00  1.14806372e-06  1.20188744e-05 
 4.55550561e+00  1.11640945e-06  1.16874915e-05 
 4.81866605e+00  1.08563552e-06  1.13653247e-05 
 5.09702863e+00  1.05571765e-06  1.10521198e-05 
 5.39147154e+00  1.02663225e-06  1.07476300e-05 
 5.70292370e+00  9.98356385e-07  1.04516150e-05 
 6.03236769e+00  9.70867755e-07  1.01638414e-05 
 6.38084285e+00  9.44144682e-07  9.88408232e-06 
 6.74944857e+00  9.18166091e-07  9.61211709e-06 
 7.13934775e+00  8.92911493e-07  9.34773121e-06 
 7.55177045e+00  8.68360972e-07  9.09071618e-06 
 7.98801781e+00  8.44495165e-07  8.84086929e-06 
 8.44946611e+00  8.21295248e-07  8.59799351e-06 
 8.93757115e+00  7.98742925e-07  8.36189726e-06 
 9.45387283e+00  7.76820408e-07  8.13239433e-06 
 1.00000000e+01  7.55510405e-07  7.90930371e-06 
 1.05776756e+01  7.34796108e-07  7.69244943e-06 
 1.11887221e+01  7.14661177e-07  7.48166043e-06 
 1.18350673e+01  6.95089730e-07  7.27677044e-06 
 1.25187503e+01  6.76066329e-07  7.07761784e-06 
 1.32419279e+01  6.57575964e-07  6.88404552e-06 
 1.40068818e+01  6.39604050e-07  6.69590075e-06 
 1.48160252e+01  6.22136407e-07  6.51303511e-06 
 1.56719108e+01  6.05159253e-07  6.33530431e-06 
 1.65772389e+01  5.88659191e-07  6.16256811e-06 
 1.75348655e+01  5.72623202e-07  5.99469019e-06 
 1.85478119e+01  5.57038629e-07  5.83153808e-06 
 1.96192737e+01  5.41893172e-07  5.67298299e-06 
 2.07526313e+01  5.27174876e-07  5.51889978e-06 
 2.19514602e+01  5.12872122e-07  5.36916680e-06 
 2.32195425e+01  4.98973618e-07  5.22366583e-06 
 2.45608788e+01  4.85468387e-07  5.08228198e-06 
 2.59797009e+01  4.72345764e-07  4.94490358e-06 
 2.74804848e+01  4.59595383e-07  4.81142211e-06 
 2.90679654e+01  4.47207170e-07  4.68173212e-06 
 3.07471508e+01  4.35171334e-07  4.55573110e-06 
 3.25233387e+01  4.23478362e-07  4.43331946e-06 
 3.44021326e+01  4.12119009e-07  4.31440042e-06 
 3.63894599e+01  4.01084289e-07  4.19887990e-06 
 3.84915902e+01  3.90365473e-07  4.08666652e-06 
 4.07151555e+01  3.79954075e-07  3.97767146e-06 
 4.30671707e+01  3.69841852e-07  3.87180840e-06 
 4.55550561e+01  3.60020793e-07  3.76899349e-06 
 4.81866605e+01  3.50483113e-07  3.66914522e-06 
 5.09702863e+01  3.41221248e-07  3.57218440e-06 
 5.39147154e+01  3.32227847e-07  3.47803409e-06 
 5.70292370e+01  3.23495768e-07  3.38661951e-06 
 6.03236769e+01  3.15018070e-07  3.29786801e-06 
 6.38084285e+01  3.06788010e-07  3.21170897e-06 
 6.74944857e+01  2.98799033e-07  3.12807379e-06 
 7.13934775e+01  2.91044770e-07  3.04689580e-06 
 7.55177045e+01  2.83519034e-07  2.96811021e-06 
 7.98801781e+01  2.76215809e-07  2.89165405e-06 
 8.44946611e+01  2.69129250e-07  2.81746613e-06 
 8.93757115e+01  2.62253677e-07  2.74548698e-06 
 9.45387283e+01  2.55583566e-07  2.67565878e-06 
 1.00000000e+02  2.49113552e-07  2.60792536e-06 
 1.05776756e+02  2.42838417e-07  2.54223209e-06 
 1.11887221e+02  2.36753088e-07  2.47852586e-06 
 1.18350673e+02  2.30852633e-07  2.41675505e-06 
 1.25187503e+02  2.25132256e-07  2.35686945e-06 
 1.32419279e+02  2.19587294e-07  2.29882023e-06 
 1.40068818e+02  2.14213209e-07  2.24255989e-06 
 1.48160252e+02  2.09005588e-07  2.18804223e-06 
 1.56719108e+02  2.03960136e-07  2.13522229e-06 
 1.65772389e+02  1.99072673e-07  2.08405632e-06 
 1.75348655e+02  1.94339131e-07  2.03450171e-06 
 1.85478119e+02  1.89755548e-07  1.98651700e-06 
 1.96192737e+02  1.85318066e-07  1.94006180e-06 
 2.07526313e+02  1.81022926e-07  1.89509674e-06 
 2.19514602e+02  1.76866464e-07  1.85158348e-06 
 2.32195425e+02  1.72845109e-07  1.80948463e-06 
 2.45608788e+02  1.68955379e-07  1.76876374e-06 
 2.59797009e+02  1.65193876e-07  1.72938524e-06 
 2.74804848e+02  1.61557285e-07  1.69131441e-06 
 2.90679654e+02  1.58042368e-07  1.65451737e-06 
 3.07471508e+02  1.54645962e-07  1.61896101e-06 
 3.25233387e+02  1.51364980e-07  1.58461299e-06 
 3.44021326e+02  1.48196398e-07  1.55144167e-06 
 3.63894599e+02  1.45137264e-07  1.51941614e-06 
 3.84915902e+02  1.42184686e-07  1.48850613e-06 
 4.07151555e+02  1.39335834e-07  1.45868200e-06 
 4.30671707e+02  1.36587936e-07  1.42991475e-06 
 4.55550561e+02  1.33938276e-07  1.40217594e-06 
 4.81866605e+02  1.31384192e-07  1.37543769e-06 
 5.09702863e+02  1.28923072e-07  1.34967267e-06 
 5.39147154e+02  1.26552356e-07  1.32485406e-06 
 5.70292370e+02  1.24269529e-07  1.30095555e-06 
 6.03236769e+02  1.22072122e-07  1.27795129e-06 
 6.38084285e+02  1.19957712e-07  1.25581592e-06 
 6.74944857e+02  1.17923919e-07  1.23452450e-06 
 7.13934775e+02  1.15968402e-07  1.21405254e-06 
 7.55177045e+02  1.14088863e-07  1.19437598e-06 
 7.98801781e+02  1.12283043e-07  1.17547117e-06 
 8.44946611e+02  1.10548721e-07  1.15731487e-06 
 8.93757115e+02  1.08883715e-07  1.13988422e-06 
 9.45387283e+02  1.07285881e-07  1.12315678e-06 
 1.00000000e+03  1.05753110e-07  1.10711049e-06 
 1.05776756e+03  1.04283334e-07  1.09172367e-06 
 1.11887221e+03  1.02874518e-07  1.07697503e-06 
 1.18350673e+03  1.01524666e-07  1.06284367e-06 
 1.25187503e+03  1.00231817e-07  1.04930907e-06 
 1.32419279e+03  9.89940493e-08  1.03635110e-06 
 1.40068818e+03  9.78094761e-08  1.02395002e-06 
 1.48160252e+03  9.66762494e-08  1.01208648e-06 
 1.56719108e+03  9.55925583e-08  1.00074152e-06 
 1.65772389e+03  9.45566302e-08  9.89896580e-07 
 1.75348655e+03  9.35667305e-08  9.79533505e-07 
 1.85478119e+03  9.26211636e-08  9.69634543e-07 
 1.96192737e+03  9.17182726e-08  9.60182350e-07 
 2.07526313e+03  9.08564404e-08  9.51159993e-07 
 2.19514602e+03  9.00340891e-08  9.42550957e-07 
 2.32195425e+03  8.92496810e-08  9.34339143e-07 
 2.45608788e+03  8.85017184e-08  9.26508872e-07 
 2.59797009e+03  8.77887439e-08  9.19044887e-07 
 2.74804848e+03  8.71093406e-08  9.11932355e-07 
 2.90679654e+03  8.64621319e-08  9.05156865e-07 
 3.07471508e+03  8.58457819e-08  8.98704432e-07 
 3.25233387e+03  8.52589949e-08  8.92561491e-07 
 3.44021326e+03  8.47005155e-08  8.86714900e-07 
 3.63894599e+03  8.41691282e-08  8.81151935e-07 
 3.84915902e+03  8.36636573e-08  8.75860289e-07 
 4.07151555e+03  8.31829666e-08  8.70828066e-07 
 4.30671707e+03  8.27259587e-08  8.66043779e-07 
 4.55550561e+03  8.22915747e-08  8.61496343e-07 
