 frequency       inoise_spectrum onoise_spectrum
 1.00000000e+00  1.94886634e-05  1.36478601e-04 
 1.11588399e+00  1.84489874e-05  1.29197777e-04 
 1.24519708e+00  1.74647757e-05  1.22305369e-04 
 1.38949549e+00  1.65330696e-05  1.15780655e-04 
 1.55051578e+00  1.56510678e-05  1.09604019e-04 
 1.73019574e+00  1.48161189e-05  1.03756894e-04 
 1.93069773e+00  1.40257126e-05  9.82216993e-05 
 2.15443469e+00  1.32774727e-05  9.29817950e-05 
 2.40409918e+00  1.25691498e-05  8.80214277e-05 
 2.68269580e+00  1.18986142e-05  8.33256849e-05 
 2.99357729e+00  1.12638503e-05  7.88804494e-05 
 3.34048498e+00  1.06629495e-05  7.46723573e-05 
 3.72759372e+00  1.00941055e-05  7.06887575e-05 
 4.15956216e+00  9.55560806e-06  6.69176738e-05 
 4.64158883e+00  9.04583823e-06  6.33477690e-05 
 5.17947468e+00  8.56326349e-06  5.99683107e-05 
 5.77969288e+00  8.10643303e-06  5.67691389e-05 
 6.44946677e+00  7.67397346e-06  5.37406358e-05 
 7.19685673e+00  7.26458465e-06  5.08736967e-05 
 8.03085722e+00  6.87703583e-06  4.81597024e-05 
 8.96150502e+00  6.51016188e-06  4.55904937e-05 
 1.00000000e+01  6.16285985e-06  4.31583466e-05 
 1.11588399e+01  5.83408561e-06  4.08559492e-05 
 1.24519708e+01  5.52285076e-06  3.86763797e-05 
 1.38949549e+01  5.22821962e-06  3.66130855e-05 
 1.55051578e+01  4.94930640e-06  3.46598635e-05 
 1.73019574e+01  4.68527260e-06  3.28108417e-05 
 1.93069773e+01  4.43532444e-06  3.10604612e-05 
 2.15443469e+01  4.19871047e-06  2.94034598e-05 
 2.40409918e+01  3.97471936e-06  2.78348559e-05 
 2.68269580e+01  3.76267770e-06  2.63499337e-05 
 2.99357729e+01  3.56194802e-06  2.49442290e-05 
 3.34048498e+01  3.37192685e-06  2.36135157e-05 
 3.72759372e+01  3.19204292e-06  2.23537933e-05 
 4.15956216e+01  3.02175544e-06  2.11612745e-05 
 4.64158883e+01  2.86055245e-06  2.00323741e-05 
 5.17947468e+01  2.70794933e-06  1.89636984e-05 
 5.77969288e+01  2.56348728e-06  1.79520345e-05 
 6.44946677e+01  2.42673201e-06  1.69943409e-05 
 7.19685673e+01  2.29727239e-06  1.60877385e-05 
 8.03085722e+01  2.17471919e-06  1.52295017e-05 
 8.96150502e+01  2.05870400e-06  1.44170504e-05 
 1.00000000e+02  1.94887802e-06  1.36479419e-05 
 1.11588399e+02  1.84491108e-06  1.29198641e-05 
 1.24519708e+02  1.74649061e-06  1.22306281e-05 
 1.38949549e+02  1.65332073e-06  1.15781619e-05 
 1.55051578e+02  1.56512133e-06  1.09605038e-05 
 1.73019574e+02  1.48162726e-06  1.03757970e-05 
 1.93069773e+02  1.40258749e-06  9.82228361e-06 
 2.15443469e+02  1.32776442e-06  9.29829957e-06 
 2.40409918e+02  1.25693309e-06  8.80226961e-06 
 2.68269580e+02  1.18988056e-06  8.33270248e-06 
 2.99357729e+02  1.12640524e-06  7.88818649e-06 
 3.34048498e+02  1.06631631e-06  7.46738525e-06 
 3.72759372e+02  1.00943311e-06  7.06903370e-06 
 4.15956216e+02  9.55584631e-07  6.69193423e-06 
 4.64158883e+02  9.04608991e-07  6.33495315e-06 
 5.17947468e+02  8.56352935e-07  5.99701725e-06 
 5.77969288e+02  8.10671388e-07  5.67711056e-06 
 6.44946677e+02  7.67427013e-07  5.37427134e-06 
 7.19685673e+02  7.26489804e-07  5.08758913e-06 
 8.03085722e+02  6.87736688e-07  4.81620207e-06 
 8.96150502e+02  6.51051158e-07  4.55929427e-06 
 1.00000000e+03  6.16322925e-07  4.31609336e-06 
 1.11588399e+03  5.83447584e-07  4.08586820e-06 
 1.24519708e+03  5.52326298e-07  3.86792665e-06 
 1.38949549e+03  5.22865506e-07  3.66161349e-06 
 1.55051578e+03  4.94976638e-07  3.46630847e-06 
 1.73019574e+03  4.68575850e-07  3.28142444e-06 
 1.93069773e+03  4.43583771e-07  3.10640557e-06 
 2.15443469e+03  4.19925267e-07  2.94072568e-06 
 2.40409918e+03  3.97529211e-07  2.78388669e-06 
 2.68269580e+03  3.76328272e-07  2.63541707e-06 
 2.99357729e+03  3.56258713e-07  2.49487047e-06 
 3.34048498e+03  3.37260197e-07  2.36182436e-06 
 3.72759372e+03  3.19275608e-07  2.23587875e-06 
 4.15956216e+03  3.02250878e-07  2.11665501e-06 
 4.64158883e+03  2.86134823e-07  2.00379470e-06 
 5.17947468e+03  2.70878994e-07  1.89695852e-06 
 5.77969288e+03  2.56437525e-07  1.79582529e-06 
 6.44946677e+03  2.42767000e-07  1.70009096e-06 
 7.19685673e+03  2.29826321e-07  1.60946773e-06 
 8.03085722e+03  2.17576583e-07  1.52368313e-06 
 8.96150502e+03  2.05980959e-07  1.44247928e-06 
 1.00000000e+04  1.95004587e-07  1.36561203e-06 
 1.11588399e+04  1.84614470e-07  1.29285031e-06 
 1.24519708e+04  1.74779370e-07  1.22397537e-06 
 1.38949549e+04  1.65469719e-07  1.15878012e-06 
 1.55051578e+04  1.56657529e-07  1.09706859e-06 
