 v-sweep         ID              Gds            
 0.00000000e+00 -2.48778008e-13  2.20186152e-04 
 6.00000000e-03  1.22811357e-06  1.89665558e-04 
 1.20000000e-02  2.28212987e-06  1.62208742e-04 
 1.80000000e-02  3.18119279e-06  1.38032176e-04 
 2.40000000e-02  3.94510918e-06  1.17146853e-04 
 3.00000000e-02  4.59324663e-06  9.94037078e-05 
 3.60000000e-02  5.14372568e-06  8.45445573e-05 
 4.20000000e-02  5.61291159e-06  7.22498472e-05 
 4.80000000e-02  6.01516872e-06  6.21778261e-05 
 5.40000000e-02  6.36281830e-06  5.39930591e-05 
 6.00000000e-02  6.66623586e-06  4.73846769e-05 
 6.60000000e-02  6.93403156e-06  4.20761397e-05 
 7.20000000e-02  7.17326937e-06  3.78287698e-05 
 7.80000000e-02  7.38969406e-06  3.44411774e-05 
 8.40000000e-02  7.58794691e-06  3.17463018e-05 
 9.00000000e-02  7.77842472e-06  2.96073115e-05 
 9.60000000e-02  7.94940360e-06  2.79131815e-05 
 1.02000000e-01  8.11160203e-06  2.65744338e-05 
 1.08000000e-01  8.26687410e-06  2.55192943e-05 
 1.14000000e-01  8.41669817e-06  2.46903668e-05 
 1.20000000e-01  8.56225289e-06  2.40418357e-05 
 1.26000000e-01  8.70447800e-06  2.35371587e-05 
 1.32000000e-01  8.84412288e-06  2.31471917e-05 
 1.38000000e-01  8.98178507e-06  2.28486788e-05 
 1.44000000e-01  9.11794090e-06  2.26230455e-05 
 1.50000000e-01  9.25296985e-06  2.24554383e-05 
 1.56000000e-01  9.38717386e-06  2.23339630e-05 
 1.62000000e-01  9.52079272e-06  2.22490815e-05 
 1.68000000e-01  9.65401634e-06  2.21931338e-05 
 1.74000000e-01  9.78699449e-06  2.21599599e-05 
 1.80000000e-01  9.91984468e-06  2.21446005e-05 
 1.86000000e-01  1.00526584e-05  2.21430587e-05 
 1.92000000e-01  1.01855061e-05  2.21521108e-05 
 1.98000000e-01  1.03184413e-05  2.21691563e-05 
 2.04000000e-01  1.04515039e-05  2.21920971e-05 
 2.10000000e-01  1.05847228e-05  2.22192418e-05 
 2.16000000e-01  1.07181180e-05  2.22492281e-05 
 2.22000000e-01  1.08517022e-05  2.22809612e-05 
