 v-sweep         ID              Gm             
-5.00000000e-01  4.62593999e-10 -2.76599516e-09 
-4.90000000e-01  4.34934047e-10 -2.61148545e-09 
-4.80000000e-01  4.09598189e-10 -2.46455950e-09 
-4.70000000e-01  3.85693417e-10 -2.32491604e-09 
-4.60000000e-01  3.63148419e-10 -2.19226191e-09 
-4.50000000e-01  3.41894775e-10 -2.06631192e-09 
-4.40000000e-01  3.21866876e-10 -1.94678865e-09 
-4.30000000e-01  3.03001848e-10 -1.83342229e-09 
-4.20000000e-01  2.85239480e-10 -1.72595020e-09 
-4.10000000e-01  2.68522143e-10 -1.62411687e-09 
-4.00000000e-01  2.52794735e-10 -1.52767333e-09 
-3.90000000e-01  2.38004609e-10 -1.43637682e-09 
-3.80000000e-01  2.24101513e-10 -1.34999016e-09 
-3.70000000e-01  2.11037538e-10 -1.26828104e-09 
-3.60000000e-01  1.98767076e-10 -1.19102116e-09 
-3.50000000e-01  1.87246777e-10 -1.11798505e-09 
-3.40000000e-01  1.76435533e-10 -1.04894861e-09 
-3.30000000e-01  1.66294469e-10 -9.83687192e-10 
-3.20000000e-01  1.56786956e-10 -9.21973148e-10 
-3.10000000e-01  1.47878655e-10 -8.63572613e-10 
-3.00000000e-01  1.39537593e-10 -8.08241312e-10 
-2.90000000e-01  1.31734289e-10 -7.55719077e-10 
-2.80000000e-01  1.24441936e-10 -7.05722656e-10 
-2.70000000e-01  1.17636671e-10 -6.57936274e-10 
-2.60000000e-01  1.11297939e-10 -6.11999218e-10 
-2.50000000e-01  1.05409008e-10 -5.67489505e-10 
-2.40000000e-01  9.99576556e-11 -5.23902360e-10 
-2.30000000e-01  9.49370994e-11 -4.80621847e-10 
-2.20000000e-01  9.03472464e-11 -4.36883447e-10 
-2.10000000e-01  8.61963560e-11 -3.91724661e-10 
-2.00000000e-01  8.25032551e-11 -3.43919793e-10 
-1.90000000e-01  7.93002813e-11 -2.91893778e-10 
-1.80000000e-01  7.66371875e-11 -2.33608318e-10 
-1.70000000e-01  7.45863177e-11 -1.66411343e-10 
-1.60000000e-01  7.32494610e-11 -8.68379381e-11 
-1.50000000e-01  7.27669310e-11  9.65299637e-12 
-1.40000000e-01  7.33295806e-11  1.29027189e-10 
-1.30000000e-01  7.51947120e-11  2.79136174e-10 
-1.20000000e-01  7.87071308e-11  4.70327824e-10 
-1.10000000e-01  8.55042951e-11  7.16254813e-10 
-1.00000000e-01  9.41907459e-11  1.03494540e-09 
-9.00000000e-02  1.06524311e-10  1.45022197e-09 
-8.00000000e-02  1.23621007e-10  1.99358073e-09 
-7.00000000e-02  1.46960255e-10  2.70668293e-09 
-6.00000000e-02  1.78502275e-10  3.64465717e-09 
-5.00000000e-02  2.20843617e-10  4.88047800e-09 
-4.00000000e-02  2.77423295e-10  6.51077229e-09 
-3.00000000e-02  3.52796001e-10  8.66352077e-09 
-2.00000000e-02  4.52994328e-10  1.15082748e-08 
-1.00000000e-02  5.86009063e-10  1.52697125e-08 
