 v-sweep         VP             
 0.00000000e+00 -3.59469005e-01 
 1.20000000e-02 -3.49081079e-01 
 2.40000000e-02 -3.38673935e-01 
 3.60000000e-02 -3.28254337e-01 
 4.80000000e-02 -3.17822558e-01 
 6.00000000e-02 -3.07378857e-01 
 7.20000000e-02 -2.96923483e-01 
 8.40000000e-02 -2.86456678e-01 
 9.60000000e-02 -2.75978675e-01 
 1.08000000e-01 -2.65489702e-01 
 1.20000000e-01 -2.54989976e-01 
 1.32000000e-01 -2.44479710e-01 
 1.44000000e-01 -2.33959110e-01 
 1.56000000e-01 -2.23428373e-01 
 1.68000000e-01 -2.12887694e-01 
 1.80000000e-01 -2.02337259e-01 
 1.92000000e-01 -1.91777250e-01 
 2.04000000e-01 -1.81207844e-01 
 2.16000000e-01 -1.70629210e-01 
 2.28000000e-01 -1.60041515e-01 
 2.40000000e-01 -1.49444920e-01 
 2.52000000e-01 -1.38839582e-01 
 2.64000000e-01 -1.28225654e-01 
 2.76000000e-01 -1.17603282e-01 
 2.88000000e-01 -1.06972611e-01 
 3.00000000e-01 -9.63337816e-02 
 3.12000000e-01 -8.56869290e-02 
 3.24000000e-01 -7.50321859e-02 
 3.36000000e-01 -6.43696814e-02 
 3.48000000e-01 -5.36995411e-02 
 3.60000000e-01 -4.30218873e-02 
 3.72000000e-01 -3.23368393e-02 
 3.84000000e-01 -2.16445131e-02 
 3.96000000e-01 -1.09450220e-02 
 4.08000000e-01 -2.34964526e-04 
 4.20000000e-01  1.04750183e-02 
 4.32000000e-01  2.11953511e-02 
 4.44000000e-01  3.19224254e-02 
 4.56000000e-01  4.26561394e-02 
 4.68000000e-01  5.33963955e-02 
 4.80000000e-01  6.41430986e-02 
 4.92000000e-01  7.48961555e-02 
 5.04000000e-01  8.56554756e-02 
 5.16000000e-01  9.64209701e-02 
 5.28000000e-01  1.07192552e-01 
 5.40000000e-01  1.17970137e-01 
 5.52000000e-01  1.28753643e-01 
 5.64000000e-01  1.39542988e-01 
 5.76000000e-01  1.50338092e-01 
 5.88000000e-01  1.61138880e-01 
 6.00000000e-01  1.71945274e-01 
 6.12000000e-01  1.82757201e-01 
 6.24000000e-01  1.93574589e-01 
 6.36000000e-01  2.04397366e-01 
 6.48000000e-01  2.15225462e-01 
 6.60000000e-01  2.26058811e-01 
 6.72000000e-01  2.36897345e-01 
 6.84000000e-01  2.47740999e-01 
 6.96000000e-01  2.58589709e-01 
 7.08000000e-01  2.69443412e-01 
 7.20000000e-01  2.80302048e-01 
 7.32000000e-01  2.91165556e-01 
 7.44000000e-01  3.02033876e-01 
 7.56000000e-01  3.12906952e-01 
 7.68000000e-01  3.23784727e-01 
 7.80000000e-01  3.34667145e-01 
 7.92000000e-01  3.45554151e-01 
 8.04000000e-01  3.56445693e-01 
 8.16000000e-01  3.67341717e-01 
 8.28000000e-01  3.78242173e-01 
 8.40000000e-01  3.89147009e-01 
 8.52000000e-01  4.00056177e-01 
 8.64000000e-01  4.10969627e-01 
 8.76000000e-01  4.21887312e-01 
 8.88000000e-01  4.32809185e-01 
 9.00000000e-01  4.43735200e-01 
 9.12000000e-01  4.54665312e-01 
 9.24000000e-01  4.65599476e-01 
 9.36000000e-01  4.76537649e-01 
 9.48000000e-01  4.87479787e-01 
 9.60000000e-01  4.98425849e-01 
 9.72000000e-01  5.09375794e-01 
 9.84000000e-01  5.20329580e-01 
 9.96000000e-01  5.31287168e-01 
 1.00800000e+00  5.42248518e-01 
 1.02000000e+00  5.53213592e-01 
 1.03200000e+00  5.64182351e-01 
 1.04400000e+00  5.75154759e-01 
 1.05600000e+00  5.86130778e-01 
 1.06800000e+00  5.97110373e-01 
 1.08000000e+00  6.08093508e-01 
 1.09200000e+00  6.19080147e-01 
 1.10400000e+00  6.30070257e-01 
 1.11600000e+00  6.41063804e-01 
 1.12800000e+00  6.52060754e-01 
 1.14000000e+00  6.63061075e-01 
 1.15200000e+00  6.74064733e-01 
 1.16400000e+00  6.85071698e-01 
 1.17600000e+00  6.96081939e-01 
 1.18800000e+00  7.07095423e-01 
 1.20000000e+00  7.18112122e-01 
