 v-sweep         VP              VD             
 0.00000000e+00 -3.58743447e-01  4.12565944e-02 
 1.20000000e-02 -3.48383627e-01  5.16164241e-02 
 2.40000000e-02 -3.38004256e-01  6.19958056e-02 
 3.60000000e-02 -3.27612285e-01  7.23877877e-02 
 4.80000000e-02 -3.17207988e-01  8.27920950e-02 
 6.00000000e-02 -3.06791627e-01  9.32084667e-02 
 7.20000000e-02 -2.96363453e-01  1.03636651e-01 
 8.40000000e-02 -2.85923710e-01  1.14076404e-01 
 9.60000000e-02 -2.75472635e-01  1.24527490e-01 
 1.08000000e-01 -2.65010454e-01  1.34989681e-01 
 1.20000000e-01 -2.54537390e-01  1.45462755e-01 
 1.32000000e-01 -2.44053656e-01  1.55946500e-01 
 1.44000000e-01 -2.33559458e-01  1.66440708e-01 
 1.56000000e-01 -2.23054999e-01  1.76945178e-01 
 1.68000000e-01 -2.12540473e-01  1.87459714e-01 
 1.80000000e-01 -2.02016069e-01  1.97984129e-01 
 1.92000000e-01 -1.91481969e-01  2.08518239e-01 
 2.04000000e-01 -1.80938353e-01  2.19061867e-01 
 2.16000000e-01 -1.70385391e-01  2.29614838e-01 
 2.28000000e-01 -1.59823253e-01  2.40176987e-01 
 2.40000000e-01 -1.49252100e-01  2.50748151e-01 
 2.52000000e-01 -1.38672091e-01  2.61328170e-01 
 2.64000000e-01 -1.28083380e-01  2.71916892e-01 
 2.76000000e-01 -1.17486116e-01  2.82514166e-01 
 2.88000000e-01 -1.06880444e-01  2.93119849e-01 
 3.00000000e-01 -9.62665066e-02  3.03733797e-01 
 3.12000000e-01 -8.56444401e-02  3.14355874e-01 
 3.24000000e-01 -7.50143788e-02  3.24985946e-01 
 3.36000000e-01 -6.43764530e-02  3.35623883e-01 
 3.48000000e-01 -5.37307896e-02  3.46269557e-01 
 3.60000000e-01 -4.30775123e-02  3.56922845e-01 
 3.72000000e-01 -3.24167414e-02  3.67583626e-01 
 3.84000000e-01 -2.17485944e-02  3.78251784e-01 
 3.96000000e-01 -1.10731857e-02  3.88927203e-01 
 4.08000000e-01 -3.87067225e-04  3.99613332e-01 
 4.20000000e-01  1.02989757e-02  4.10299386e-01 
 4.32000000e-01  2.09955095e-02  4.20995930e-01 
 4.44000000e-01  3.16988771e-02  4.31699309e-01 
 4.56000000e-01  4.24089754e-02  4.42409418e-01 
 4.68000000e-01  5.31257060e-02  4.53126159e-01 
 4.80000000e-01  6.38489724e-02  4.63849436e-01 
 4.92000000e-01  7.45786807e-02  4.74579155e-01 
 5.04000000e-01  8.53147390e-02  4.85315224e-01 
 5.16000000e-01  9.60570577e-02  4.96057554e-01 
 5.28000000e-01  1.06805549e-01  5.06806056e-01 
 5.40000000e-01  1.17560127e-01  5.17560645e-01 
 5.52000000e-01  1.28320709e-01  5.28321237e-01 
 5.64000000e-01  1.39087212e-01  5.39087751e-01 
